period_type,period,return_pct
annual,2016,0.129448
annual,2017,0.521150
annual,2018,-0.209774
annual,2019,0.581447
annual,2020,0.455981
annual,2021,0.471019
annual,2022,0.417911
annual,2023,0.297945
annual,2024,0.276167
annual,2025,0.176418
annual,2026,-0.014366
monthly,2016-01,0.000976
monthly,2016-02,-0.003989
monthly,2016-03,-0.007229
monthly,2016-04,-0.027646
monthly,2016-05,-0.003535
monthly,2016-06,0.026537
monthly,2016-07,0.052422
monthly,2016-08,0.044768
monthly,2016-09,-0.018410
monthly,2016-10,0.035869
monthly,2016-11,0.028922
monthly,2016-12,-0.025363
monthly,2017-01,0.048618
monthly,2017-02,0.059277
monthly,2017-03,0.033787
monthly,2017-04,-0.032843
monthly,2017-05,0.056048
monthly,2017-06,0.087853
monthly,2017-07,0.026795
monthly,2017-08,-0.006584
monthly,2017-09,0.000490
monthly,2017-10,0.039506
monthly,2017-11,0.036532
monthly,2017-12,0.077781
monthly,2018-01,0.058250
monthly,2018-02,-0.082426
monthly,2018-03,-0.050050
monthly,2018-04,0.010616
monthly,2018-05,-0.013928
monthly,2018-06,-0.041737
monthly,2018-07,0.095986
monthly,2018-08,-0.019389
monthly,2018-09,-0.014217
monthly,2018-10,-0.076761
monthly,2018-11,-0.024057
monthly,2018-12,-0.030272
monthly,2019-01,-0.016258
monthly,2019-02,0.171556
monthly,2019-03,0.105960
monthly,2019-04,-0.009550
monthly,2019-05,0.002690
monthly,2019-06,0.058751
monthly,2019-07,0.028097
monthly,2019-08,-0.071389
monthly,2019-09,-0.011594
monthly,2019-10,-0.000899
monthly,2019-11,-0.004209
monthly,2019-12,0.148867
monthly,2020-01,-0.095961
monthly,2020-02,0.101697
monthly,2020-03,-0.109243
monthly,2020-04,0.082833
monthly,2020-05,0.037345
monthly,2020-06,0.034817
monthly,2020-07,0.151090
monthly,2020-08,0.002971
monthly,2020-09,0.015239
monthly,2020-10,0.007120
monthly,2020-11,0.118812
monthly,2020-12,-0.093585
monthly,2021-01,0.017421
monthly,2021-02,0.060055
monthly,2021-03,-0.007666
monthly,2021-04,-0.000227
monthly,2021-05,-0.007866
monthly,2021-06,-0.023350
monthly,2021-07,0.026097
monthly,2021-08,0.316193
monthly,2021-09,0.110265
monthly,2021-10,-0.133121
monthly,2021-11,-0.054771
monthly,2021-12,0.095118
monthly,2022-01,0.004299
monthly,2022-02,0.098880
monthly,2022-03,0.085004
monthly,2022-04,0.032545
monthly,2022-05,0.124900
monthly,2022-06,0.080568
monthly,2022-07,0.028681
monthly,2022-08,-0.040505
monthly,2022-09,-0.070643
monthly,2022-10,0.035301
monthly,2022-11,-0.013376
monthly,2022-12,-0.058080
monthly,2023-01,0.072474
monthly,2023-02,-0.006565
monthly,2023-03,0.049701
monthly,2023-04,0.039590
monthly,2023-05,-0.054513
monthly,2023-06,0.062138
monthly,2023-07,0.018050
monthly,2023-08,-0.027221
monthly,2023-09,0.049146
monthly,2023-10,-0.011597
monthly,2023-11,0.015993
monthly,2023-12,0.009536
monthly,2024-01,0.051147
monthly,2024-02,0.119583
monthly,2024-03,0.025632
monthly,2024-04,0.074572
monthly,2024-05,0.019171
monthly,2024-06,-0.060136
monthly,2024-07,-0.093749
monthly,2024-08,-0.057964
monthly,2024-09,0.172473
monthly,2024-10,-0.062900
monthly,2024-11,-0.025741
monthly,2024-12,0.015540
monthly,2025-01,0.026239
monthly,2025-02,-0.019362
monthly,2025-03,0.057078
monthly,2025-04,-0.049005
monthly,2025-05,0.057810
monthly,2025-06,0.023941
monthly,2025-07,0.029110
monthly,2025-08,-0.003673
monthly,2025-09,-0.007698
monthly,2025-10,0.028578
monthly,2025-11,0.005662
monthly,2025-12,-0.009959
monthly,2026-01,0.004608
monthly,2026-02,0.031214
monthly,2026-03,-0.018739
monthly,2026-04,0.015638
monthly,2026-05,-0.023130
monthly,2026-06,-0.092978
monthly,2026-07,0.106877
monthly,2026-08,-0.029767
