period_type,period,return_pct
annual,2014,0.587789
annual,2015,-0.062901
annual,2016,0.048067
annual,2017,0.571607
annual,2018,-0.098045
annual,2019,0.495079
annual,2020,0.351141
annual,2021,0.446490
annual,2022,0.230763
annual,2023,0.201100
annual,2024,0.204588
annual,2025,0.087761
annual,2026,0.006820
monthly,2014-01,0.007765
monthly,2014-02,-0.051479
monthly,2014-03,-0.046807
monthly,2014-04,-0.008906
monthly,2014-05,0.020104
monthly,2014-06,-0.003473
monthly,2014-07,0.125473
monthly,2014-08,0.018214
monthly,2014-09,0.054533
monthly,2014-10,-0.006948
monthly,2014-11,0.097484
monthly,2014-12,0.228016
monthly,2015-01,-0.118113
monthly,2015-02,0.077689
monthly,2015-03,0.114881
monthly,2015-04,0.033858
monthly,2015-05,0.012402
monthly,2015-06,-0.041629
monthly,2015-07,-0.155856
monthly,2015-08,0.000864
monthly,2015-09,0.016079
monthly,2015-10,0.005275
monthly,2015-11,-0.031292
monthly,2015-12,0.051714
monthly,2016-01,-0.093560
monthly,2016-02,-0.005064
monthly,2016-03,0.019996
monthly,2016-04,0.001245
monthly,2016-05,0.002276
monthly,2016-06,0.012673
monthly,2016-07,0.036996
monthly,2016-08,0.045735
monthly,2016-09,-0.026006
monthly,2016-10,0.021314
monthly,2016-11,0.028780
monthly,2016-12,-0.027061
monthly,2017-01,0.054019
monthly,2017-02,0.052641
monthly,2017-03,0.018255
monthly,2017-04,-0.022088
monthly,2017-05,0.097565
monthly,2017-06,0.093128
monthly,2017-07,0.057889
monthly,2017-08,0.002763
monthly,2017-09,-0.027505
monthly,2017-10,0.031605
monthly,2017-11,0.062882
monthly,2017-12,0.049093
monthly,2018-01,0.094015
monthly,2018-02,-0.015997
monthly,2018-03,-0.018673
monthly,2018-04,0.003350
monthly,2018-05,-0.000594
monthly,2018-06,-0.000539
monthly,2018-07,0.012198
monthly,2018-08,-0.013250
monthly,2018-09,-0.021397
monthly,2018-10,-0.069951
monthly,2018-11,-0.022495
monthly,2018-12,-0.032480
monthly,2019-01,-0.024561
monthly,2019-02,0.169522
monthly,2019-03,0.078158
monthly,2019-04,-0.032102
monthly,2019-05,0.000498
monthly,2019-06,0.046343
monthly,2019-07,0.022497
monthly,2019-08,-0.069347
monthly,2019-09,0.001467
monthly,2019-10,0.009400
monthly,2019-11,-0.006160
monthly,2019-12,0.148643
monthly,2020-01,-0.076470
monthly,2020-02,0.112042
monthly,2020-03,-0.120955
monthly,2020-04,0.079502
monthly,2020-05,0.034287
monthly,2020-06,0.025679
monthly,2020-07,0.168714
monthly,2020-08,0.015461
monthly,2020-09,-0.019903
monthly,2020-10,-0.009337
monthly,2020-11,0.106782
monthly,2020-12,-0.104522
monthly,2021-01,-0.044175
monthly,2021-02,0.055138
monthly,2021-03,0.012927
monthly,2021-04,0.003914
monthly,2021-05,-0.005955
monthly,2021-06,-0.022348
monthly,2021-07,0.030059
monthly,2021-08,0.318214
monthly,2021-09,0.115368
monthly,2021-10,-0.134550
monthly,2021-11,-0.059123
monthly,2021-12,0.144182
monthly,2022-01,-0.010709
monthly,2022-02,0.055213
monthly,2022-03,0.118170
monthly,2022-04,0.044597
monthly,2022-05,0.122982
monthly,2022-06,0.006229
monthly,2022-07,-0.041510
monthly,2022-08,-0.006668
monthly,2022-09,-0.057136
monthly,2022-10,-0.011268
monthly,2022-11,0.018262
monthly,2022-12,-0.064827
monthly,2023-01,0.043777
monthly,2023-02,0.002909
monthly,2023-03,0.017294
monthly,2023-04,0.033825
monthly,2023-05,-0.004365
monthly,2023-06,0.054082
monthly,2023-07,0.005493
monthly,2023-08,-0.038852
monthly,2023-09,0.033908
monthly,2023-10,-0.008048
monthly,2023-11,0.016194
monthly,2023-12,0.002706
monthly,2024-01,0.035739
monthly,2024-02,0.112963
monthly,2024-03,0.026204
monthly,2024-04,0.073951
monthly,2024-05,0.018594
monthly,2024-06,-0.060377
monthly,2024-07,-0.096437
monthly,2024-08,-0.059294
monthly,2024-09,0.151837
monthly,2024-10,-0.087507
monthly,2024-11,-0.011975
monthly,2024-12,-0.000466
monthly,2025-01,0.010149
monthly,2025-02,0.015821
monthly,2025-03,0.033615
monthly,2025-04,-0.057784
monthly,2025-05,0.044105
monthly,2025-06,0.030388
monthly,2025-07,0.016984
monthly,2025-08,-0.015249
monthly,2025-09,-0.034081
monthly,2025-10,0.019658
monthly,2025-11,0.017910
monthly,2025-12,-0.018777
monthly,2026-01,-0.018565
monthly,2026-02,0.009194
monthly,2026-03,-0.002415
monthly,2026-04,0.013999
monthly,2026-05,-0.024674
monthly,2026-06,-0.057090
monthly,2026-07,0.122281
monthly,2026-08,-0.029447
