period_type,period,return_pct
annual,2010,0.035914
annual,2011,-0.198916
annual,2012,-0.059139
annual,2013,0.320573
annual,2014,0.891328
annual,2015,0.145291
annual,2016,0.010192
annual,2017,0.654955
annual,2018,-0.116951
annual,2019,0.719443
annual,2020,0.260691
annual,2021,0.563063
annual,2022,0.267521
annual,2023,0.210622
annual,2024,0.386289
annual,2025,0.345808
annual,2026,0.039667
monthly,2010-01,-0.004270
monthly,2010-02,0.000878
monthly,2010-03,0.008038
monthly,2010-04,-0.009840
monthly,2010-05,-0.000649
monthly,2010-06,0.000000
monthly,2010-07,0.000295
monthly,2010-08,0.010282
monthly,2010-09,0.033771
monthly,2010-10,0.096009
monthly,2010-11,-0.117042
monthly,2010-12,-0.020710
monthly,2011-01,-0.037521
monthly,2011-02,0.123576
monthly,2011-03,-0.015164
monthly,2011-04,-0.094752
monthly,2011-05,-0.071544
monthly,2011-06,-0.005374
monthly,2011-07,-0.006102
monthly,2011-08,-0.029703
monthly,2011-09,-0.063414
monthly,2011-10,0.011940
monthly,2011-11,-0.008753
monthly,2011-12,-0.028388
monthly,2012-01,-0.013891
monthly,2012-02,0.034220
monthly,2012-03,-0.051686
monthly,2012-04,0.002597
monthly,2012-05,-0.010308
monthly,2012-06,-0.065853
monthly,2012-07,-0.027990
monthly,2012-08,-0.077302
monthly,2012-09,-0.027473
monthly,2012-10,0.034584
monthly,2012-11,-0.040875
monthly,2012-12,0.127507
monthly,2013-01,0.024358
monthly,2013-02,0.006141
monthly,2013-03,-0.101076
monthly,2013-04,0.009119
monthly,2013-05,0.154014
monthly,2013-06,-0.031189
monthly,2013-07,0.075257
monthly,2013-08,-0.007609
monthly,2013-09,0.133913
monthly,2013-10,-0.087587
monthly,2013-11,0.077459
monthly,2013-12,0.022531
monthly,2014-01,0.090611
monthly,2014-02,-0.007385
monthly,2014-03,0.004549
monthly,2014-04,-0.010976
monthly,2014-05,-0.026035
monthly,2014-06,-0.010842
monthly,2014-07,0.114333
monthly,2014-08,0.031245
monthly,2014-09,0.008704
monthly,2014-10,-0.015056
monthly,2014-11,0.079144
monthly,2014-12,0.306795
monthly,2015-01,-0.132322
monthly,2015-02,0.074711
monthly,2015-03,0.106118
monthly,2015-04,0.094246
monthly,2015-05,0.032756
monthly,2015-06,-0.029043
monthly,2015-07,-0.070457
monthly,2015-08,-0.009629
monthly,2015-09,0.076865
monthly,2015-10,0.003343
monthly,2015-11,-0.031253
monthly,2015-12,0.056724
monthly,2016-01,-0.121964
monthly,2016-02,0.000028
monthly,2016-03,0.036823
monthly,2016-04,0.028837
monthly,2016-05,0.012775
monthly,2016-06,-0.010765
monthly,2016-07,0.033985
monthly,2016-08,0.053301
monthly,2016-09,-0.000270
monthly,2016-10,-0.011946
monthly,2016-11,0.051321
monthly,2016-12,-0.056384
monthly,2017-01,0.041819
monthly,2017-02,0.083621
monthly,2017-03,0.011507
monthly,2017-04,-0.007572
monthly,2017-05,0.158131
monthly,2017-06,0.084877
monthly,2017-07,0.055900
monthly,2017-08,0.012712
monthly,2017-09,-0.020539
monthly,2017-10,0.038855
monthly,2017-11,0.070240
monthly,2017-12,0.012223
monthly,2018-01,0.083929
monthly,2018-02,-0.004150
monthly,2018-03,-0.022206
monthly,2018-04,-0.007426
monthly,2018-05,-0.001927
monthly,2018-06,-0.037154
monthly,2018-07,0.022880
monthly,2018-08,-0.024214
monthly,2018-09,-0.008862
monthly,2018-10,-0.046293
monthly,2018-11,-0.056605
monthly,2018-12,0.001695
monthly,2019-01,0.031839
monthly,2019-02,0.121633
monthly,2019-03,0.112794
monthly,2019-04,-0.007338
monthly,2019-05,0.050726
monthly,2019-06,0.100042
monthly,2019-07,0.013887
monthly,2019-08,-0.054871
monthly,2019-09,0.024942
monthly,2019-10,-0.000818
monthly,2019-11,-0.008954
monthly,2019-12,0.105652
monthly,2020-01,-0.079385
monthly,2020-02,0.077640
monthly,2020-03,-0.154263
monthly,2020-04,0.104984
monthly,2020-05,-0.030294
monthly,2020-06,-0.014407
monthly,2020-07,0.281617
monthly,2020-08,-0.011520
monthly,2020-09,-0.003740
monthly,2020-10,0.004431
monthly,2020-11,0.085683
monthly,2020-12,-0.099495
monthly,2021-01,0.038899
monthly,2021-02,0.057884
monthly,2021-03,-0.004708
monthly,2021-04,0.002247
monthly,2021-05,-0.009166
monthly,2021-06,-0.022649
monthly,2021-07,0.027703
monthly,2021-08,0.312583
monthly,2021-09,0.114889
monthly,2021-10,-0.132999
monthly,2021-11,-0.056744
monthly,2021-12,0.133120
monthly,2022-01,-0.005219
monthly,2022-02,0.057312
monthly,2022-03,0.109902
monthly,2022-04,0.044570
monthly,2022-05,0.122807
monthly,2022-06,0.049057
monthly,2022-07,-0.062404
monthly,2022-08,-0.024382
monthly,2022-09,-0.046702
monthly,2022-10,-0.043271
monthly,2022-11,0.033531
monthly,2022-12,-0.035339
monthly,2023-01,0.054668
monthly,2023-02,-0.012663
monthly,2023-03,-0.028217
monthly,2023-04,0.011431
monthly,2023-05,-0.054982
monthly,2023-06,0.070068
monthly,2023-07,0.014857
monthly,2023-08,-0.019158
monthly,2023-09,0.059688
monthly,2023-10,-0.006915
monthly,2023-11,0.030348
monthly,2023-12,-0.001468
monthly,2024-01,0.100685
monthly,2024-02,0.131861
monthly,2024-03,0.020037
monthly,2024-04,0.082977
monthly,2024-05,0.036738
monthly,2024-06,-0.058225
monthly,2024-07,-0.102795
monthly,2024-08,-0.040657
monthly,2024-09,0.171708
monthly,2024-10,-0.050531
monthly,2024-11,-0.010907
monthly,2024-12,-0.002369
monthly,2025-01,0.025365
monthly,2025-02,0.013239
monthly,2025-03,0.017059
monthly,2025-04,-0.075702
monthly,2025-05,0.058000
monthly,2025-06,0.034205
monthly,2025-07,0.031874
monthly,2025-08,0.006113
monthly,2025-09,0.062231
monthly,2025-10,0.044271
monthly,2025-11,0.005303
monthly,2025-12,0.003241
monthly,2026-01,0.016791
monthly,2026-02,0.079536
monthly,2026-03,-0.039039
monthly,2026-04,0.032527
monthly,2026-05,-0.032797
monthly,2026-06,-0.157781
monthly,2026-07,0.136970
monthly,2026-08,-0.007052
