period_type,period,return_pct
annual,2017,0.123052
annual,2018,-0.208803
annual,2019,0.648008
annual,2020,0.181079
annual,2021,0.468645
annual,2022,0.151622
annual,2023,0.170124
annual,2024,0.246225
annual,2025,0.119958
annual,2026,0.033169
monthly,2017-07,0.011283
monthly,2017-08,0.029778
monthly,2017-09,-0.014478
monthly,2017-10,0.040124
monthly,2017-11,0.038002
monthly,2017-12,0.018662
monthly,2018-01,0.087712
monthly,2018-02,-0.071678
monthly,2018-03,-0.058347
monthly,2018-04,0.008734
monthly,2018-05,-0.015461
monthly,2018-06,-0.039928
monthly,2018-07,0.081775
monthly,2018-08,-0.004700
monthly,2018-09,0.026510
monthly,2018-10,-0.043721
monthly,2018-11,-0.024238
monthly,2018-12,-0.118562
monthly,2019-01,0.100420
monthly,2019-02,0.107018
monthly,2019-03,0.093726
monthly,2019-04,-0.007450
monthly,2019-05,0.040812
monthly,2019-06,0.081944
monthly,2019-07,0.031531
monthly,2019-08,-0.044418
monthly,2019-09,-0.016487
monthly,2019-10,-0.006210
monthly,2019-11,-0.008861
monthly,2019-12,0.070584
monthly,2020-01,-0.033231
monthly,2020-02,0.037559
monthly,2020-03,-0.122033
monthly,2020-04,-0.000386
monthly,2020-05,-0.009196
monthly,2020-06,0.031098
monthly,2020-07,0.172298
monthly,2020-08,0.024485
monthly,2020-09,0.001882
monthly,2020-10,0.002457
monthly,2020-11,0.104103
monthly,2020-12,-0.104070
monthly,2021-01,0.011975
monthly,2021-02,0.055900
monthly,2021-03,-0.009445
monthly,2021-04,0.002833
monthly,2021-05,-0.003002
monthly,2021-06,-0.023765
monthly,2021-07,0.026343
monthly,2021-08,0.317715
monthly,2021-09,0.111694
monthly,2021-10,-0.132039
monthly,2021-11,-0.053390
monthly,2021-12,0.095742
monthly,2022-01,0.009531
monthly,2022-02,0.090539
monthly,2022-03,0.084866
monthly,2022-04,-0.037702
monthly,2022-05,0.088897
monthly,2022-06,0.051482
monthly,2022-07,-0.038855
monthly,2022-08,-0.019885
monthly,2022-09,-0.091100
monthly,2022-10,0.019592
monthly,2022-11,0.012366
monthly,2022-12,-0.065989
monthly,2023-01,0.064489
monthly,2023-02,-0.014758
monthly,2023-03,-0.026561
monthly,2023-04,-0.000129
monthly,2023-05,-0.027551
monthly,2023-06,0.030862
monthly,2023-07,0.026679
monthly,2023-08,-0.038985
monthly,2023-09,0.026364
monthly,2023-10,0.003513
monthly,2023-11,0.054285
monthly,2023-12,-0.007093
monthly,2024-01,0.017145
monthly,2024-02,0.131082
monthly,2024-03,0.001710
monthly,2024-04,0.153740
monthly,2024-05,0.071797
monthly,2024-06,-0.063519
monthly,2024-07,-0.142958
monthly,2024-08,-0.048750
monthly,2024-09,0.168853
monthly,2024-10,-0.001543
monthly,2024-11,-0.024768
monthly,2024-12,-0.039856
monthly,2025-01,0.004716
monthly,2025-02,0.034893
monthly,2025-03,0.023254
monthly,2025-04,-0.061880
monthly,2025-05,0.032041
monthly,2025-06,0.034192
monthly,2025-07,0.018898
monthly,2025-08,-0.004595
monthly,2025-09,-0.027926
monthly,2025-10,0.020997
monthly,2025-11,0.013479
monthly,2025-12,-0.011003
monthly,2026-01,0.017682
monthly,2026-02,0.023869
monthly,2026-03,-0.029414
monthly,2026-04,0.022802
monthly,2026-05,-0.026688
monthly,2026-06,-0.057682
monthly,2026-07,0.114073
monthly,2026-08,-0.029041
