period_type,period,return_pct
annual,2022,-0.124092
annual,2023,0.268527
annual,2024,0.271551
annual,2025,0.103956
annual,2026,0.017929
monthly,2022-07,-0.015570
monthly,2022-08,-0.022446
monthly,2022-09,-0.052905
monthly,2022-10,0.021533
monthly,2022-11,-0.006954
monthly,2022-12,-0.046000
monthly,2023-01,0.074598
monthly,2023-02,-0.004284
monthly,2023-03,0.050530
monthly,2023-04,0.014887
monthly,2023-05,-0.053192
monthly,2023-06,0.060611
monthly,2023-07,0.018455
monthly,2023-08,-0.033860
monthly,2023-09,0.030565
monthly,2023-10,-0.013575
monthly,2023-11,0.016890
monthly,2023-12,0.008420
monthly,2024-01,0.055946
monthly,2024-02,0.132495
monthly,2024-03,0.021815
monthly,2024-04,0.083758
monthly,2024-05,0.024922
monthly,2024-06,-0.058354
monthly,2024-07,-0.097687
monthly,2024-08,-0.056983
monthly,2024-09,0.153826
monthly,2024-10,-0.060787
monthly,2024-11,-0.020816
monthly,2024-12,-0.004882
monthly,2025-01,0.003633
monthly,2025-02,0.017836
monthly,2025-03,0.035199
monthly,2025-04,-0.056279
monthly,2025-05,0.042782
monthly,2025-06,0.030522
monthly,2025-07,0.015086
monthly,2025-08,-0.012082
monthly,2025-09,-0.025436
monthly,2025-10,0.021033
monthly,2025-11,0.020064
monthly,2025-12,-0.020363
monthly,2026-01,-0.011499
monthly,2026-02,0.007076
monthly,2026-03,-0.007111
monthly,2026-04,0.018603
monthly,2026-05,-0.023228
monthly,2026-06,-0.057554
monthly,2026-07,0.120357
monthly,2026-08,-0.029602
