period_type,period,return_pct
annual,2010,0.105827
annual,2011,-0.231648
annual,2012,-0.111064
annual,2013,0.194912
annual,2014,0.964076
annual,2015,0.016459
annual,2016,0.059292
annual,2017,0.581191
annual,2018,-0.099206
annual,2019,0.423983
annual,2020,0.473739
annual,2021,0.471845
annual,2022,0.411363
annual,2023,0.277725
annual,2024,0.296990
annual,2025,0.173650
annual,2026,-0.013131
monthly,2010-07,-0.000074
monthly,2010-08,0.025096
monthly,2010-09,0.001258
monthly,2010-10,0.131094
monthly,2010-11,-0.059779
monthly,2010-12,-0.066866
monthly,2011-01,-0.104370
monthly,2011-02,0.094972
monthly,2011-03,-0.028439
monthly,2011-04,-0.082845
monthly,2011-05,-0.037460
monthly,2011-06,0.014269
monthly,2011-07,0.005784
monthly,2011-08,-0.027866
monthly,2011-09,-0.072099
monthly,2011-10,0.022468
monthly,2011-11,-0.018481
monthly,2011-12,-0.031166
monthly,2012-01,-0.034715
monthly,2012-02,0.038691
monthly,2012-03,-0.061148
monthly,2012-04,0.011083
monthly,2012-05,-0.018962
monthly,2012-06,-0.068500
monthly,2012-07,-0.031373
monthly,2012-08,-0.076955
monthly,2012-09,-0.030937
monthly,2012-10,0.020584
monthly,2012-11,-0.053550
monthly,2012-12,0.131412
monthly,2013-01,0.016396
monthly,2013-02,0.003493
monthly,2013-03,-0.100899
monthly,2013-04,0.002569
monthly,2013-05,0.147976
monthly,2013-06,-0.026550
monthly,2013-07,0.085525
monthly,2013-08,-0.055260
monthly,2013-09,0.124249
monthly,2013-10,-0.127787
monthly,2013-11,0.062743
monthly,2013-12,0.032667
monthly,2014-01,0.078272
monthly,2014-02,-0.087294
monthly,2014-03,0.004938
monthly,2014-04,0.032481
monthly,2014-05,0.047746
monthly,2014-06,-0.005009
monthly,2014-07,0.111368
monthly,2014-08,0.017973
monthly,2014-09,0.046788
monthly,2014-10,-0.012378
monthly,2014-11,0.099616
monthly,2014-12,0.247884
monthly,2015-01,-0.120477
monthly,2015-02,0.082506
monthly,2015-03,0.103947
monthly,2015-04,0.040391
monthly,2015-05,-0.011727
monthly,2015-06,-0.042020
monthly,2015-07,-0.123725
monthly,2015-08,0.036473
monthly,2015-09,0.071899
monthly,2015-10,0.003584
monthly,2015-11,-0.031745
monthly,2015-12,0.053173
monthly,2016-01,-0.117934
monthly,2016-02,-0.009385
monthly,2016-03,0.040726
monthly,2016-04,0.026340
monthly,2016-05,0.009687
monthly,2016-06,0.008820
monthly,2016-07,0.033041
monthly,2016-08,0.054255
monthly,2016-09,-0.024741
monthly,2016-10,0.017067
monthly,2016-11,0.039169
monthly,2016-12,-0.034735
monthly,2017-01,0.053611
monthly,2017-02,0.054811
monthly,2017-03,0.002408
monthly,2017-04,-0.021690
monthly,2017-05,0.110706
monthly,2017-06,0.095673
monthly,2017-07,0.069627
monthly,2017-08,0.007769
monthly,2017-09,-0.034982
monthly,2017-10,0.034520
monthly,2017-11,0.062738
monthly,2017-12,0.045016
monthly,2018-01,0.097075
monthly,2018-02,-0.017091
monthly,2018-03,-0.016748
monthly,2018-04,0.003183
monthly,2018-05,-0.001468
monthly,2018-06,-0.002183
monthly,2018-07,0.009313
monthly,2018-08,-0.012827
monthly,2018-09,-0.017635
monthly,2018-10,-0.065060
monthly,2018-11,-0.031897
monthly,2018-12,-0.031368
monthly,2019-01,-0.019136
monthly,2019-02,0.167843
monthly,2019-03,0.084323
monthly,2019-04,-0.026509
monthly,2019-05,-0.001317
monthly,2019-06,0.033138
monthly,2019-07,0.030120
monthly,2019-08,-0.075786
monthly,2019-09,-0.016869
monthly,2019-10,-0.001723
monthly,2019-11,-0.015785
monthly,2019-12,0.143991
monthly,2020-01,-0.092196
monthly,2020-02,0.099216
monthly,2020-03,-0.114511
monthly,2020-04,0.078738
monthly,2020-05,0.050730
monthly,2020-06,0.032266
monthly,2020-07,0.158848
monthly,2020-08,0.008385
monthly,2020-09,0.017161
monthly,2020-10,0.008532
monthly,2020-11,0.113014
monthly,2020-12,-0.093183
monthly,2021-01,0.016664
monthly,2021-02,0.055814
monthly,2021-03,-0.011704
monthly,2021-04,0.002877
monthly,2021-05,-0.003042
monthly,2021-06,-0.023968
monthly,2021-07,0.025328
monthly,2021-08,0.318642
monthly,2021-09,0.109344
monthly,2021-10,-0.132013
monthly,2021-11,-0.054105
monthly,2021-12,0.098634
monthly,2022-01,0.000960
monthly,2022-02,0.098777
monthly,2022-03,0.080895
monthly,2022-04,0.030840
monthly,2022-05,0.125835
monthly,2022-06,0.081030
monthly,2022-07,0.030506
monthly,2022-08,-0.039640
monthly,2022-09,-0.070653
monthly,2022-10,0.035341
monthly,2022-11,-0.013430
monthly,2022-12,-0.057124
monthly,2023-01,0.071467
monthly,2023-02,-0.005886
monthly,2023-03,0.042582
monthly,2023-04,0.030437
monthly,2023-05,-0.055887
monthly,2023-06,0.064650
monthly,2023-07,0.018076
monthly,2023-08,-0.029492
monthly,2023-09,0.050338
monthly,2023-10,-0.009590
monthly,2023-11,0.016305
monthly,2023-12,0.007362
monthly,2024-01,0.053270
monthly,2024-02,0.120295
monthly,2024-03,0.026723
monthly,2024-04,0.091620
monthly,2024-05,0.024978
monthly,2024-06,-0.059580
monthly,2024-07,-0.100242
monthly,2024-08,-0.049440
monthly,2024-09,0.163163
monthly,2024-10,-0.058577
monthly,2024-11,-0.030568
monthly,2024-12,0.019607
monthly,2025-01,0.026971
monthly,2025-02,-0.021837
monthly,2025-03,0.057300
monthly,2025-04,-0.047113
monthly,2025-05,0.059979
monthly,2025-06,0.022903
monthly,2025-07,0.029122
monthly,2025-08,-0.004199
monthly,2025-09,-0.005372
monthly,2025-10,0.027115
monthly,2025-11,0.005771
monthly,2025-12,-0.009071
monthly,2026-01,0.002075
monthly,2026-02,0.027145
monthly,2026-03,-0.017789
monthly,2026-04,0.018195
monthly,2026-05,-0.024196
monthly,2026-06,-0.089638
monthly,2026-07,0.109813
monthly,2026-08,-0.029394
