period_type,period,return_pct
annual,2002,0.000000
annual,2003,-0.007242
annual,2004,-0.064424
annual,2005,0.156802
annual,2006,1.527575
annual,2007,1.085561
annual,2008,-0.161819
annual,2009,1.055504
annual,2010,0.300992
annual,2011,-0.249884
annual,2012,-0.111973
annual,2013,0.186298
annual,2014,0.830307
annual,2015,-0.059343
annual,2016,0.085936
annual,2017,0.561822
annual,2018,-0.180956
annual,2019,0.428214
annual,2020,0.404543
annual,2021,0.474780
annual,2022,0.289782
annual,2023,0.291108
annual,2024,0.301979
annual,2025,0.160018
annual,2026,0.013153
monthly,2002-02,0.000000
monthly,2002-03,0.000000
monthly,2002-04,0.000000
monthly,2002-05,0.000000
monthly,2002-06,0.000000
monthly,2002-07,0.000000
monthly,2002-08,0.000000
monthly,2002-09,0.000000
monthly,2002-10,0.000000
monthly,2002-11,0.000000
monthly,2002-12,0.000000
monthly,2003-01,0.000000
monthly,2003-02,0.000000
monthly,2003-03,-0.000056
monthly,2003-04,0.000777
monthly,2003-05,0.021455
monthly,2003-06,-0.011458
monthly,2003-07,0.023551
monthly,2003-08,-0.010660
monthly,2003-09,-0.013018
monthly,2003-10,-0.003939
monthly,2003-11,-0.026105
monthly,2003-12,-0.002013
monthly,2004-01,0.025916
monthly,2004-02,0.005331
monthly,2004-03,0.019487
monthly,2004-04,0.007872
monthly,2004-05,-0.001516
monthly,2004-06,-0.065950
monthly,2004-07,0.000000
monthly,2004-08,-0.000440
monthly,2004-09,0.006057
monthly,2004-10,-0.004908
monthly,2004-11,-0.044887
monthly,2004-12,-0.022928
monthly,2005-01,0.026042
monthly,2005-02,0.038826
monthly,2005-03,0.009589
monthly,2005-04,0.028986
monthly,2005-05,-0.058760
monthly,2005-06,0.065877
monthly,2005-07,0.018324
monthly,2005-08,0.008627
monthly,2005-09,0.044170
monthly,2005-10,0.026278
monthly,2005-11,-0.042212
monthly,2005-12,-0.024683
monthly,2006-01,0.051761
monthly,2006-02,-0.040448
monthly,2006-03,0.123552
monthly,2006-04,0.142043
monthly,2006-05,0.148700
monthly,2006-06,0.021295
monthly,2006-07,-0.093391
monthly,2006-08,0.029232
monthly,2006-09,0.075230
monthly,2006-10,0.013049
monthly,2006-11,0.205651
monthly,2006-12,0.167658
monthly,2007-01,0.219950
monthly,2007-02,0.059773
