period_type,period,return_pct
annual,2016,0.127042
annual,2017,0.488793
annual,2018,-0.183466
annual,2019,0.508986
annual,2020,0.519791
annual,2021,0.470568
annual,2022,0.425628
annual,2023,0.277401
annual,2024,0.284801
annual,2025,0.095059
annual,2026,0.006744
monthly,2016-01,0.000976
monthly,2016-02,-0.003989
monthly,2016-03,-0.007229
monthly,2016-04,-0.026325
monthly,2016-05,-0.003304
monthly,2016-06,0.027714
monthly,2016-07,0.053616
monthly,2016-08,0.045431
monthly,2016-09,-0.018755
monthly,2016-10,0.033034
monthly,2016-11,0.030450
monthly,2016-12,-0.026921
monthly,2017-01,0.046961
monthly,2017-02,0.058377
monthly,2017-03,0.038093
monthly,2017-04,-0.031920
monthly,2017-05,0.056069
monthly,2017-06,0.079054
monthly,2017-07,0.032320
monthly,2017-08,-0.009831
monthly,2017-09,-0.009483
monthly,2017-10,0.025600
monthly,2017-11,0.050081
monthly,2017-12,0.064860
monthly,2018-01,0.085523
monthly,2018-02,-0.092615
monthly,2018-03,-0.054142
monthly,2018-04,0.011972
monthly,2018-05,-0.009790
monthly,2018-06,-0.044548
monthly,2018-07,0.105091
monthly,2018-08,-0.016957
monthly,2018-09,-0.005845
monthly,2018-10,-0.074140
monthly,2018-11,-0.023798
monthly,2018-12,-0.030405
monthly,2019-01,-0.020318
monthly,2019-02,0.172614
monthly,2019-03,0.087513
monthly,2019-04,-0.029622
monthly,2019-05,-0.007641
monthly,2019-06,0.048355
monthly,2019-07,0.023103
monthly,2019-08,-0.062009
monthly,2019-09,-0.001070
monthly,2019-10,0.021108
monthly,2019-11,-0.025273
monthly,2019-12,0.151984
monthly,2020-01,-0.078688
monthly,2020-02,0.127383
monthly,2020-03,-0.127873
monthly,2020-04,0.079213
monthly,2020-05,0.048729
monthly,2020-06,0.032611
monthly,2020-07,0.171520
monthly,2020-08,0.024457
monthly,2020-09,0.010878
monthly,2020-10,0.010997
monthly,2020-11,0.117294
monthly,2020-12,-0.104009
monthly,2021-01,0.011450
monthly,2021-02,0.055586
monthly,2021-03,-0.009233
monthly,2021-04,0.002738
monthly,2021-05,-0.002921
monthly,2021-06,-0.023768
monthly,2021-07,0.026522
monthly,2021-08,0.318509
monthly,2021-09,0.114648
monthly,2021-10,-0.129956
monthly,2021-11,-0.058130
monthly,2021-12,0.093206
monthly,2022-01,0.021454
monthly,2022-02,0.049917
monthly,2022-03,0.114522
monthly,2022-04,0.044740
monthly,2022-05,0.123323
monthly,2022-06,0.083628
monthly,2022-07,0.031071
monthly,2022-08,-0.037093
monthly,2022-09,-0.078577
monthly,2022-10,0.034707
monthly,2022-11,-0.011965
monthly,2022-12,-0.055908
monthly,2023-01,0.069912
monthly,2023-02,-0.008941
monthly,2023-03,0.048927
monthly,2023-04,0.024135
monthly,2023-05,-0.051024
monthly,2023-06,0.063968
monthly,2023-07,0.017018
monthly,2023-08,-0.030074
monthly,2023-09,0.051337
monthly,2023-10,-0.016576
monthly,2023-11,0.012169
monthly,2023-12,0.008250
monthly,2024-01,0.053680
monthly,2024-02,0.129954
monthly,2024-03,0.020898
monthly,2024-04,0.089987
monthly,2024-05,0.028080
monthly,2024-06,-0.060850
monthly,2024-07,-0.100679
monthly,2024-08,-0.057122
monthly,2024-09,0.169498
monthly,2024-10,-0.072250
monthly,2024-11,-0.022962
monthly,2024-12,-0.002222
monthly,2025-01,0.004954
monthly,2025-02,0.014404
monthly,2025-03,0.035760
monthly,2025-04,-0.056571
monthly,2025-05,0.044190
monthly,2025-06,0.030221
monthly,2025-07,0.020916
monthly,2025-08,-0.015156
monthly,2025-09,-0.033568
monthly,2025-10,0.021771
monthly,2025-11,0.017563
monthly,2025-12,-0.018303
monthly,2026-01,-0.016694
monthly,2026-02,0.010816
monthly,2026-03,-0.003596
monthly,2026-04,0.014708
monthly,2026-05,-0.025926
monthly,2026-06,-0.057112
monthly,2026-07,0.119896
monthly,2026-08,-0.029417
