period_type,period,return_pct
annual,2002,0.000000
annual,2003,-0.006292
annual,2004,-0.074489
annual,2005,0.084074
annual,2006,1.587892
annual,2007,1.147929
annual,2008,-0.180294
annual,2009,1.358722
annual,2010,0.346853
annual,2011,-0.226140
annual,2012,-0.079551
annual,2013,0.286120
annual,2014,0.946651
annual,2015,0.019299
annual,2016,-0.011252
annual,2017,0.501733
annual,2018,-0.273112
annual,2019,0.557315
annual,2020,0.409247
annual,2021,0.482867
annual,2022,0.350663
annual,2023,0.244892
annual,2024,0.225437
annual,2025,0.136653
annual,2026,0.004291
monthly,2002-02,0.000000
monthly,2002-03,0.000000
monthly,2002-04,0.000000
monthly,2002-05,0.000000
monthly,2002-06,0.000000
monthly,2002-07,0.000000
monthly,2002-08,0.000000
monthly,2002-09,0.000000
monthly,2002-10,0.000000
monthly,2002-11,0.000000
monthly,2002-12,0.000000
monthly,2003-01,0.000000
monthly,2003-02,0.000000
monthly,2003-03,-0.000056
monthly,2003-04,0.001677
monthly,2003-05,0.019314
monthly,2003-06,-0.010369
monthly,2003-07,0.021016
monthly,2003-08,-0.009582
monthly,2003-09,-0.011792
monthly,2003-10,-0.003550
monthly,2003-11,-0.022751
monthly,2003-12,-0.003283
monthly,2004-01,0.019794
monthly,2004-02,-0.003409
monthly,2004-03,0.024965
monthly,2004-04,0.010166
monthly,2004-05,-0.004342
monthly,2004-06,-0.066539
monthly,2004-07,0.000000
monthly,2004-08,-0.000432
monthly,2004-09,0.006124
monthly,2004-10,-0.004682
monthly,2004-11,-0.042281
monthly,2004-12,-0.023217
monthly,2005-01,0.020452
monthly,2005-02,0.024093
monthly,2005-03,-0.002443
monthly,2005-04,0.008201
monthly,2005-05,-0.028467
monthly,2005-06,0.024564
monthly,2005-07,0.017364
monthly,2005-08,0.000476
monthly,2005-09,0.039186
monthly,2005-10,0.029280
monthly,2005-11,-0.040658
monthly,2005-12,-0.024396
monthly,2006-01,0.051978
monthly,2006-02,-0.044461
monthly,2006-03,0.122385
monthly,2006-04,0.144035
monthly,2006-05,0.167218
monthly,2006-06,0.031561
monthly,2006-07,-0.094955
monthly,2006-08,0.028871
monthly,2006-09,0.077783
monthly,2006-10,0.013340
monthly,2006-11,0.202481
monthly,2006-12,0.169224
monthly,2007-01,0.185433
monthly,2007-02,0.081357
monthly,2007-03,0.261450
monthly,2007-04,0.203213
monthly,2007-05,0.127967
monthly,2007-06,-0.097918
monthly,2007-07,0.044610
monthly,2007-08,0.035482
monthly,2007-09,0.012452
monthly,2007-10,-0.025805
monthly,2007-11,-0.006274
monthly,2007-12,0.030491
monthly,2008-01,-0.042657
monthly,2008-02,0.036382
monthly,2008-03,0.000468
monthly,2008-04,-0.002742
monthly,2008-05,-0.022696
monthly,2008-06,-0.050677
monthly,2008-07,0.014105
monthly,2008-08,-0.043058
monthly,2008-09,-0.016277
monthly,2008-10,-0.028014
monthly,2008-11,-0.000682
monthly,2008-12,-0.023573
monthly,2009-01,0.042113
monthly,2009-02,-0.014074
monthly,2009-03,0.221722
monthly,2009-04,0.078095
monthly,2009-05,0.055681
monthly,2009-06,0.004045
monthly,2009-07,0.176034
monthly,2009-08,-0.172900
monthly,2009-09,0.103644
monthly,2009-10,0.044617
monthly,2009-11,0.119923
monthly,2009-12,0.041664
monthly,2010-01,-0.014376
monthly,2010-02,0.088262
monthly,2010-03,0.022031
monthly,2010-04,0.001429
monthly,2010-05,-0.026141
monthly,2010-06,0.006553
monthly,2010-07,0.044844
monthly,2010-08,0.048813
monthly,2010-09,-0.011081
monthly,2010-10,0.229974
monthly,2010-11,-0.056172
monthly,2010-12,-0.070932
monthly,2011-01,-0.104266
monthly,2011-02,0.089883
monthly,2011-03,-0.026525
monthly,2011-04,-0.075204
monthly,2011-05,-0.034940
monthly,2011-06,0.016267
monthly,2011-07,0.004493
monthly,2011-08,-0.026060
monthly,2011-09,-0.073511
monthly,2011-10,0.026955
monthly,2011-11,-0.018618
monthly,2011-12,-0.038330
monthly,2012-01,-0.035739
monthly,2012-02,0.050106
monthly,2012-03,-0.057460
monthly,2012-04,0.015569
monthly,2012-05,-0.017407
monthly,2012-06,-0.061133
monthly,2012-07,-0.040140
monthly,2012-08,-0.087115
monthly,2012-09,-0.031384
monthly,2012-10,0.032379
monthly,2012-11,-0.043486
monthly,2012-12,0.134160
monthly,2013-01,0.017620
monthly,2013-02,0.007901
monthly,2013-03,-0.083970
monthly,2013-04,0.009648
monthly,2013-05,0.160614
monthly,2013-06,-0.023114
monthly,2013-07,0.094091
monthly,2013-08,-0.049604
monthly,2013-09,0.126517
monthly,2013-10,-0.094581
monthly,2013-11,0.040507
monthly,2013-12,0.026168
monthly,2014-01,0.040576
monthly,2014-02,-0.091255
monthly,2014-03,0.006955
monthly,2014-04,0.016776
monthly,2014-05,0.048683
monthly,2014-06,0.035473
monthly,2014-07,0.093129
monthly,2014-08,0.022180
monthly,2014-09,0.053993
monthly,2014-10,-0.005522
monthly,2014-11,0.109536
monthly,2014-12,0.262497
monthly,2015-01,-0.116660
monthly,2015-02,0.078133
monthly,2015-03,0.088146
monthly,2015-04,0.078862
monthly,2015-05,-0.024414
monthly,2015-06,-0.051820
monthly,2015-07,-0.069767
monthly,2015-08,-0.039925
monthly,2015-09,0.078909
monthly,2015-10,0.004327
monthly,2015-11,-0.034811
monthly,2015-12,0.056574
monthly,2016-01,-0.107707
monthly,2016-02,-0.010084
monthly,2016-03,0.047469
monthly,2016-04,0.025917
monthly,2016-05,0.009173
monthly,2016-06,-0.007750
monthly,2016-07,0.031383
monthly,2016-08,0.057236
monthly,2016-09,-0.030079
monthly,2016-10,-0.017071
monthly,2016-11,0.041994
monthly,2016-12,-0.050230
monthly,2017-01,0.044667
monthly,2017-02,0.064659
monthly,2017-03,-0.004640
monthly,2017-04,-0.020595
monthly,2017-05,0.120522
monthly,2017-06,0.095257
monthly,2017-07,0.079890
monthly,2017-08,0.011761
monthly,2017-09,-0.043459
monthly,2017-10,0.020688
monthly,2017-11,0.010576
monthly,2017-12,0.041086
monthly,2018-01,0.041563
monthly,2018-02,-0.052559
monthly,2018-03,-0.068478
monthly,2018-04,-0.010803
monthly,2018-05,-0.018818
monthly,2018-06,-0.046429
monthly,2018-07,0.015231
monthly,2018-08,-0.011544
monthly,2018-09,-0.011522
monthly,2018-10,-0.078747
monthly,2018-11,-0.021363
monthly,2018-12,-0.040125
monthly,2019-01,-0.020286
monthly,2019-02,0.166424
monthly,2019-03,0.114531
monthly,2019-04,-0.006300
monthly,2019-05,0.015280
monthly,2019-06,0.045446
monthly,2019-07,0.019908
monthly,2019-08,-0.076419
monthly,2019-09,0.001054
monthly,2019-10,0.002880
monthly,2019-11,-0.001106
monthly,2019-12,0.142233
monthly,2020-01,-0.093768
monthly,2020-02,0.099307
monthly,2020-03,-0.118212
monthly,2020-04,0.079985
monthly,2020-05,0.050259
monthly,2020-06,0.034624
monthly,2020-07,0.137417
monthly,2020-08,0.027328
monthly,2020-09,0.007584
monthly,2020-10,-0.001677
monthly,2020-11,0.114053
monthly,2020-12,-0.101701
monthly,2021-01,0.015726
monthly,2021-02,0.061104
monthly,2021-03,-0.003187
monthly,2021-04,0.000354
monthly,2021-05,-0.007396
monthly,2021-06,-0.023426
monthly,2021-07,0.028915
monthly,2021-08,0.320449
monthly,2021-09,0.109851
monthly,2021-10,-0.133690
monthly,2021-11,-0.055075
monthly,2021-12,0.093695
monthly,2022-01,0.008589
monthly,2022-02,0.101078
monthly,2022-03,0.095231
monthly,2022-04,0.035483
monthly,2022-05,0.123649
monthly,2022-06,0.080598
monthly,2022-07,-0.013014
monthly,2022-08,-0.036716
monthly,2022-09,-0.081414
monthly,2022-10,0.045072
monthly,2022-11,-0.014457
monthly,2022-12,-0.057343
monthly,2023-01,0.074620
monthly,2023-02,-0.010781
monthly,2023-03,0.040547
monthly,2023-04,0.034390
monthly,2023-05,-0.053994
monthly,2023-06,0.066461
monthly,2023-07,0.015905
monthly,2023-08,-0.031378
