period_type,period,return_pct
annual,2002,0.000000
annual,2003,-0.006824
annual,2004,-0.073174
annual,2005,0.073342
annual,2006,1.467570
annual,2007,1.206733
annual,2008,-0.210516
annual,2009,1.295938
annual,2010,0.223565
annual,2011,-0.192724
annual,2012,0.037716
annual,2013,0.213669
annual,2014,0.844076
annual,2015,0.003674
annual,2016,0.318706
annual,2017,0.589382
annual,2018,-0.183930
annual,2019,0.644653
annual,2020,0.303942
annual,2021,0.736172
annual,2022,0.302830
annual,2023,0.128957
annual,2024,0.325445
annual,2025,0.239838
annual,2026,-0.000803
monthly,2002-02,0.000000
monthly,2002-03,0.000000
monthly,2002-04,0.000000
monthly,2002-05,0.000000
monthly,2002-06,0.000000
monthly,2002-07,0.000000
monthly,2002-08,0.000000
monthly,2002-09,0.000000
monthly,2002-10,0.000000
monthly,2002-11,0.000000
monthly,2002-12,0.000000
monthly,2003-01,0.000000
monthly,2003-02,0.000000
monthly,2003-03,-0.000056
monthly,2003-04,0.000777
monthly,2003-05,0.021455
monthly,2003-06,-0.011458
monthly,2003-07,0.023551
monthly,2003-08,-0.010660
monthly,2003-09,-0.013018
monthly,2003-10,-0.003939
monthly,2003-11,-0.024452
monthly,2003-12,-0.003285
monthly,2004-01,0.019859
monthly,2004-02,-0.003346
monthly,2004-03,0.024966
monthly,2004-04,0.010303
monthly,2004-05,-0.004282
monthly,2004-06,-0.065762
monthly,2004-07,0.000000
monthly,2004-08,-0.000433
monthly,2004-09,0.006118
monthly,2004-10,-0.005475
monthly,2004-11,-0.041387
monthly,2004-12,-0.023350
monthly,2005-01,0.018426
monthly,2005-02,0.020719
monthly,2005-03,-0.005201
monthly,2005-04,0.007930
monthly,2005-05,-0.028558
monthly,2005-06,0.024631
monthly,2005-07,0.017525
monthly,2005-08,0.001636
monthly,2005-09,0.045038
monthly,2005-10,0.035755
monthly,2005-11,-0.050190
monthly,2005-12,-0.031182
monthly,2006-01,0.051411
monthly,2006-02,-0.034228
monthly,2006-03,0.123808
monthly,2006-04,0.122024
monthly,2006-05,0.145009
monthly,2006-06,0.065929
monthly,2006-07,-0.099106
monthly,2006-08,0.027827
monthly,2006-09,0.086015
monthly,2006-10,0.016041
monthly,2006-11,0.170801
monthly,2006-12,0.140889
monthly,2007-01,0.244808
monthly,2007-02,0.068971
monthly,2007-03,0.263980
monthly,2007-04,0.195368
monthly,2007-05,0.125240
monthly,2007-06,-0.104556
monthly,2007-07,0.048530
monthly,2007-08,0.040686
monthly,2007-09,0.017033
monthly,2007-10,-0.029984
monthly,2007-11,-0.007330
monthly,2007-12,0.035602
monthly,2008-01,-0.046378
monthly,2008-02,0.041740
monthly,2008-03,0.000624
monthly,2008-04,-0.003320
monthly,2008-05,-0.027376
monthly,2008-06,-0.061393
monthly,2008-07,0.017292
monthly,2008-08,-0.052653
monthly,2008-09,-0.020104
monthly,2008-10,-0.034779
monthly,2008-11,-0.000681
monthly,2008-12,-0.025365
monthly,2009-01,0.042028
monthly,2009-02,-0.001793
monthly,2009-03,0.214643
monthly,2009-04,0.090995
monthly,2009-05,0.032270
monthly,2009-06,0.014265
monthly,2009-07,0.186901
monthly,2009-08,-0.195705
monthly,2009-09,0.073567
monthly,2009-10,0.066849
monthly,2009-11,0.107479
monthly,2009-12,0.036463
monthly,2010-01,-0.032781
monthly,2010-02,0.068131
monthly,2010-03,0.031988
monthly,2010-04,0.010890
monthly,2010-05,-0.032712
monthly,2010-06,-0.012011
monthly,2010-07,0.054475
monthly,2010-08,0.042201
monthly,2010-09,-0.035604
monthly,2010-10,0.172932
