period_type,period,return_pct
annual,2010,0.242592
annual,2011,-0.280257
annual,2012,-0.058790
annual,2013,0.419259
annual,2014,0.808137
annual,2015,0.133146
annual,2016,0.104360
annual,2017,0.491778
annual,2018,-0.206434
annual,2019,0.515192
annual,2020,0.332177
annual,2021,0.541074
annual,2022,0.243489
annual,2023,0.188709
annual,2024,0.218013
annual,2025,0.264546
annual,2026,0.056023
monthly,2010-01,-0.019761
monthly,2010-02,0.005460
monthly,2010-03,0.010727
monthly,2010-04,0.028391
monthly,2010-05,0.005351
monthly,2010-06,-0.046254
monthly,2010-07,0.006388
monthly,2010-08,0.050850
monthly,2010-09,0.024712
monthly,2010-10,0.115068
monthly,2010-11,0.019753
monthly,2010-12,-0.071248
monthly,2011-01,-0.108791
monthly,2011-02,0.091204
monthly,2011-03,-0.042574
monthly,2011-04,-0.078672
monthly,2011-05,-0.057030
monthly,2011-06,0.010607
monthly,2011-07,-0.003856
monthly,2011-08,-0.042257
monthly,2011-09,-0.082144
monthly,2011-10,0.026216
monthly,2011-11,-0.019337
monthly,2011-12,-0.029394
monthly,2012-01,-0.039506
monthly,2012-02,0.037608
monthly,2012-03,-0.053981
monthly,2012-04,0.005187
monthly,2012-05,0.001791
monthly,2012-06,-0.060239
monthly,2012-07,-0.018480
monthly,2012-08,-0.077625
monthly,2012-09,-0.023459
monthly,2012-10,0.025886
monthly,2012-11,-0.050560
monthly,2012-12,0.131595
monthly,2013-01,0.037190
monthly,2013-02,0.000208
monthly,2013-03,-0.078845
monthly,2013-04,0.013508
monthly,2013-05,0.124269
monthly,2013-06,-0.033725
monthly,2013-07,0.052464
monthly,2013-08,0.000192
monthly,2013-09,0.097836
monthly,2013-10,-0.048252
monthly,2013-11,0.097470
monthly,2013-12,0.052973
monthly,2014-01,0.039563
monthly,2014-02,-0.099938
monthly,2014-03,-0.003062
monthly,2014-04,0.024747
monthly,2014-05,0.036019
monthly,2014-06,0.002188
monthly,2014-07,0.110969
monthly,2014-08,0.006863
monthly,2014-09,0.026064
monthly,2014-10,-0.001152
monthly,2014-11,0.096523
monthly,2014-12,0.271928
monthly,2015-01,-0.120364
monthly,2015-02,0.070226
monthly,2015-03,0.090568
monthly,2015-04,0.126952
monthly,2015-05,0.043527
monthly,2015-06,-0.045123
monthly,2015-07,-0.099247
monthly,2015-08,-0.008658
monthly,2015-09,0.043513
monthly,2015-10,0.005116
monthly,2015-11,-0.021154
monthly,2015-12,0.059168
monthly,2016-01,-0.114756
monthly,2016-02,-0.002289
monthly,2016-03,0.033631
monthly,2016-04,0.018758
monthly,2016-05,0.006034
monthly,2016-06,-0.007900
monthly,2016-07,0.038167
monthly,2016-08,0.049992
monthly,2016-09,0.014617
monthly,2016-10,0.040478
monthly,2016-11,0.034462
monthly,2016-12,-0.027422
monthly,2017-01,0.051591
monthly,2017-02,0.094729
monthly,2017-03,0.046378
monthly,2017-04,-0.046254
monthly,2017-05,0.024216
monthly,2017-06,0.076949
monthly,2017-07,0.010962
monthly,2017-08,-0.010781
monthly,2017-09,0.009367
monthly,2017-10,0.017832
monthly,2017-11,0.038715
monthly,2017-12,0.090735
monthly,2018-01,0.043666
monthly,2018-02,-0.016848
monthly,2018-03,-0.057549
monthly,2018-04,-0.005304
monthly,2018-05,0.005456
monthly,2018-06,-0.020349
monthly,2018-07,0.024533
monthly,2018-08,-0.024463
monthly,2018-09,-0.008741
monthly,2018-10,-0.086827
monthly,2018-11,-0.016483
monthly,2018-12,-0.030379
monthly,2019-01,0.000629
monthly,2019-02,0.162556
monthly,2019-03,0.074856
monthly,2019-04,0.020430
monthly,2019-05,-0.023755
monthly,2019-06,0.042042
monthly,2019-07,0.008113
monthly,2019-08,-0.020100
monthly,2019-09,0.004779
monthly,2019-10,-0.020566
monthly,2019-11,-0.024111
monthly,2019-12,0.112067
monthly,2020-01,-0.059579
monthly,2020-02,0.083771
monthly,2020-03,-0.147639
monthly,2020-04,0.060969
monthly,2020-05,-0.014014
monthly,2020-06,0.013440
monthly,2020-07,0.205627
monthly,2020-08,0.014211
monthly,2020-09,0.006325
monthly,2020-10,0.019740
monthly,2020-11,0.092168
monthly,2020-12,-0.092820
monthly,2021-01,0.019208
monthly,2021-02,0.058286
monthly,2021-03,-0.005961
monthly,2021-04,0.003244
monthly,2021-05,-0.008506
monthly,2021-06,-0.023234
monthly,2021-07,0.026749
monthly,2021-08,0.313911
monthly,2021-09,0.118089
monthly,2021-10,-0.133585
monthly,2021-11,-0.058577
monthly,2021-12,0.143850
monthly,2022-01,-0.008736
monthly,2022-02,0.054523
monthly,2022-03,0.107526
monthly,2022-04,0.044539
monthly,2022-05,0.122616
monthly,2022-06,0.048563
monthly,2022-07,-0.060086
monthly,2022-08,-0.024021
monthly,2022-09,-0.049147
monthly,2022-10,-0.044673
monthly,2022-11,0.033265
monthly,2022-12,-0.042129
monthly,2023-01,0.052459
monthly,2023-02,-0.012222
monthly,2023-03,-0.030239
monthly,2023-04,0.029901
monthly,2023-05,-0.054249
monthly,2023-06,0.076025
monthly,2023-07,0.003535
monthly,2023-08,-0.006472
monthly,2023-09,0.064610
monthly,2023-10,-0.039099
monthly,2023-11,0.023525
monthly,2023-12,0.002871
monthly,2024-01,0.037354
monthly,2024-02,0.086057
monthly,2024-03,0.011877
monthly,2024-04,0.081199
monthly,2024-05,0.044890
monthly,2024-06,-0.053640
monthly,2024-07,-0.110235
monthly,2024-08,-0.032984
monthly,2024-09,0.159032
monthly,2024-10,-0.057862
monthly,2024-11,-0.023769
monthly,2024-12,-0.013944
monthly,2025-01,0.032838
monthly,2025-02,0.007406
monthly,2025-03,0.020399
monthly,2025-04,-0.067193
monthly,2025-05,0.065312
monthly,2025-06,0.034922
monthly,2025-07,0.029978
monthly,2025-08,0.007084
monthly,2025-09,0.033092
monthly,2025-10,0.027025
monthly,2025-11,0.005586
monthly,2025-12,-0.009041
