period_type,period,return_pct
annual,2022,0.010500
annual,2023,0.197256
annual,2024,0.240366
annual,2025,0.200372
annual,2026,0.048062
monthly,2022-01,-0.014585
monthly,2022-02,-0.001188
monthly,2022-03,0.016195
monthly,2022-04,0.000879
monthly,2022-05,0.044711
monthly,2022-06,0.034004
monthly,2022-07,-0.036612
monthly,2022-08,0.032803
monthly,2022-09,-0.050644
monthly,2022-10,0.007270
monthly,2022-11,0.031781
monthly,2022-12,-0.061199
monthly,2023-01,0.042678
monthly,2023-02,-0.012987
monthly,2023-03,0.001464
monthly,2023-04,0.022570
monthly,2023-05,-0.050762
monthly,2023-06,0.079785
monthly,2023-07,0.009573
monthly,2023-08,-0.023353
monthly,2023-09,0.064327
monthly,2023-10,-0.022217
monthly,2023-11,0.026486
monthly,2023-12,0.000143
monthly,2024-01,0.093895
monthly,2024-02,0.107442
monthly,2024-03,0.033241
monthly,2024-04,0.060468
monthly,2024-05,-0.006878
monthly,2024-06,-0.035232
monthly,2024-07,-0.094848
monthly,2024-08,-0.053621
monthly,2024-09,0.186058
monthly,2024-10,-0.083715
monthly,2024-11,-0.015900
monthly,2024-12,0.005253
monthly,2025-01,0.034543
monthly,2025-02,0.027156
monthly,2025-03,0.035734
monthly,2025-04,-0.060228
monthly,2025-05,0.034468
monthly,2025-06,0.025858
monthly,2025-07,0.017531
monthly,2025-08,-0.005941
monthly,2025-09,-0.005341
monthly,2025-10,0.030276
monthly,2025-11,0.022349
monthly,2025-12,-0.000178
monthly,2026-01,0.040821
monthly,2026-02,0.045866
monthly,2026-03,-0.036998
monthly,2026-04,0.040806
monthly,2026-05,-0.031183
monthly,2026-06,-0.112489
monthly,2026-07,0.126714
monthly,2026-08,-0.020339
