period_type,period,return_pct
annual,2010,0.079449
annual,2011,-0.253242
annual,2012,-0.051762
annual,2013,0.260888
annual,2014,0.812146
annual,2015,0.062651
annual,2016,0.191261
annual,2017,0.488517
annual,2018,-0.147383
annual,2019,0.736767
annual,2020,0.213628
annual,2021,0.797559
annual,2022,0.174807
annual,2023,0.184104
annual,2024,0.274748
annual,2025,0.242875
annual,2026,0.010173
monthly,2010-01,-0.018903
monthly,2010-02,0.003533
monthly,2010-03,0.005097
monthly,2010-04,0.028382
monthly,2010-05,0.000030
monthly,2010-06,-0.019245
monthly,2010-07,-0.008695
monthly,2010-08,0.016142
monthly,2010-09,0.002420
monthly,2010-10,0.122145
monthly,2010-11,-0.058049
monthly,2010-12,-0.067552
monthly,2011-01,-0.105347
monthly,2011-02,0.092455
monthly,2011-03,-0.049068
monthly,2011-04,-0.087519
monthly,2011-05,-0.037980
monthly,2011-06,0.012340
monthly,2011-07,0.005501
monthly,2011-08,-0.024275
monthly,2011-09,-0.068867
monthly,2011-10,0.018245
monthly,2011-11,-0.020489
monthly,2011-12,-0.028534
monthly,2012-01,-0.033778
monthly,2012-02,0.030690
monthly,2012-03,-0.051280
monthly,2012-04,0.007398
monthly,2012-05,-0.033845
monthly,2012-06,-0.042124
monthly,2012-07,-0.003815
monthly,2012-08,-0.032798
monthly,2012-09,-0.013609
monthly,2012-10,0.024304
monthly,2012-11,-0.053698
monthly,2012-12,0.123722
monthly,2013-01,0.021406
monthly,2013-02,0.008828
monthly,2013-03,-0.086467
monthly,2013-04,-0.000033
monthly,2013-05,0.139193
monthly,2013-06,-0.030065
monthly,2013-07,0.079181
monthly,2013-08,-0.008793
monthly,2013-09,0.104033
monthly,2013-10,-0.118776
monthly,2013-11,0.060152
monthly,2013-12,0.045151
monthly,2014-01,0.071110
monthly,2014-02,-0.113136
monthly,2014-03,-0.002243
monthly,2014-04,0.027538
monthly,2014-05,0.066683
monthly,2014-06,0.030528
monthly,2014-07,0.072068
monthly,2014-08,-0.007977
monthly,2014-09,0.032074
monthly,2014-10,-0.011106
monthly,2014-11,0.087042
monthly,2014-12,0.248128
monthly,2015-01,-0.113355
monthly,2015-02,0.073796
monthly,2015-03,0.102591
monthly,2015-04,0.066451
monthly,2015-05,0.005846
monthly,2015-06,-0.013275
monthly,2015-07,-0.148178
monthly,2015-08,0.004322
monthly,2015-09,0.052786
monthly,2015-10,0.016469
monthly,2015-11,-0.020703
monthly,2015-12,0.071152
monthly,2016-01,-0.094215
monthly,2016-02,0.020009
monthly,2016-03,0.070731
monthly,2016-04,-0.022054
monthly,2016-05,-0.019496
monthly,2016-06,0.063250
monthly,2016-07,0.062754
monthly,2016-08,0.047952
monthly,2016-09,-0.021069
monthly,2016-10,0.068191
monthly,2016-11,0.032223
monthly,2016-12,-0.047115
monthly,2017-01,0.073808
monthly,2017-02,0.083480
monthly,2017-03,-0.020016
monthly,2017-04,-0.049591
monthly,2017-05,0.042053
monthly,2017-06,0.087456
monthly,2017-07,0.058683
monthly,2017-08,-0.007288
monthly,2017-09,-0.019758
monthly,2017-10,0.042714
monthly,2017-11,0.060439
monthly,2017-12,0.062592
monthly,2018-01,0.071135
monthly,2018-02,-0.064673
monthly,2018-03,-0.061278
monthly,2018-04,-0.005651
monthly,2018-05,-0.020527
monthly,2018-06,-0.046699
monthly,2018-07,0.098229
monthly,2018-08,-0.004731
monthly,2018-09,0.045098
monthly,2018-10,-0.034790
monthly,2018-11,-0.018608
monthly,2018-12,-0.055618
monthly,2019-01,0.051080
monthly,2019-02,0.134155
monthly,2019-03,0.082548
monthly,2019-04,0.018091
monthly,2019-05,0.039066
monthly,2019-06,0.077734
monthly,2019-07,0.013778
monthly,2019-08,-0.067396
monthly,2019-09,0.032591
monthly,2019-10,0.008252
monthly,2019-11,-0.013790
monthly,2019-12,0.124126
monthly,2020-01,-0.077718
monthly,2020-02,0.108770
monthly,2020-03,-0.140807
monthly,2020-04,0.070118
monthly,2020-05,0.001902
monthly,2020-06,0.012149
monthly,2020-07,0.125795
monthly,2020-08,-0.000551
monthly,2020-09,-0.003154
monthly,2020-10,-0.004378
monthly,2020-11,0.097847
monthly,2020-12,-0.081906
monthly,2021-01,-0.006770
monthly,2021-02,0.043773
monthly,2021-03,0.016962
monthly,2021-04,-0.019053
monthly,2021-05,0.008221
monthly,2021-06,-0.023209
monthly,2021-07,0.027112
monthly,2021-08,0.679941
monthly,2021-09,0.022516
monthly,2021-10,-0.082315
monthly,2021-11,-0.019153
monthly,2021-12,0.070189
monthly,2022-01,-0.009029
monthly,2022-02,0.055015
monthly,2022-03,0.074263
monthly,2022-04,-0.024186
monthly,2022-05,0.092781
monthly,2022-06,0.028505
monthly,2022-07,-0.042712
monthly,2022-08,0.024927
monthly,2022-09,-0.051636
monthly,2022-10,-0.032051
monthly,2022-11,0.044319
monthly,2022-12,-0.061868
monthly,2023-01,0.045577
monthly,2023-02,-0.010143
monthly,2023-03,-0.009348
monthly,2023-04,0.011165
monthly,2023-05,-0.040830
monthly,2023-06,0.058274
