period_type,period,return_pct
annual,2018,-0.134373
annual,2019,0.704324
annual,2020,0.192782
annual,2021,0.908242
annual,2022,0.139129
annual,2023,0.221239
annual,2024,0.283219
annual,2025,0.271072
annual,2026,0.006995
monthly,2018-01,0.009024
monthly,2018-02,-0.022505
monthly,2018-03,-0.022152
monthly,2018-04,-0.012493
monthly,2018-05,-0.003696
monthly,2018-06,-0.004281
monthly,2018-07,0.003039
monthly,2018-08,-0.007291
monthly,2018-09,-0.007196
monthly,2018-10,-0.028746
monthly,2018-11,-0.023370
monthly,2018-12,-0.029885
monthly,2019-01,0.016676
monthly,2019-02,0.131122
monthly,2019-03,0.101323
monthly,2019-04,0.021718
monthly,2019-05,0.026293
monthly,2019-06,0.086352
monthly,2019-07,0.028279
monthly,2019-08,-0.060888
monthly,2019-09,0.018039
monthly,2019-10,-0.000516
monthly,2019-11,-0.008612
monthly,2019-12,0.100667
monthly,2020-01,-0.060485
monthly,2020-02,0.090643
monthly,2020-03,-0.148742
monthly,2020-04,0.069070
monthly,2020-05,-0.023596
monthly,2020-06,0.012336
monthly,2020-07,0.153618
monthly,2020-08,0.002101
monthly,2020-09,-0.004821
monthly,2020-10,-0.001567
monthly,2020-11,0.094017
monthly,2020-12,-0.085343
monthly,2021-01,0.033295
monthly,2021-02,0.043291
monthly,2021-03,-0.000974
monthly,2021-04,-0.015458
monthly,2021-05,0.002987
monthly,2021-06,-0.021113
monthly,2021-07,0.034724
monthly,2021-08,0.777571
monthly,2021-09,0.001234
monthly,2021-10,-0.076948
monthly,2021-11,0.002790
monthly,2021-12,0.036610
monthly,2022-01,-0.007846
monthly,2022-02,0.049149
monthly,2022-03,0.053255
monthly,2022-04,-0.033385
monthly,2022-05,0.092821
monthly,2022-06,0.050436
monthly,2022-07,-0.017014
monthly,2022-08,-0.008054
monthly,2022-09,-0.073001
monthly,2022-10,-0.003525
monthly,2022-11,0.032165
monthly,2022-12,-0.072025
monthly,2023-01,0.049299
monthly,2023-02,-0.008768
monthly,2023-03,0.003886
monthly,2023-04,0.018008
monthly,2023-05,-0.039165
monthly,2023-06,0.047143
monthly,2023-07,0.017115
monthly,2023-08,-0.028670
monthly,2023-09,0.051571
monthly,2023-10,-0.010576
monthly,2023-11,0.046425
monthly,2023-12,-0.000671
monthly,2024-01,0.056024
monthly,2024-02,0.133382
monthly,2024-03,0.024266
monthly,2024-04,0.105728
monthly,2024-05,0.033215
monthly,2024-06,-0.039985
monthly,2024-07,-0.126691
monthly,2024-08,-0.048251
monthly,2024-09,0.183071
monthly,2024-10,-0.059202
monthly,2024-11,-0.026047
monthly,2024-12,-0.005188
monthly,2025-01,0.040101
monthly,2025-02,-0.007153
monthly,2025-03,0.033704
monthly,2025-04,-0.075316
monthly,2025-05,0.066980
monthly,2025-06,0.026930
monthly,2025-07,0.033616
monthly,2025-08,0.002562
monthly,2025-09,0.015189
monthly,2025-10,0.039036
monthly,2025-11,0.009418
monthly,2025-12,0.012389
monthly,2026-01,0.000983
monthly,2026-02,0.064951
monthly,2026-03,-0.036638
monthly,2026-04,0.045958
monthly,2026-05,-0.031925
monthly,2026-06,-0.158861
monthly,2026-07,0.138460
monthly,2026-08,-0.012814
