period_type,period,return_pct
annual,2016,0.127523
annual,2017,0.486355
annual,2018,-0.166186
annual,2019,0.720815
annual,2020,0.226343
annual,2021,0.550434
annual,2022,0.069134
annual,2023,0.052723
annual,2024,0.244217
annual,2025,0.278298
annual,2026,0.048369
monthly,2016-01,0.001504
monthly,2016-02,-0.003987
monthly,2016-03,-0.006377
monthly,2016-04,-0.022745
monthly,2016-05,-0.004200
monthly,2016-06,0.023085
monthly,2016-07,0.072989
monthly,2016-08,0.039569
monthly,2016-09,-0.024528
monthly,2016-10,0.038144
monthly,2016-11,0.037020
monthly,2016-12,-0.040925
monthly,2017-01,0.043316
monthly,2017-02,0.072918
monthly,2017-03,0.007142
monthly,2017-04,-0.032411
monthly,2017-05,0.056342
monthly,2017-06,0.093874
monthly,2017-07,0.051147
monthly,2017-08,-0.010116
monthly,2017-09,-0.021036
monthly,2017-10,0.037042
monthly,2017-11,0.052072
monthly,2017-12,0.068747
monthly,2018-01,0.059284
monthly,2018-02,-0.057641
monthly,2018-03,-0.064992
monthly,2018-04,-0.004984
monthly,2018-05,-0.020449
monthly,2018-06,-0.042002
monthly,2018-07,0.097286
monthly,2018-08,-0.007503
monthly,2018-09,0.034457
monthly,2018-10,-0.043723
monthly,2018-11,-0.017218
monthly,2018-12,-0.054840
monthly,2019-01,0.037504
monthly,2019-02,0.136246
monthly,2019-03,0.093477
monthly,2019-04,0.027268
monthly,2019-05,0.035212
monthly,2019-06,0.072617
monthly,2019-07,0.010514
monthly,2019-08,-0.066297
monthly,2019-09,0.031696
monthly,2019-10,0.009857
monthly,2019-11,-0.025599
monthly,2019-12,0.123967
monthly,2020-01,-0.080715
monthly,2020-02,0.068881
monthly,2020-03,-0.134555
monthly,2020-04,0.101147
monthly,2020-05,0.005669
monthly,2020-06,-0.003103
monthly,2020-07,0.120448
monthly,2020-08,0.052859
monthly,2020-09,-0.036665
monthly,2020-10,0.016755
monthly,2020-11,0.101815
monthly,2020-12,-0.073302
monthly,2021-01,0.021607
monthly,2021-02,0.038622
monthly,2021-03,-0.007445
monthly,2021-04,0.006858
monthly,2021-05,0.004266
monthly,2021-06,-0.045183
monthly,2021-07,-0.034115
monthly,2021-08,0.414371
monthly,2021-09,0.048047
monthly,2021-10,-0.058601
monthly,2021-11,-0.018076
monthly,2021-12,0.060707
monthly,2022-01,-0.004531
monthly,2022-02,0.029401
monthly,2022-03,0.047780
monthly,2022-04,-0.044134
monthly,2022-05,0.042409
monthly,2022-06,0.042677
monthly,2022-07,-0.059328
monthly,2022-08,0.019395
monthly,2022-09,-0.027546
monthly,2022-10,-0.087345
monthly,2022-11,0.096431
monthly,2022-12,-0.047603
monthly,2023-01,0.038415
monthly,2023-02,-0.026247
monthly,2023-03,-0.030023
monthly,2023-04,0.006566
monthly,2023-05,-0.053407
monthly,2023-06,0.051774
monthly,2023-07,0.038354
monthly,2023-08,-0.041366
monthly,2023-09,0.032449
monthly,2023-10,-0.020137
monthly,2023-11,0.024376
monthly,2023-12,-0.027559
monthly,2024-01,0.065915
monthly,2024-02,0.098677
monthly,2024-03,0.006552
monthly,2024-04,0.102513
monthly,2024-05,0.038667
monthly,2024-06,-0.051153
monthly,2024-07,-0.116334
monthly,2024-08,-0.049153
monthly,2024-09,0.201722
monthly,2024-10,-0.066406
monthly,2024-11,-0.034868
monthly,2024-12,0.001152
monthly,2025-01,0.055214
monthly,2025-02,-0.029057
monthly,2025-03,0.053111
monthly,2025-04,-0.067762
monthly,2025-05,0.079383
monthly,2025-06,0.014827
monthly,2025-07,0.039283
monthly,2025-08,0.003808
monthly,2025-09,-0.003759
monthly,2025-10,0.045234
monthly,2025-11,0.005531
monthly,2025-12,0.010357
monthly,2026-01,0.017062
monthly,2026-02,0.058473
monthly,2026-03,-0.039286
monthly,2026-04,0.070286
monthly,2026-05,-0.039432
monthly,2026-06,-0.138656
monthly,2026-07,0.129656
monthly,2026-08,-0.007333
