period_type,period,return_pct
annual,2012,0.067055
annual,2013,0.260832
annual,2014,0.486543
annual,2015,0.116501
annual,2016,0.040345
annual,2017,0.510977
annual,2018,-0.187221
annual,2019,0.649316
annual,2020,0.042218
annual,2021,0.230839
annual,2022,0.248884
annual,2023,0.090450
annual,2024,0.344119
annual,2025,0.271134
annual,2026,0.056709
monthly,2012-05,0.002458
monthly,2012-06,-0.010265
monthly,2012-07,-0.008258
monthly,2012-08,-0.018420
monthly,2012-09,-0.000451
monthly,2012-10,-0.003265
monthly,2012-11,-0.027386
monthly,2012-12,0.130061
monthly,2013-01,0.073728
monthly,2013-02,-0.028365
monthly,2013-03,-0.052995
monthly,2013-04,0.002497
monthly,2013-05,0.086014
monthly,2013-06,-0.054386
monthly,2013-07,-0.016560
monthly,2013-08,0.039985
monthly,2013-09,0.165512
monthly,2013-10,-0.061253
monthly,2013-11,0.046848
monthly,2013-12,0.013959
monthly,2014-01,-0.065044
monthly,2014-02,-0.021465
monthly,2014-03,-0.036049
monthly,2014-04,0.020379
monthly,2014-05,0.022567
monthly,2014-06,-0.001641
monthly,2014-07,0.109118
monthly,2014-08,0.002791
monthly,2014-09,-0.010180
monthly,2014-10,0.012809
monthly,2014-11,0.123384
monthly,2014-12,0.267574
monthly,2015-01,-0.107797
monthly,2015-02,0.047260
monthly,2015-03,0.059855
monthly,2015-04,0.169663
monthly,2015-05,0.001101
monthly,2015-06,0.005803
monthly,2015-07,-0.068785
monthly,2015-08,-0.078633
monthly,2015-09,0.025593
monthly,2015-10,0.022602
monthly,2015-11,-0.023838
monthly,2015-12,0.070707
monthly,2016-01,-0.120558
monthly,2016-02,0.001205
monthly,2016-03,0.075164
monthly,2016-04,0.071229
monthly,2016-05,0.013509
monthly,2016-06,-0.014773
monthly,2016-07,0.025246
monthly,2016-08,0.064306
monthly,2016-09,-0.026336
monthly,2016-10,-0.021203
monthly,2016-11,0.033977
monthly,2016-12,-0.055792
monthly,2017-01,0.055046
monthly,2017-02,0.040052
monthly,2017-03,-0.005673
monthly,2017-04,0.003253
monthly,2017-05,0.178800
monthly,2017-06,0.092133
monthly,2017-07,0.087160
monthly,2017-08,0.023336
monthly,2017-09,-0.045217
monthly,2017-10,0.002728
monthly,2017-11,0.011948
monthly,2017-12,0.001955
monthly,2018-01,0.024675
monthly,2018-02,0.001630
monthly,2018-03,-0.034713
monthly,2018-04,-0.021302
monthly,2018-05,-0.017967
monthly,2018-06,-0.028427
monthly,2018-07,0.036374
monthly,2018-08,-0.026235
monthly,2018-09,0.014237
monthly,2018-10,-0.026822
monthly,2018-11,-0.037479
monthly,2018-12,-0.069266
monthly,2019-01,0.108370
monthly,2019-02,0.119531
monthly,2019-03,0.047077
monthly,2019-04,0.021421
monthly,2019-05,0.034765
monthly,2019-06,0.077560
monthly,2019-07,-0.023855
monthly,2019-08,-0.006782
monthly,2019-09,0.045101
monthly,2019-10,0.026591
monthly,2019-11,-0.031308
monthly,2019-12,0.050910
monthly,2020-01,-0.032497
monthly,2020-02,0.018935
monthly,2020-03,-0.126051
monthly,2020-04,0.047215
monthly,2020-05,0.005479
monthly,2020-06,-0.009513
monthly,2020-07,0.037914
monthly,2020-08,0.069686
monthly,2020-09,-0.038468
monthly,2020-10,0.052493
monthly,2020-11,0.108629
monthly,2020-12,-0.071541
monthly,2021-01,-0.057374
monthly,2021-02,0.042859
monthly,2021-03,0.077559
monthly,2021-04,-0.032255
monthly,2021-05,0.004667
monthly,2021-06,-0.024743
monthly,2021-07,-0.046476
monthly,2021-08,0.124105
monthly,2021-09,0.123199
monthly,2021-10,-0.062248
monthly,2021-11,-0.022967
monthly,2021-12,0.097727
monthly,2022-01,-0.006305
monthly,2022-02,0.063079
monthly,2022-03,0.105143
monthly,2022-04,-0.012018
monthly,2022-05,-0.002651
monthly,2022-06,0.020419
monthly,2022-07,-0.053258
monthly,2022-08,0.028581
monthly,2022-09,-0.021491
monthly,2022-10,-0.031674
monthly,2022-11,0.072678
monthly,2022-12,-0.003626
monthly,2023-01,0.045665
monthly,2023-02,0.012668
monthly,2023-03,0.064873
monthly,2023-04,0.015627
monthly,2023-05,-0.052697
monthly,2023-06,0.055865
monthly,2023-07,0.044019
monthly,2023-08,-0.052348
monthly,2023-09,-0.007108
monthly,2023-10,-0.052567
monthly,2023-11,-0.001651
monthly,2023-12,-0.023679
monthly,2024-01,0.061552
monthly,2024-02,0.062511
monthly,2024-03,0.010810
monthly,2024-04,0.122266
monthly,2024-05,-0.000068
monthly,2024-06,-0.060675
monthly,2024-07,-0.046567
monthly,2024-08,-0.024090
monthly,2024-09,0.225185
monthly,2024-10,-0.066889
monthly,2024-11,0.007950
monthly,2024-12,-0.056042
monthly,2025-01,0.046982
monthly,2025-02,-0.022699
monthly,2025-03,0.044072
monthly,2025-04,-0.074629
monthly,2025-05,0.074539
monthly,2025-06,0.028863
monthly,2025-07,0.041236
monthly,2025-08,0.020777
monthly,2025-09,-0.038980
monthly,2025-10,0.053878
monthly,2025-11,0.008711
monthly,2025-12,-0.003637
monthly,2026-01,0.053145
monthly,2026-02,0.038520
monthly,2026-03,-0.045998
monthly,2026-04,0.064408
monthly,2026-05,-0.055146
monthly,2026-06,-0.087536
monthly,2026-07,0.108443
monthly,2026-08,-0.020431
