period_type,period,return_pct
annual,2010,0.020965
annual,2011,-0.041458
annual,2012,0.119420
annual,2013,-0.096676
annual,2014,0.487191
annual,2015,-0.039617
annual,2016,0.146348
annual,2017,0.661767
annual,2018,-0.175431
annual,2019,0.550381
annual,2020,0.257456
annual,2021,0.369268
annual,2022,0.172665
annual,2023,0.020379
annual,2024,0.331306
annual,2025,0.216681
annual,2026,0.064634
monthly,2010-05,-0.000888
monthly,2010-06,-0.000610
monthly,2010-07,0.001022
monthly,2010-08,-0.001696
monthly,2010-09,0.000320
monthly,2010-10,0.074451
monthly,2010-11,-0.078569
monthly,2010-12,-0.004950
monthly,2011-01,-0.024503
monthly,2011-02,0.071107
monthly,2011-03,0.035194
monthly,2011-04,-0.013057
monthly,2011-05,-0.028587
monthly,2011-06,0.031789
monthly,2011-07,-0.018495
monthly,2011-08,-0.051395
monthly,2011-09,-0.039984
monthly,2011-10,0.037207
monthly,2011-11,-0.050583
monthly,2011-12,-0.014929
monthly,2012-01,0.042351
monthly,2012-02,0.043906
monthly,2012-03,-0.058189
monthly,2012-04,0.034562
monthly,2012-05,-0.038975
monthly,2012-06,-0.074322
monthly,2012-07,-0.012868
monthly,2012-08,-0.034055
monthly,2012-09,0.030419
monthly,2012-10,0.022276
monthly,2012-11,-0.038550
monthly,2012-12,0.209749
monthly,2013-01,0.028397
monthly,2013-02,-0.052669
monthly,2013-03,-0.030954
monthly,2013-04,-0.048710
monthly,2013-05,0.064557
monthly,2013-06,-0.114750
monthly,2013-07,-0.005465
monthly,2013-08,0.007283
monthly,2013-09,0.020018
monthly,2013-10,0.023960
monthly,2013-11,0.021001
monthly,2013-12,-0.008944
monthly,2014-01,-0.096371
monthly,2014-02,0.022892
monthly,2014-03,-0.000709
monthly,2014-04,0.012089
monthly,2014-05,0.013079
monthly,2014-06,0.017421
monthly,2014-07,0.127874
monthly,2014-08,-0.022181
monthly,2014-09,0.020022
monthly,2014-10,0.001648
monthly,2014-11,0.088442
monthly,2014-12,0.249954
monthly,2015-01,-0.130960
monthly,2015-02,0.035250
monthly,2015-03,0.071535
monthly,2015-04,0.138246
monthly,2015-05,-0.051008
monthly,2015-06,-0.002967
monthly,2015-07,-0.077923
monthly,2015-08,-0.075262
monthly,2015-09,-0.014217
monthly,2015-10,0.013518
monthly,2015-11,-0.019148
monthly,2015-12,0.037293
monthly,2016-01,-0.095311
monthly,2016-02,0.017262
monthly,2016-03,0.072720
monthly,2016-04,0.060347
monthly,2016-05,-0.006274
monthly,2016-06,0.003032
monthly,2016-07,0.037458
monthly,2016-08,0.051096
monthly,2016-09,-0.012768
monthly,2016-10,0.023928
monthly,2016-11,0.015902
monthly,2016-12,-0.051414
monthly,2017-01,0.055397
monthly,2017-02,0.027649
monthly,2017-03,0.041513
monthly,2017-04,0.006834
monthly,2017-05,0.136802
