period_type,period,return_pct
annual,2014,0.418097
annual,2015,0.029286
annual,2016,0.188040
annual,2017,0.669162
annual,2018,-0.215573
annual,2019,0.659342
annual,2020,0.197373
annual,2021,0.315763
annual,2022,0.059166
annual,2023,0.010011
annual,2024,0.393120
annual,2025,0.427005
annual,2026,-0.003496
monthly,2014-05,0.000094
monthly,2014-06,0.000981
monthly,2014-07,0.088053
monthly,2014-08,-0.009497
monthly,2014-09,0.003900
monthly,2014-10,-0.005987
monthly,2014-11,0.074770
monthly,2014-12,0.202048
monthly,2015-01,-0.094795
monthly,2015-02,0.030435
monthly,2015-03,0.078766
monthly,2015-04,0.119670
monthly,2015-05,-0.018090
monthly,2015-06,0.008258
monthly,2015-07,-0.104993
monthly,2015-08,-0.085990
monthly,2015-09,-0.019447
monthly,2015-10,0.029387
monthly,2015-11,-0.021356
monthly,2015-12,0.063632
monthly,2016-01,-0.108201
monthly,2016-02,-0.000570
monthly,2016-03,0.108237
monthly,2016-04,0.031101
monthly,2016-05,-0.007252
monthly,2016-06,0.029055
monthly,2016-07,0.041962
monthly,2016-08,0.051272
monthly,2016-09,-0.006807
monthly,2016-10,0.017338
monthly,2016-11,0.038190
monthly,2016-12,-0.062854
monthly,2017-01,0.044579
monthly,2017-02,0.037527
monthly,2017-03,0.051004
monthly,2017-04,-0.003907
monthly,2017-05,0.111739
monthly,2017-06,0.095448
monthly,2017-07,0.066684
monthly,2017-08,0.015430
monthly,2017-09,-0.017543
monthly,2017-10,0.060368
monthly,2017-11,0.078572
monthly,2017-12,0.020722
monthly,2018-01,0.133052
monthly,2018-02,-0.093966
monthly,2018-03,-0.051278
monthly,2018-04,-0.002888
monthly,2018-05,-0.042635
monthly,2018-06,-0.017793
monthly,2018-07,0.016102
monthly,2018-08,-0.023935
monthly,2018-09,0.009145
monthly,2018-10,-0.033717
monthly,2018-11,-0.034035
monthly,2018-12,-0.091188
monthly,2019-01,0.127094
monthly,2019-02,0.150763
monthly,2019-03,0.036874
monthly,2019-04,0.009726
monthly,2019-05,0.016410
monthly,2019-06,0.071716
monthly,2019-07,-0.027108
monthly,2019-08,0.007238
monthly,2019-09,0.022058
monthly,2019-10,0.024741
monthly,2019-11,-0.047260
monthly,2019-12,0.069076
monthly,2020-01,-0.057137
monthly,2020-02,0.002114
monthly,2020-03,-0.118849
monthly,2020-04,0.084735
monthly,2020-05,0.009435
monthly,2020-06,-0.011797
monthly,2020-07,0.089999
monthly,2020-08,0.098116
monthly,2020-09,-0.048784
monthly,2020-10,0.055403
monthly,2020-11,0.127199
monthly,2020-12,-0.066690
monthly,2021-01,0.028196
monthly,2021-02,0.027829
monthly,2021-03,0.070154
monthly,2021-04,-0.011615
monthly,2021-05,0.001308
monthly,2021-06,-0.039173
monthly,2021-07,-0.054179
monthly,2021-08,0.143744
monthly,2021-09,0.104140
monthly,2021-10,-0.074685
monthly,2021-11,-0.057402
monthly,2021-12,0.132894
monthly,2022-01,-0.000605
monthly,2022-02,0.048756
monthly,2022-03,0.048442
monthly,2022-04,-0.048571
monthly,2022-05,0.043001
monthly,2022-06,0.035543
monthly,2022-07,-0.101748
monthly,2022-08,0.014382
monthly,2022-09,-0.050044
monthly,2022-10,-0.101527
monthly,2022-11,0.136564
monthly,2022-12,-0.005930
monthly,2023-01,0.070740
monthly,2023-02,0.000097
monthly,2023-03,-0.015446
monthly,2023-04,-0.011342
monthly,2023-05,-0.044180
monthly,2023-06,0.047548
monthly,2023-07,0.037035
monthly,2023-08,-0.052868
monthly,2023-09,-0.002597
monthly,2023-10,-0.055024
monthly,2023-11,0.005736
monthly,2023-12,-0.017385
monthly,2024-01,0.033295
monthly,2024-02,0.110083
monthly,2024-03,0.008833
monthly,2024-04,0.112050
monthly,2024-05,0.021241
monthly,2024-06,-0.050932
monthly,2024-07,-0.079475
monthly,2024-08,-0.024307
monthly,2024-09,0.189825
monthly,2024-10,-0.025443
monthly,2024-11,-0.015202
monthly,2024-12,-0.022824
monthly,2025-01,0.037235
monthly,2025-02,-0.017737
monthly,2025-03,0.044109
monthly,2025-04,-0.073559
monthly,2025-05,0.056887
monthly,2025-06,0.028722
monthly,2025-07,0.054961
monthly,2025-08,0.033497
monthly,2025-09,0.066302
monthly,2025-10,0.023847
monthly,2025-11,0.001248
monthly,2025-12,0.022508
monthly,2026-01,0.003306
monthly,2026-02,0.094888
monthly,2026-03,-0.050202
monthly,2026-04,0.095171
monthly,2026-05,-0.068333
monthly,2026-06,-0.170777
monthly,2026-07,0.096641
monthly,2026-08,0.009509
