period_type,period,return_pct
annual,2016,0.078070
annual,2017,0.528155
annual,2018,-0.200098
annual,2019,0.687925
annual,2020,0.209417
annual,2021,0.220620
annual,2022,0.025592
annual,2023,0.106570
annual,2024,0.248773
annual,2025,0.361931
annual,2026,0.116143
monthly,2016-05,0.007778
monthly,2016-06,0.019565
monthly,2016-07,0.051287
monthly,2016-08,0.029095
monthly,2016-09,-0.032588
monthly,2016-10,0.029670
monthly,2016-11,0.028485
monthly,2016-12,-0.054291
monthly,2017-01,0.033465
monthly,2017-02,0.044148
monthly,2017-03,0.040455
monthly,2017-04,-0.012215
monthly,2017-05,0.104345
monthly,2017-06,0.065124
monthly,2017-07,0.058197
monthly,2017-08,0.005015
monthly,2017-09,-0.015600
monthly,2017-10,0.058428
monthly,2017-11,0.084862
monthly,2017-12,0.015344
monthly,2018-01,0.118843
monthly,2018-02,-0.067281
monthly,2018-03,-0.059002
monthly,2018-04,-0.016215
monthly,2018-05,-0.043120
monthly,2018-06,-0.029899
monthly,2018-07,0.039223
monthly,2018-08,-0.026612
monthly,2018-09,0.022325
monthly,2018-10,-0.028818
monthly,2018-11,-0.029901
monthly,2018-12,-0.080862
monthly,2019-01,0.121667
monthly,2019-02,0.128843
monthly,2019-03,0.051617
monthly,2019-04,0.019680
monthly,2019-05,0.031186
monthly,2019-06,0.072809
monthly,2019-07,-0.025658
monthly,2019-08,-0.005000
monthly,2019-09,0.040407
monthly,2019-10,0.024443
monthly,2019-11,-0.061653
monthly,2019-12,0.073482
monthly,2020-01,-0.064382
monthly,2020-02,-0.001552
monthly,2020-03,-0.125911
monthly,2020-04,0.106084
monthly,2020-05,-0.002062
monthly,2020-06,-0.012624
monthly,2020-07,0.123643
monthly,2020-08,0.070525
monthly,2020-09,-0.010733
monthly,2020-10,0.005014
monthly,2020-11,0.112651
monthly,2020-12,-0.072281
monthly,2021-01,-0.022150
monthly,2021-02,0.028976
monthly,2021-03,0.053621
monthly,2021-04,-0.004597
monthly,2021-05,0.015817
monthly,2021-06,-0.044474
monthly,2021-07,-0.063013
monthly,2021-08,0.128060
monthly,2021-09,0.093046
monthly,2021-10,-0.055004
monthly,2021-11,-0.039428
monthly,2021-12,0.102609
monthly,2022-01,-0.013132
monthly,2022-02,0.043777
monthly,2022-03,0.050677
monthly,2022-04,-0.037742
monthly,2022-05,0.032064
monthly,2022-06,0.038886
monthly,2022-07,-0.103653
monthly,2022-08,0.013768
monthly,2022-09,-0.045973
monthly,2022-10,-0.104959
monthly,2022-11,0.134247
monthly,2022-12,-0.018819
monthly,2023-01,0.052653
monthly,2023-02,0.005951
monthly,2023-03,0.043264
monthly,2023-04,0.015497
monthly,2023-05,-0.052711
monthly,2023-06,0.046643
monthly,2023-07,0.052319
monthly,2023-08,-0.048085
monthly,2023-09,-0.000631
monthly,2023-10,-0.047242
monthly,2023-11,0.008640
monthly,2023-12,-0.026933
monthly,2024-01,0.039921
monthly,2024-02,0.095514
monthly,2024-03,-0.008530
monthly,2024-04,0.056514
monthly,2024-05,0.013637
monthly,2024-06,-0.054727
monthly,2024-07,-0.058743
monthly,2024-08,-0.022891
monthly,2024-09,0.228232
monthly,2024-10,-0.074031
monthly,2024-11,-0.019022
monthly,2024-12,-0.031229
monthly,2025-01,0.043903
monthly,2025-02,-0.016183
monthly,2025-03,0.042408
monthly,2025-04,-0.068204
monthly,2025-05,0.067805
monthly,2025-06,0.019595
monthly,2025-07,0.060077
monthly,2025-08,0.018027
monthly,2025-09,0.003215
monthly,2025-10,0.046932
monthly,2025-11,0.004892
monthly,2025-12,0.006060
monthly,2026-01,0.020470
monthly,2026-02,0.061939
monthly,2026-03,-0.038170
monthly,2026-04,0.116617
monthly,2026-05,-0.038267
monthly,2026-06,-0.110000
monthly,2026-07,0.118663
monthly,2026-08,-0.012297
