period_type,period,return_pct
annual,2010,0.105891
annual,2011,-0.117863
annual,2012,0.132797
annual,2013,0.012340
annual,2014,0.482979
annual,2015,0.065261
annual,2016,0.076177
annual,2017,0.689308
annual,2018,-0.212383
annual,2019,0.596660
annual,2020,0.184142
annual,2021,0.287496
annual,2022,0.071551
annual,2023,0.082868
annual,2024,0.294830
annual,2025,0.326141
annual,2026,0.104692
monthly,2010-05,-0.000888
monthly,2010-06,-0.000610
monthly,2010-07,0.002956
monthly,2010-08,0.045030
monthly,2010-09,-0.001793
monthly,2010-10,0.118452
monthly,2010-11,-0.095164
monthly,2010-12,-0.011331
monthly,2011-01,-0.032462
monthly,2011-02,0.108426
monthly,2011-03,0.037729
monthly,2011-04,-0.016482
monthly,2011-05,-0.048030
monthly,2011-06,0.050489
monthly,2011-07,-0.011709
monthly,2011-08,-0.052360
monthly,2011-09,-0.067217
monthly,2011-10,0.026663
monthly,2011-11,-0.091535
monthly,2011-12,-0.032386
monthly,2012-01,0.075416
monthly,2012-02,0.069754
monthly,2012-03,-0.072524
monthly,2012-04,0.039517
monthly,2012-05,0.012294
monthly,2012-06,-0.074561
monthly,2012-07,-0.081979
monthly,2012-08,-0.098046
monthly,2012-09,0.037466
monthly,2012-10,-0.001759
monthly,2012-11,-0.072509
monthly,2012-12,0.230441
monthly,2013-01,0.031949
monthly,2013-02,-0.024469
monthly,2013-03,-0.023252
monthly,2013-04,-0.031407
monthly,2013-05,0.088029
monthly,2013-06,-0.095334
monthly,2013-07,-0.028515
monthly,2013-08,0.042934
monthly,2013-09,0.006836
monthly,2013-10,-0.012360
monthly,2013-11,0.025608
monthly,2013-12,0.001469
monthly,2014-01,-0.074833
monthly,2014-02,-0.021083
monthly,2014-03,-0.012109
monthly,2014-04,0.009917
monthly,2014-05,0.016850
monthly,2014-06,0.014178
monthly,2014-07,0.135924
monthly,2014-08,-0.018119
monthly,2014-09,0.004818
monthly,2014-10,0.011503
monthly,2014-11,0.106067
monthly,2014-12,0.248486
monthly,2015-01,-0.097509
monthly,2015-02,0.027948
monthly,2015-03,0.068759
monthly,2015-04,0.128495
monthly,2015-05,-0.013359
monthly,2015-06,-0.008599
monthly,2015-07,-0.049438
monthly,2015-08,-0.065586
