period_type,period,return_pct
annual,2024,-0.008147
annual,2025,0.181230
annual,2026,0.044895
monthly,2024-08,0.002241
monthly,2024-09,0.040990
monthly,2024-10,-0.021092
monthly,2024-11,0.005764
monthly,2024-12,-0.048215
monthly,2025-01,0.001975
monthly,2025-02,0.024483
monthly,2025-03,0.033499
monthly,2025-04,-0.064327
monthly,2025-05,0.032093
monthly,2025-06,0.020677
monthly,2025-07,0.042310
monthly,2025-08,0.014693
monthly,2025-09,-0.025471
monthly,2025-10,0.012153
monthly,2025-11,0.008229
monthly,2025-12,-0.000148
monthly,2026-01,0.023379
monthly,2026-02,0.042597
monthly,2026-03,-0.041116
monthly,2026-04,0.066320
monthly,2026-05,-0.051874
monthly,2026-06,-0.089123
monthly,2026-07,0.118906
monthly,2026-08,-0.017315
