period_type,period,return_pct
annual,2021,0.012463
annual,2022,-0.082177
annual,2023,0.097103
annual,2024,0.339807
annual,2025,0.347517
annual,2026,0.108557
monthly,2021-07,-0.001280
monthly,2021-08,0.007323
monthly,2021-09,0.007603
monthly,2021-10,-0.053051
monthly,2021-11,-0.016878
monthly,2021-12,0.061263
monthly,2022-01,-0.043962
monthly,2022-02,0.026877
monthly,2022-03,0.024024
monthly,2022-04,-0.052957
monthly,2022-05,0.042056
monthly,2022-06,0.037483
monthly,2022-07,-0.101439
monthly,2022-08,0.015321
monthly,2022-09,-0.062747
monthly,2022-10,-0.084046
monthly,2022-11,0.114247
monthly,2022-12,-0.015613
monthly,2023-01,0.072376
monthly,2023-02,0.010626
monthly,2023-03,0.025004
monthly,2023-04,-0.013614
monthly,2023-05,-0.039399
monthly,2023-06,0.047247
monthly,2023-07,0.033502
monthly,2023-08,-0.050097
monthly,2023-09,-0.002448
monthly,2023-10,-0.052911
monthly,2023-11,0.011070
monthly,2023-12,-0.015684
monthly,2024-01,0.020935
monthly,2024-02,0.116678
monthly,2024-03,0.009302
monthly,2024-04,0.123618
monthly,2024-05,0.033973
monthly,2024-06,-0.053234
monthly,2024-07,-0.090735
monthly,2024-08,-0.029541
monthly,2024-09,0.187195
monthly,2024-10,-0.005979
monthly,2024-11,-0.025062
monthly,2024-12,-0.035814
monthly,2025-01,0.022320
monthly,2025-02,0.016469
monthly,2025-03,0.028947
monthly,2025-04,-0.068416
monthly,2025-05,0.041546
monthly,2025-06,0.027244
monthly,2025-07,0.060973
monthly,2025-08,0.018005
monthly,2025-09,0.015595
monthly,2025-10,0.033852
monthly,2025-11,0.010766
monthly,2025-12,0.002370
monthly,2026-01,-0.000427
monthly,2026-02,0.057831
monthly,2026-03,-0.026922
monthly,2026-04,0.117329
monthly,2026-05,-0.031905
monthly,2026-06,-0.094318
monthly,2026-07,0.113401
monthly,2026-08,-0.016506
