period_type,period,return_pct
annual,2010,0.105891
annual,2011,-0.096930
annual,2012,0.152637
annual,2013,-0.003956
annual,2014,0.430103
annual,2015,0.184160
annual,2016,0.085610
annual,2017,0.659981
annual,2018,-0.214744
annual,2019,0.668687
annual,2020,0.198521
annual,2021,0.315030
annual,2022,0.048480
annual,2023,0.096098
annual,2024,0.313005
annual,2025,0.305460
annual,2026,0.096635
monthly,2010-05,-0.000888
monthly,2010-06,-0.000610
monthly,2010-07,0.002956
monthly,2010-08,0.045030
monthly,2010-09,-0.001793
monthly,2010-10,0.118452
monthly,2010-11,-0.095164
monthly,2010-12,-0.011331
monthly,2011-01,-0.032462
monthly,2011-02,0.108426
monthly,2011-03,0.037951
monthly,2011-04,-0.014865
monthly,2011-05,-0.046494
monthly,2011-06,0.046037
monthly,2011-07,-0.009977
monthly,2011-08,-0.044123
monthly,2011-09,-0.062609
monthly,2011-10,0.026163
monthly,2011-11,-0.085803
monthly,2011-12,-0.029165
monthly,2012-01,0.063756
monthly,2012-02,0.063224
monthly,2012-03,-0.065914
monthly,2012-04,0.041337
monthly,2012-05,0.010216
monthly,2012-06,-0.071987
monthly,2012-07,-0.051919
monthly,2012-08,-0.101709
monthly,2012-09,0.024085
monthly,2012-10,0.001053
monthly,2012-11,-0.060886
monthly,2012-12,0.231412
monthly,2013-01,0.027098
monthly,2013-02,-0.042674
monthly,2013-03,-0.016466
monthly,2013-04,-0.024910
monthly,2013-05,0.070838
monthly,2013-06,-0.080069
monthly,2013-07,-0.035120
monthly,2013-08,0.011429
monthly,2013-09,0.006887
monthly,2013-10,0.000711
monthly,2013-11,0.034379
monthly,2013-12,0.009980
monthly,2014-01,-0.078823
monthly,2014-02,-0.028031
monthly,2014-03,-0.004539
monthly,2014-04,-0.011303
monthly,2014-05,0.016461
monthly,2014-06,0.005996
monthly,2014-07,0.135142
monthly,2014-08,-0.011049
monthly,2014-09,0.008767
monthly,2014-10,0.017291
monthly,2014-11,0.110586
monthly,2014-12,0.223346
monthly,2015-01,-0.077904
monthly,2015-02,0.038148
monthly,2015-03,0.074340
monthly,2015-04,0.145610
monthly,2015-05,-0.002885
monthly,2015-06,0.006504
monthly,2015-07,-0.038242
monthly,2015-08,-0.055987
monthly,2015-09,0.018485
monthly,2015-10,0.010955
monthly,2015-11,-0.030824
monthly,2015-12,0.044974
monthly,2016-01,-0.121935
monthly,2016-02,0.009837
monthly,2016-03,0.095253
monthly,2016-04,0.060347
monthly,2016-05,0.003119
monthly,2016-06,-0.006444
monthly,2016-07,0.019589
monthly,2016-08,0.075437
monthly,2016-09,-0.029386
monthly,2016-10,-0.004722
monthly,2016-11,0.029810
monthly,2016-12,-0.051666
monthly,2017-01,0.054312
monthly,2017-02,0.038995
monthly,2017-03,0.005920
monthly,2017-04,0.001000
monthly,2017-05,0.157104
monthly,2017-06,0.091616
monthly,2017-07,0.081138
monthly,2017-08,0.018838
monthly,2017-09,-0.036708
monthly,2017-10,0.046182
monthly,2017-11,0.083515
monthly,2017-12,0.013923
monthly,2018-01,0.138631
monthly,2018-02,-0.106542
monthly,2018-03,-0.047460
monthly,2018-04,0.003630
monthly,2018-05,-0.042404
monthly,2018-06,-0.012012
monthly,2018-07,0.005311
monthly,2018-08,-0.022654
monthly,2018-09,0.002866
monthly,2018-10,-0.036074
monthly,2018-11,-0.030043
monthly,2018-12,-0.089581
monthly,2019-01,0.118950
monthly,2019-02,0.155358
monthly,2019-03,0.029401
monthly,2019-04,0.013540
monthly,2019-05,0.007652
monthly,2019-06,0.070783
monthly,2019-07,-0.012931
monthly,2019-08,0.021822
monthly,2019-09,0.010356
monthly,2019-10,0.012846
monthly,2019-11,-0.053534
monthly,2019-12,0.085163
monthly,2020-01,-0.051331
monthly,2020-02,0.006866
monthly,2020-03,-0.123356
monthly,2020-04,0.081026
monthly,2020-05,0.002834
monthly,2020-06,-0.004983
monthly,2020-07,0.087377
monthly,2020-08,0.094898
monthly,2020-09,-0.036859
monthly,2020-10,0.051926
monthly,2020-11,0.130175
monthly,2020-12,-0.067627
monthly,2021-01,0.021483
monthly,2021-02,0.028511
monthly,2021-03,0.069592
monthly,2021-04,-0.012334
monthly,2021-05,0.001458
monthly,2021-06,-0.040331
monthly,2021-07,-0.050703
monthly,2021-08,0.144285
monthly,2021-09,0.107075
monthly,2021-10,-0.068739
monthly,2021-11,-0.043062
monthly,2021-12,0.116614
monthly,2022-01,-0.011671
monthly,2022-02,0.049068
monthly,2022-03,0.057580
monthly,2022-04,-0.032755
monthly,2022-05,0.037878
monthly,2022-06,0.034510
monthly,2022-07,-0.095573
monthly,2022-08,0.006153
monthly,2022-09,-0.054109
monthly,2022-10,-0.102993
monthly,2022-11,0.133078
monthly,2022-12,-0.017158
monthly,2023-01,0.070520
monthly,2023-02,0.005772
monthly,2023-03,0.028224
monthly,2023-04,0.017878
monthly,2023-05,-0.051194
monthly,2023-06,0.053259
monthly,2023-07,0.052874
monthly,2023-08,-0.047930
monthly,2023-09,-0.003135
monthly,2023-10,-0.050011
monthly,2023-11,0.003726
monthly,2023-12,-0.027678
monthly,2024-01,0.054909
monthly,2024-02,0.071563
monthly,2024-03,-0.018707
monthly,2024-04,0.051916
monthly,2024-05,-0.021147
monthly,2024-06,-0.062225
monthly,2024-07,-0.010417
monthly,2024-08,-0.000802
monthly,2024-09,0.214963
monthly,2024-10,-0.068001
monthly,2024-11,-0.020111
monthly,2024-12,-0.038826
monthly,2025-01,0.040285
monthly,2025-02,-0.009335
monthly,2025-03,0.043624
monthly,2025-04,-0.068040
monthly,2025-05,0.072310
monthly,2025-06,0.017625
monthly,2025-07,0.057000
monthly,2025-08,0.013511
monthly,2025-09,0.004013
monthly,2025-10,0.028169
monthly,2025-11,-0.001786
monthly,2025-12,-0.004694
monthly,2026-01,0.016652
monthly,2026-02,0.052581
monthly,2026-03,-0.034427
monthly,2026-04,0.104018
monthly,2026-05,-0.041112
monthly,2026-06,-0.098857
monthly,2026-07,0.118716
monthly,2026-08,-0.012145
