period_type,period,return_pct
annual,2014,0.440557
annual,2015,0.037096
annual,2016,0.106576
annual,2017,0.683703
annual,2018,-0.215033
annual,2019,0.599521
annual,2020,0.189819
annual,2021,0.311244
annual,2022,0.060048
annual,2023,0.109118
annual,2024,0.363537
annual,2025,0.338248
annual,2026,0.117502
monthly,2014-05,0.000094
monthly,2014-06,0.000981
monthly,2014-07,0.085983
monthly,2014-08,-0.007643
monthly,2014-09,0.008599
monthly,2014-10,-0.001766
monthly,2014-11,0.075632
monthly,2014-12,0.208770
monthly,2015-01,-0.089581
monthly,2015-02,0.031087
monthly,2015-03,0.064472
monthly,2015-04,0.131665
monthly,2015-05,-0.016838
monthly,2015-06,-0.010708
monthly,2015-07,-0.068256
monthly,2015-08,-0.070762
monthly,2015-09,-0.007560
monthly,2015-10,0.011697
monthly,2015-11,-0.023509
monthly,2015-12,0.039873
monthly,2016-01,-0.106066
monthly,2016-02,0.020481
monthly,2016-03,0.076281
monthly,2016-04,0.054489
monthly,2016-05,-0.007745
monthly,2016-06,-0.003859
monthly,2016-07,0.027053
monthly,2016-08,0.061509
monthly,2016-09,-0.018139
monthly,2016-10,0.012747
monthly,2016-11,0.027539
monthly,2016-12,-0.056235
monthly,2017-01,0.055377
monthly,2017-02,0.033260
monthly,2017-03,0.024581
monthly,2017-04,0.005304
monthly,2017-05,0.139375
monthly,2017-06,0.098800
monthly,2017-07,0.074835
monthly,2017-08,0.018340
monthly,2017-09,-0.030462
monthly,2017-10,0.050813
monthly,2017-11,0.082793
monthly,2017-12,0.014095
monthly,2018-01,0.138297
monthly,2018-02,-0.105893
monthly,2018-03,-0.047660
monthly,2018-04,0.003290
monthly,2018-05,-0.042416
monthly,2018-06,-0.012311
monthly,2018-07,0.005866
monthly,2018-08,-0.022720
monthly,2018-09,0.003192
monthly,2018-10,-0.035952
monthly,2018-11,-0.030250
monthly,2018-12,-0.089915
monthly,2019-01,0.120341
monthly,2019-02,0.156212
monthly,2019-03,0.036896
monthly,2019-04,-0.017178
monthly,2019-05,0.007689
monthly,2019-06,0.069817
monthly,2019-07,-0.017954
monthly,2019-08,0.001933
monthly,2019-09,0.014443
monthly,2019-10,0.024610
monthly,2019-11,-0.038622
monthly,2019-12,0.061264
monthly,2020-01,-0.050632
monthly,2020-02,-0.000513
monthly,2020-03,-0.111376
monthly,2020-04,0.079779
monthly,2020-05,0.005525
monthly,2020-06,-0.015151
monthly,2020-07,0.076667
monthly,2020-08,0.086924
monthly,2020-09,-0.041642
monthly,2020-10,0.061575
monthly,2020-11,0.125496
monthly,2020-12,-0.064566
monthly,2021-01,0.049258
monthly,2021-02,0.017751
monthly,2021-03,0.058875
monthly,2021-04,-0.005501
monthly,2021-05,0.014842
monthly,2021-06,-0.043562
monthly,2021-07,-0.065201
monthly,2021-08,0.127092
monthly,2021-09,0.092129
monthly,2021-10,-0.052433
monthly,2021-11,-0.037880
monthly,2021-12,0.099106
monthly,2022-01,-0.013708
monthly,2022-02,0.043727
monthly,2022-03,0.052818
monthly,2022-04,-0.035979
monthly,2022-05,0.033268
monthly,2022-06,0.038655
monthly,2022-07,-0.099191
monthly,2022-08,0.030804
monthly,2022-09,-0.043282
monthly,2022-10,-0.102808
monthly,2022-11,0.137997
monthly,2022-12,-0.016073
monthly,2023-01,0.069080
monthly,2023-02,-0.000604
monthly,2023-03,0.034951
monthly,2023-04,0.010195
monthly,2023-05,-0.055444
monthly,2023-06,0.055416
monthly,2023-07,0.052862
monthly,2023-08,-0.043918
monthly,2023-09,0.004705
monthly,2023-10,-0.050511
monthly,2023-11,0.007786
monthly,2023-12,-0.029538
monthly,2024-01,0.040144
monthly,2024-02,0.110450
monthly,2024-03,-0.010796
monthly,2024-04,0.064913
monthly,2024-05,-0.021184
monthly,2024-06,-0.061347
monthly,2024-07,-0.016195
monthly,2024-08,-0.006989
monthly,2024-09,0.221292
monthly,2024-10,-0.063717
monthly,2024-11,-0.016452
monthly,2024-12,-0.031186
monthly,2025-01,0.037908
monthly,2025-02,-0.011491
monthly,2025-03,0.047772
monthly,2025-04,-0.066057
monthly,2025-05,0.060960
monthly,2025-06,0.018438
monthly,2025-07,0.057722
monthly,2025-08,0.015283
monthly,2025-09,0.001054
monthly,2025-10,0.043062
monthly,2025-11,0.005321
monthly,2025-12,0.003003
monthly,2026-01,0.020051
monthly,2026-02,0.055622
monthly,2026-03,-0.035551
monthly,2026-04,0.116230
monthly,2026-05,-0.038159
monthly,2026-06,-0.099328
monthly,2026-07,0.116735
monthly,2026-08,-0.014384
