period_type,period,return_pct
annual,2016,0.015621
annual,2017,0.539040
annual,2018,-0.116384
annual,2019,0.659508
annual,2020,0.195673
annual,2021,0.275911
annual,2022,-0.095875
annual,2023,-0.035475
annual,2024,0.457691
annual,2025,0.127329
annual,2026,-0.008545
monthly,2016-05,0.001768
monthly,2016-06,0.005229
monthly,2016-07,0.005710
monthly,2016-08,0.007558
monthly,2016-09,-0.009080
monthly,2016-10,0.007000
monthly,2016-11,0.014384
monthly,2016-12,-0.027445
monthly,2017-01,0.021675
monthly,2017-02,0.051668
monthly,2017-03,0.074823
monthly,2017-04,-0.000857
monthly,2017-05,0.104546
monthly,2017-06,0.086834
monthly,2017-07,0.021686
monthly,2017-08,-0.002040
monthly,2017-09,0.006865
monthly,2017-10,0.036090
monthly,2017-11,0.061651
monthly,2017-12,0.008514
monthly,2018-01,0.090013
monthly,2018-02,-0.052729
monthly,2018-03,-0.044714
monthly,2018-04,-0.011801
monthly,2018-05,-0.025487
monthly,2018-06,-0.050798
monthly,2018-07,0.095344
monthly,2018-08,0.000699
monthly,2018-09,0.064380
monthly,2018-10,-0.004133
monthly,2018-11,-0.026357
monthly,2018-12,-0.107155
monthly,2019-01,0.145978
monthly,2019-02,0.088958
monthly,2019-03,0.047885
monthly,2019-04,0.024047
monthly,2019-05,0.035850
monthly,2019-06,0.054726
monthly,2019-07,-0.005716
monthly,2019-08,-0.035379
monthly,2019-09,0.040795
monthly,2019-10,0.023883
monthly,2019-11,-0.039329
monthly,2019-12,0.058488
monthly,2020-01,-0.062677
monthly,2020-02,-0.016203
monthly,2020-03,-0.100856
monthly,2020-04,0.109610
monthly,2020-05,-0.016464
monthly,2020-06,-0.021281
monthly,2020-07,0.063673
monthly,2020-08,0.126314
monthly,2020-09,-0.061397
monthly,2020-10,0.083660
monthly,2020-11,0.103325
monthly,2020-12,-0.054062
monthly,2021-01,0.125935
monthly,2021-02,0.000067
monthly,2021-03,0.044741
monthly,2021-04,0.013675
monthly,2021-05,0.040188
monthly,2021-06,-0.038936
monthly,2021-07,-0.091939
monthly,2021-08,0.071962
monthly,2021-09,0.034805
monthly,2021-10,-0.013421
monthly,2021-11,-0.060020
monthly,2021-12,0.052917
monthly,2022-01,-0.005687
monthly,2022-02,0.003525
monthly,2022-03,-0.020095
monthly,2022-04,-0.093632
monthly,2022-05,0.030979
monthly,2022-06,0.039785
monthly,2022-07,-0.087927
monthly,2022-08,0.014664
monthly,2022-09,-0.035911
monthly,2022-10,-0.102842
monthly,2022-11,0.147317
monthly,2022-12,0.015021
monthly,2023-01,0.073047
monthly,2023-02,-0.021291
monthly,2023-03,-0.039225
monthly,2023-04,-0.004261
monthly,2023-05,-0.045570
monthly,2023-06,0.046719
monthly,2023-07,0.063436
monthly,2023-08,-0.063629
monthly,2023-09,0.005232
monthly,2023-10,-0.053568
monthly,2023-11,-0.006392
monthly,2023-12,-0.016958
monthly,2024-01,0.054646
monthly,2024-02,0.098603
monthly,2024-03,0.005173
monthly,2024-04,0.085669
monthly,2024-05,-0.022761
monthly,2024-06,-0.010268
monthly,2024-07,-0.006333
monthly,2024-08,0.000497
monthly,2024-09,0.147129
monthly,2024-10,-0.079908
monthly,2024-11,-0.027371
monthly,2024-12,0.050955
monthly,2025-01,0.016736
monthly,2025-02,0.003532
monthly,2025-03,0.059961
monthly,2025-04,-0.041247
monthly,2025-05,0.048616
monthly,2025-06,0.028155
monthly,2025-07,0.012381
monthly,2025-08,-0.015015
monthly,2025-09,-0.005348
monthly,2025-10,0.006486
monthly,2025-11,0.009884
monthly,2025-12,-0.018793
monthly,2026-01,-0.020610
monthly,2026-02,0.015931
monthly,2026-03,-0.011135
monthly,2026-04,0.016992
monthly,2026-05,-0.026973
monthly,2026-06,-0.079064
monthly,2026-07,0.123399
monthly,2026-08,-0.024153
