period_type,period,return_pct
annual,2012,0.078860
annual,2013,0.056456
annual,2014,0.358621
annual,2015,0.124675
annual,2016,0.196587
annual,2017,0.739459
annual,2018,-0.208813
annual,2019,0.669841
annual,2020,0.258224
annual,2021,0.328220
annual,2022,0.090849
annual,2023,-0.008537
annual,2024,0.327220
annual,2025,0.331458
annual,2026,0.015093
monthly,2012-05,0.005325
monthly,2012-06,-0.029401
monthly,2012-07,-0.015758
monthly,2012-08,-0.030249
monthly,2012-09,0.005626
monthly,2012-10,0.005901
monthly,2012-11,-0.041329
monthly,2012-12,0.170589
monthly,2013-01,0.063098
monthly,2013-02,-0.034171
monthly,2013-03,-0.056647
monthly,2013-04,-0.046614
monthly,2013-05,0.067809
monthly,2013-06,-0.092426
monthly,2013-07,0.005893
monthly,2013-08,0.029680
monthly,2013-09,0.033334
monthly,2013-10,0.005847
monthly,2013-11,0.040612
monthly,2013-12,0.012480
monthly,2014-01,-0.060687
monthly,2014-02,-0.026811
monthly,2014-03,-0.024861
monthly,2014-04,0.041652
monthly,2014-05,-0.002751
monthly,2014-06,-0.000342
monthly,2014-07,0.121708
monthly,2014-08,-0.019488
monthly,2014-09,-0.019776
monthly,2014-10,0.006647
monthly,2014-11,0.060778
monthly,2014-12,0.216079
monthly,2015-01,-0.043944
monthly,2015-02,0.036721
monthly,2015-03,0.066355
monthly,2015-04,0.176206
monthly,2015-05,0.035122
monthly,2015-06,-0.030144
monthly,2015-07,-0.123480
monthly,2015-08,-0.118698
monthly,2015-09,-0.035561
monthly,2015-10,0.030346
monthly,2015-11,-0.009346
monthly,2015-12,0.080839
monthly,2016-01,-0.102505
monthly,2016-02,0.024772
monthly,2016-03,0.081101
monthly,2016-04,0.026509
monthly,2016-05,-0.001228
monthly,2016-06,0.006110
monthly,2016-07,0.061457
monthly,2016-08,0.041186
monthly,2016-09,0.022044
monthly,2016-10,0.006560
monthly,2016-11,0.099753
monthly,2016-12,-0.102293
monthly,2017-01,0.042088
monthly,2017-02,0.060653
monthly,2017-03,0.071557
monthly,2017-04,0.014334
monthly,2017-05,0.097940
monthly,2017-06,0.131889
monthly,2017-07,0.057508
monthly,2017-08,0.011002
monthly,2017-09,-0.023922
monthly,2017-10,0.048601
monthly,2017-11,0.083919
monthly,2017-12,0.013725
monthly,2018-01,0.134823
monthly,2018-02,-0.099111
monthly,2018-03,-0.049731
monthly,2018-04,-0.000240
monthly,2018-05,-0.042541
monthly,2018-06,-0.015434
monthly,2018-07,0.011680
monthly,2018-08,-0.023412
monthly,2018-09,0.006582
monthly,2018-10,-0.033805
monthly,2018-11,-0.030420
monthly,2018-12,-0.083117
monthly,2019-01,0.117946
monthly,2019-02,0.151246
monthly,2019-03,0.039680
monthly,2019-04,-0.009702
monthly,2019-05,0.011150
monthly,2019-06,0.070909
monthly,2019-07,-0.021989
monthly,2019-08,0.004556
monthly,2019-09,0.019457
monthly,2019-10,0.023841
monthly,2019-11,-0.035459
monthly,2019-12,0.085290
monthly,2020-01,-0.059163
monthly,2020-02,-0.006622
monthly,2020-03,-0.122943
monthly,2020-04,0.085315
monthly,2020-05,0.010362
monthly,2020-06,-0.004063
monthly,2020-07,0.126513
monthly,2020-08,0.098674
monthly,2020-09,-0.048067
monthly,2020-10,0.058066
monthly,2020-11,0.125406
monthly,2020-12,-0.065523
monthly,2021-01,0.051102
monthly,2021-02,0.019618
monthly,2021-03,0.066585
monthly,2021-04,-0.007004
monthly,2021-05,0.014428
monthly,2021-06,-0.041090
monthly,2021-07,-0.059922
monthly,2021-08,0.138233
monthly,2021-09,0.103673
monthly,2021-10,-0.060570
monthly,2021-11,-0.059545
monthly,2021-12,0.112073
monthly,2022-01,0.000973
monthly,2022-02,0.048287
monthly,2022-03,0.052836
monthly,2022-04,-0.050536
monthly,2022-05,0.048458
monthly,2022-06,0.035792
monthly,2022-07,-0.102429
monthly,2022-08,0.030956
monthly,2022-09,-0.047311
monthly,2022-10,-0.102048
monthly,2022-11,0.146977
monthly,2022-12,-0.000966
monthly,2023-01,0.070556
monthly,2023-02,0.001464
monthly,2023-03,-0.018993
monthly,2023-04,-0.018045
monthly,2023-05,-0.060125
monthly,2023-06,0.037648
monthly,2023-07,0.066255
monthly,2023-08,-0.047094
monthly,2023-09,-0.001981
monthly,2023-10,-0.062761
monthly,2023-11,0.003031
monthly,2023-12,-0.031614
monthly,2024-01,0.011661
monthly,2024-02,0.106702
monthly,2024-03,0.008958
monthly,2024-04,0.106568
monthly,2024-05,0.017317
monthly,2024-06,-0.050770
monthly,2024-07,-0.077413
monthly,2024-08,-0.031223
monthly,2024-09,0.193145
monthly,2024-10,-0.049029
monthly,2024-11,-0.029923
monthly,2024-12,0.003151
monthly,2025-01,0.029049
monthly,2025-02,-0.031932
monthly,2025-03,0.062591
monthly,2025-04,-0.059584
monthly,2025-05,0.055457
monthly,2025-06,0.021044
monthly,2025-07,0.041178
monthly,2025-08,0.046713
monthly,2025-09,0.029498
monthly,2025-10,0.023000
monthly,2025-11,0.000383
monthly,2025-12,0.020754
monthly,2026-01,-0.000103
monthly,2026-02,0.085164
monthly,2026-03,-0.047057
monthly,2026-04,0.071473
monthly,2026-05,-0.043123
monthly,2026-06,-0.174178
monthly,2026-07,0.135002
monthly,2026-08,0.004405
