period_type,period,return_pct
annual,2010,0.086612
annual,2011,-0.092860
annual,2012,0.208031
annual,2013,0.234971
annual,2014,0.409460
annual,2015,0.088109
annual,2016,0.177191
annual,2017,0.677450
annual,2018,-0.163316
annual,2019,0.744766
annual,2020,0.306826
annual,2021,0.140154
annual,2022,0.096402
annual,2023,-0.122618
annual,2024,0.259380
annual,2025,0.228887
annual,2026,0.012440
monthly,2010-05,-0.000888
monthly,2010-06,-0.000610
monthly,2010-07,0.002956
monthly,2010-08,0.045030
monthly,2010-09,-0.001534
monthly,2010-10,0.114719
monthly,2010-11,-0.106102
monthly,2010-12,-0.015316
monthly,2011-01,-0.036180
monthly,2011-02,0.120647
monthly,2011-03,0.031195
monthly,2011-04,-0.018552
monthly,2011-05,-0.061050
monthly,2011-06,0.047895
monthly,2011-07,-0.009608
monthly,2011-08,-0.053185
monthly,2011-09,-0.054834
monthly,2011-10,0.027127
monthly,2011-11,-0.073962
monthly,2011-12,-0.026426
monthly,2012-01,0.060542
monthly,2012-02,0.063302
monthly,2012-03,-0.075323
monthly,2012-04,0.044918
monthly,2012-05,0.017862
monthly,2012-06,-0.064574
monthly,2012-07,-0.027266
monthly,2012-08,-0.087198
monthly,2012-09,0.018180
monthly,2012-10,0.015969
monthly,2012-11,-0.013326
monthly,2012-12,0.183351
monthly,2013-01,0.081696
monthly,2013-02,-0.029317
monthly,2013-03,-0.042882
monthly,2013-04,-0.037358
monthly,2013-05,0.089762
monthly,2013-06,-0.073074
monthly,2013-07,0.013366
monthly,2013-08,0.019809
monthly,2013-09,0.105714
monthly,2013-10,0.024733
monthly,2013-11,0.048458
monthly,2013-12,0.029074
monthly,2014-01,-0.055384
monthly,2014-02,-0.023343
monthly,2014-03,-0.019603
monthly,2014-04,0.013332
monthly,2014-05,0.001149
monthly,2014-06,0.010908
monthly,2014-07,0.138585
monthly,2014-08,-0.016014
monthly,2014-09,0.007480
monthly,2014-10,0.008769
monthly,2014-11,0.072147
monthly,2014-12,0.192053
monthly,2015-01,-0.073982
monthly,2015-02,0.056515
monthly,2015-03,0.079994
monthly,2015-04,0.122673
monthly,2015-05,0.012240
monthly,2015-06,-0.000994
monthly,2015-07,-0.106348
monthly,2015-08,-0.110907
monthly,2015-09,-0.011235
monthly,2015-10,0.033088
monthly,2015-11,-0.020699
monthly,2015-12,0.071125
monthly,2016-01,-0.112960
monthly,2016-02,0.006877
monthly,2016-03,0.094953
monthly,2016-04,0.043639
monthly,2016-05,0.007505
monthly,2016-06,0.022687
monthly,2016-07,0.044242
monthly,2016-08,0.049589
monthly,2016-09,-0.000777
monthly,2016-10,0.005843
monthly,2016-11,0.073900
monthly,2016-12,-0.086915
monthly,2017-01,0.048836
monthly,2017-02,0.050209
monthly,2017-03,0.062452
monthly,2017-04,0.017236
monthly,2017-05,0.115622
monthly,2017-06,0.120819
monthly,2017-07,0.044579
monthly,2017-08,0.005864
monthly,2017-09,-0.022204
monthly,2017-10,0.043626
monthly,2017-11,0.071012
monthly,2017-12,0.022089
monthly,2018-01,0.139902
monthly,2018-02,-0.098334
monthly,2018-03,-0.049966
monthly,2018-04,0.002659
monthly,2018-05,-0.023484
monthly,2018-06,-0.064491
monthly,2018-07,0.111970
monthly,2018-08,-0.008057
monthly,2018-09,0.067194
monthly,2018-10,-0.027202
monthly,2018-11,-0.019091
monthly,2018-12,-0.126738
monthly,2019-01,0.170146
monthly,2019-02,0.114430
monthly,2019-03,0.042428
monthly,2019-04,0.005776
monthly,2019-05,0.020113
monthly,2019-06,0.054176
monthly,2019-07,0.003335
monthly,2019-08,-0.037351
monthly,2019-09,0.033949
