period_type,period,return_pct
annual,2010,0.105891
annual,2011,-0.132190
annual,2012,0.255041
annual,2013,-0.005147
annual,2014,0.257915
annual,2015,0.098017
annual,2016,0.284266
annual,2017,0.806894
annual,2018,-0.242973
annual,2019,0.574457
annual,2020,0.525350
annual,2021,0.300930
annual,2022,0.167992
annual,2023,-0.026659
annual,2024,0.060964
annual,2025,0.674719
annual,2026,-0.083310
monthly,2010-05,-0.000888
monthly,2010-06,-0.000610
monthly,2010-07,0.002956
monthly,2010-08,0.045030
monthly,2010-09,-0.001793
monthly,2010-10,0.118452
monthly,2010-11,-0.095164
monthly,2010-12,-0.011331
monthly,2011-01,-0.032462
monthly,2011-02,0.109111
monthly,2011-03,0.039915
monthly,2011-04,-0.022047
monthly,2011-05,-0.056909
monthly,2011-06,0.051819
monthly,2011-07,-0.014459
monthly,2011-08,-0.067279
monthly,2011-09,-0.070665
monthly,2011-10,0.035628
monthly,2011-11,-0.093615
monthly,2011-12,-0.033942
monthly,2012-01,0.094407
monthly,2012-02,0.053153
monthly,2012-03,-0.049864
monthly,2012-04,0.030699
monthly,2012-05,-0.015610
monthly,2012-06,-0.069170
monthly,2012-07,-0.028471
monthly,2012-08,-0.048767
monthly,2012-09,0.030324
monthly,2012-10,0.038962
monthly,2012-11,-0.017387
monthly,2012-12,0.197847
monthly,2013-01,0.045050
monthly,2013-02,-0.024143
monthly,2013-03,-0.040338
monthly,2013-04,-0.044355
monthly,2013-05,0.101554
monthly,2013-06,-0.073892
monthly,2013-07,-0.025180
monthly,2013-08,0.036017
monthly,2013-09,0.007601
monthly,2013-10,-0.049381
monthly,2013-11,0.043785
monthly,2013-12,0.022933
monthly,2014-01,-0.052405
monthly,2014-02,0.028672
monthly,2014-03,-0.072500
monthly,2014-04,0.007113
monthly,2014-05,-0.018932
monthly,2014-06,0.000247
monthly,2014-07,0.124251
monthly,2014-08,0.022583
monthly,2014-09,0.020780
monthly,2014-10,-0.009421
monthly,2014-11,0.057822
monthly,2014-12,0.084025
monthly,2015-01,-0.018681
monthly,2015-02,0.040262
monthly,2015-03,0.069770
monthly,2015-04,0.098526
monthly,2015-05,-0.010575
monthly,2015-06,0.024044
monthly,2015-07,-0.127921
monthly,2015-08,-0.149961
monthly,2015-09,-0.039792
monthly,2015-10,0.064378
monthly,2015-11,0.014858
monthly,2015-12,0.052478
monthly,2016-01,-0.115101
monthly,2016-02,0.000522
monthly,2016-03,0.140290
monthly,2016-04,0.000600
monthly,2016-05,-0.004413
monthly,2016-06,0.096477
monthly,2016-07,0.064610
monthly,2016-08,0.022337
monthly,2016-09,-0.013385
monthly,2016-10,0.066591
monthly,2016-11,-0.013897
monthly,2016-12,-0.036343
monthly,2017-01,0.026917
monthly,2017-02,0.086835
monthly,2017-03,0.112574
monthly,2017-04,0.060057
monthly,2017-05,0.072286
monthly,2017-06,0.062106
monthly,2017-07,0.084777
monthly,2017-08,-0.014427
monthly,2017-09,0.013663
monthly,2017-10,0.064890
monthly,2017-11,0.008366
monthly,2017-12,0.071214
monthly,2018-01,0.035328
monthly,2018-02,-0.068520
monthly,2018-03,-0.055524
monthly,2018-04,0.009431
monthly,2018-05,0.043972
monthly,2018-06,-0.040846
monthly,2018-07,0.007190
monthly,2018-08,-0.032387
monthly,2018-09,0.022423
monthly,2018-10,-0.035463
monthly,2018-11,-0.038531
monthly,2018-12,-0.071019
monthly,2019-01,0.102028
monthly,2019-02,0.149154
monthly,2019-03,0.015983
monthly,2019-04,-0.029259
monthly,2019-05,-0.010582
monthly,2019-06,0.058123
monthly,2019-07,-0.025874
monthly,2019-08,0.027127
monthly,2019-09,-0.017273
monthly,2019-10,0.023018
monthly,2019-11,0.015979
monthly,2019-12,0.122288
monthly,2020-01,-0.057678
monthly,2020-02,0.000512
monthly,2020-03,-0.160155
monthly,2020-04,0.068022
monthly,2020-05,0.020266
monthly,2020-06,0.035815
monthly,2020-07,0.202868
monthly,2020-08,0.090426
monthly,2020-09,-0.044901
monthly,2020-10,0.083030
monthly,2020-11,0.081563
monthly,2020-12,0.018418
monthly,2021-01,0.100864
monthly,2021-02,0.036701
monthly,2021-03,-0.130414
monthly,2021-04,-0.015747
monthly,2021-05,0.001400
monthly,2021-06,-0.048547
monthly,2021-07,-0.028570
monthly,2021-08,0.146047
monthly,2021-09,0.111853
monthly,2021-10,-0.098756
monthly,2021-11,-0.040418
monthly,2021-12,0.157852
monthly,2022-01,-0.038476
monthly,2022-02,0.053255
monthly,2022-03,0.089881
monthly,2022-04,-0.065825
monthly,2022-05,0.077184
monthly,2022-06,0.039854
monthly,2022-07,-0.111861
monthly,2022-08,0.060548
monthly,2022-09,-0.033812
monthly,2022-10,0.003480
monthly,2022-11,0.055847
monthly,2022-12,0.018059
monthly,2023-01,0.054318
monthly,2023-02,0.015833
monthly,2023-03,0.002203
monthly,2023-04,-0.025516
monthly,2023-05,-0.087199
monthly,2023-06,0.047727
monthly,2023-07,0.060045
monthly,2023-08,-0.027958
monthly,2023-09,-0.028335
monthly,2023-10,-0.054874
monthly,2023-11,-0.021556
monthly,2023-12,-0.030115
monthly,2024-01,-0.096032
monthly,2024-02,0.106408
monthly,2024-03,0.035548
monthly,2024-04,0.045775
monthly,2024-05,-0.001786
monthly,2024-06,-0.046495
monthly,2024-07,-0.091914
monthly,2024-08,-0.050649
monthly,2024-09,0.195001
monthly,2024-10,-0.024177
monthly,2024-11,0.012469
monthly,2024-12,-0.069196
monthly,2025-01,0.000953
monthly,2025-02,0.040147
monthly,2025-03,0.036168
monthly,2025-04,-0.102338
monthly,2025-05,0.002096
monthly,2025-06,0.048198
monthly,2025-07,0.088898
monthly,2025-08,0.107879
monthly,2025-09,0.235538
monthly,2025-10,-0.035831
monthly,2025-11,-0.063630
monthly,2025-12,0.026645
monthly,2026-01,0.096652
monthly,2026-02,0.096204
monthly,2026-03,-0.076614
monthly,2026-04,0.076106
monthly,2026-05,-0.152356
monthly,2026-06,-0.058756
monthly,2026-07,-0.026145
monthly,2026-08,0.021336
