period_type,period,return_pct
annual,2010,0.086612
annual,2011,-0.132671
annual,2012,0.255415
annual,2013,-0.094700
annual,2014,0.291892
annual,2015,0.204917
annual,2016,0.307817
annual,2017,0.563796
annual,2018,-0.222970
annual,2019,0.522481
annual,2020,0.386733
annual,2021,0.236309
annual,2022,0.265699
annual,2023,-0.033515
annual,2024,0.083116
annual,2025,0.543077
annual,2026,-0.148303
monthly,2010-05,-0.000888
monthly,2010-06,-0.000610
monthly,2010-07,0.002956
monthly,2010-08,0.045030
monthly,2010-09,-0.001534
monthly,2010-10,0.114719
monthly,2010-11,-0.106102
monthly,2010-12,-0.015316
monthly,2011-01,-0.036180
monthly,2011-02,0.120647
monthly,2011-03,0.033784
monthly,2011-04,-0.022351
monthly,2011-05,-0.064371
monthly,2011-06,0.065569
monthly,2011-07,-0.014204
monthly,2011-08,-0.070431
monthly,2011-09,-0.069302
monthly,2011-10,0.034998
monthly,2011-11,-0.090388
monthly,2011-12,-0.036093
monthly,2012-01,0.095727
monthly,2012-02,0.075192
monthly,2012-03,-0.038130
monthly,2012-04,0.022068
monthly,2012-05,-0.004887
monthly,2012-06,-0.074605
monthly,2012-07,-0.038398
monthly,2012-08,-0.058286
monthly,2012-09,0.040426
monthly,2012-10,0.041577
monthly,2012-11,-0.027603
monthly,2012-12,0.178982
monthly,2013-01,0.041614
monthly,2013-02,-0.031639
monthly,2013-03,-0.046425
monthly,2013-04,-0.032248
monthly,2013-05,0.112909
monthly,2013-06,-0.108562
monthly,2013-07,-0.039628
monthly,2013-08,0.052723
monthly,2013-09,0.002935
monthly,2013-10,-0.075899
monthly,2013-11,0.039049
monthly,2013-12,-0.008924
monthly,2014-01,-0.037636
monthly,2014-02,0.010725
monthly,2014-03,-0.005820
monthly,2014-04,-0.002588
monthly,2014-05,0.017327
monthly,2014-06,0.000088
monthly,2014-07,0.097967
monthly,2014-08,0.027247
monthly,2014-09,0.028277
monthly,2014-10,-0.002934
monthly,2014-11,0.034497
monthly,2014-12,0.064247
monthly,2015-01,-0.018674
monthly,2015-02,0.048977
monthly,2015-03,0.066976
monthly,2015-04,0.072792
monthly,2015-05,0.001040
monthly,2015-06,0.028553
monthly,2015-07,-0.118899
monthly,2015-08,-0.106304
monthly,2015-09,-0.039503
monthly,2015-10,0.090034
monthly,2015-11,0.005669
monthly,2015-12,0.065142
monthly,2016-01,-0.094556
monthly,2016-02,0.006508
monthly,2016-03,0.143286
monthly,2016-04,0.004589
monthly,2016-05,0.007857
monthly,2016-06,0.115545
monthly,2016-07,0.083278
monthly,2016-08,-0.001562
monthly,2016-09,-0.011166
monthly,2016-10,0.034984
monthly,2016-11,0.017340
monthly,2016-12,-0.052631
monthly,2017-01,0.043996
monthly,2017-02,0.031515
monthly,2017-03,0.086972
monthly,2017-04,-0.007064
monthly,2017-05,0.064244
monthly,2017-06,0.065049
monthly,2017-07,0.043999
monthly,2017-08,0.010617
monthly,2017-09,0.003825
monthly,2017-10,0.050588
monthly,2017-11,0.062795
monthly,2017-12,0.032424
monthly,2018-01,0.108805
