period_type,period,return_pct
annual,2016,0.056589
annual,2017,0.520818
annual,2018,-0.194869
annual,2019,0.690144
annual,2020,0.206782
annual,2021,0.222716
annual,2022,0.053385
annual,2023,0.139856
annual,2024,0.351552
annual,2025,0.371678
annual,2026,0.109739
monthly,2016-05,0.004021
monthly,2016-06,0.009755
monthly,2016-07,0.040628
monthly,2016-08,0.028804
monthly,2016-09,-0.027229
monthly,2016-10,0.028427
monthly,2016-11,0.029940
monthly,2016-12,-0.058978
monthly,2017-01,0.036050
monthly,2017-02,0.044736
monthly,2017-03,0.040240
monthly,2017-04,-0.012613
monthly,2017-05,0.101858
monthly,2017-06,0.064570
monthly,2017-07,0.061890
monthly,2017-08,0.004464
monthly,2017-09,-0.018475
monthly,2017-10,0.056092
monthly,2017-11,0.086432
monthly,2017-12,0.013584
monthly,2018-01,0.117595
monthly,2018-02,-0.064778
monthly,2018-03,-0.059690
monthly,2018-04,-0.017424
monthly,2018-05,-0.043161
monthly,2018-06,-0.030751
monthly,2018-07,0.041147
monthly,2018-08,-0.026018
monthly,2018-09,0.024531
monthly,2018-10,-0.025211
monthly,2018-11,-0.030439
monthly,2018-12,-0.079862
monthly,2019-01,0.120215
monthly,2019-02,0.127789
monthly,2019-03,0.052028
monthly,2019-04,0.020152
monthly,2019-05,0.033766
monthly,2019-06,0.072127
monthly,2019-07,-0.026023
monthly,2019-08,-0.005772
monthly,2019-09,0.042550
monthly,2019-10,0.024873
monthly,2019-11,-0.061615
monthly,2019-12,0.072633
monthly,2020-01,-0.064583
monthly,2020-02,-0.001923
monthly,2020-03,-0.126005
monthly,2020-04,0.107724
monthly,2020-05,-0.003157
monthly,2020-06,-0.012195
monthly,2020-07,0.119706
monthly,2020-08,0.073455
monthly,2020-09,-0.010250
monthly,2020-10,0.004769
monthly,2020-11,0.109697
monthly,2020-12,-0.072208
monthly,2021-01,-0.021364
monthly,2021-02,0.028766
monthly,2021-03,0.053629
monthly,2021-04,-0.004396
monthly,2021-05,0.016224
monthly,2021-06,-0.044429
monthly,2021-07,-0.063186
monthly,2021-08,0.128260
monthly,2021-09,0.093119
monthly,2021-10,-0.054725
monthly,2021-11,-0.039269
monthly,2021-12,0.102501
monthly,2022-01,-0.013343
monthly,2022-02,0.044177
monthly,2022-03,0.051466
monthly,2022-04,-0.038051
monthly,2022-05,0.032631
monthly,2022-06,0.037823
monthly,2022-07,-0.098244
monthly,2022-08,0.031125
monthly,2022-09,-0.043729
monthly,2022-10,-0.102314
monthly,2022-11,0.136840
monthly,2022-12,-0.019490
monthly,2023-01,0.058823
monthly,2023-02,0.009182
monthly,2023-03,0.048624
monthly,2023-04,0.014442
monthly,2023-05,-0.053499
monthly,2023-06,0.051407
monthly,2023-07,0.052256
monthly,2023-08,-0.044485
monthly,2023-09,0.004746
monthly,2023-10,-0.049585
monthly,2023-11,0.010645
monthly,2023-12,-0.027993
monthly,2024-01,0.040999
monthly,2024-02,0.112135
monthly,2024-03,-0.010711
monthly,2024-04,0.061633
monthly,2024-05,-0.005918
monthly,2024-06,-0.061926
monthly,2024-07,-0.032092
monthly,2024-08,-0.010325
monthly,2024-09,0.215182
monthly,2024-10,-0.054491
monthly,2024-11,-0.019590
monthly,2024-12,-0.029935
monthly,2025-01,0.040539
monthly,2025-02,-0.020667
monthly,2025-03,0.048226
monthly,2025-04,-0.062873
monthly,2025-05,0.068261
monthly,2025-06,0.019498
monthly,2025-07,0.059882
monthly,2025-08,0.018361
monthly,2025-09,0.005685
monthly,2025-10,0.046373
monthly,2025-11,0.005142
monthly,2025-12,0.008128
monthly,2026-01,0.019373
monthly,2026-02,0.064396
monthly,2026-03,-0.038819
monthly,2026-04,0.116263
monthly,2026-05,-0.038348
monthly,2026-06,-0.115850
monthly,2026-07,0.118718
monthly,2026-08,-0.010783
