period_type,period,return_pct
annual,2006,1.370996
annual,2007,2.641477
annual,2008,-0.233452
annual,2009,1.552677
monthly,2006-01,0.003954
monthly,2006-02,-0.020138
monthly,2006-03,0.004083
monthly,2006-04,0.054102
monthly,2006-05,0.268721
monthly,2006-06,0.062711
monthly,2006-07,-0.146726
monthly,2006-08,0.049377
monthly,2006-09,0.135720
monthly,2006-10,0.016436
monthly,2006-11,0.160897
monthly,2006-12,0.226637
monthly,2007-01,0.420328
monthly,2007-02,0.174519
monthly,2007-03,0.407085
monthly,2007-04,0.294986
monthly,2007-05,0.150733
monthly,2007-06,-0.161639
monthly,2007-07,0.092535
monthly,2007-08,0.079009
monthly,2007-09,0.052673
monthly,2007-10,-0.011713
monthly,2007-11,-0.010657
monthly,2007-12,0.047593
monthly,2008-01,-0.060519
monthly,2008-02,0.056815
monthly,2008-03,0.000182
monthly,2008-04,-0.004387
monthly,2008-05,-0.035921
monthly,2008-06,-0.081209
monthly,2008-07,0.023392
monthly,2008-08,-0.070874
monthly,2008-09,-0.027586
monthly,2008-10,-0.049717
monthly,2008-11,0.030940
monthly,2008-12,-0.027041
monthly,2009-01,0.035455
monthly,2009-02,0.028886
monthly,2009-03,0.226645
monthly,2009-04,0.075338
monthly,2009-05,0.053195
monthly,2009-06,0.005554
monthly,2009-07,0.245815
monthly,2009-08,-0.198748
monthly,2009-09,0.083110
monthly,2009-10,0.057039
monthly,2009-11,0.159304
monthly,2009-12,-0.011934
