period_type,period,return_pct
annual,2010,0.337220
annual,2011,-0.132906
annual,2012,0.223514
annual,2013,-0.176900
annual,2014,0.665232
annual,2015,0.097250
annual,2016,0.096110
annual,2017,0.676885
annual,2018,-0.200131
annual,2019,0.618947
annual,2020,0.192563
annual,2021,0.163569
annual,2022,-0.059348
annual,2023,-0.112793
annual,2024,0.325981
annual,2025,0.314227
annual,2026,0.046430
monthly,2010-05,-0.005066
monthly,2010-06,-0.011437
monthly,2010-07,0.099051
monthly,2010-08,0.091936
monthly,2010-09,-0.013281
monthly,2010-10,0.202699
monthly,2010-11,-0.110530
monthly,2010-12,-0.010891
monthly,2011-01,-0.039249
monthly,2011-02,0.140016
monthly,2011-03,0.052302
monthly,2011-04,-0.017753
monthly,2011-05,-0.045824
monthly,2011-06,0.052640
monthly,2011-07,0.002957
monthly,2011-08,-0.056416
monthly,2011-09,-0.085376
monthly,2011-10,0.034297
monthly,2011-11,-0.119423
monthly,2011-12,-0.051145
monthly,2012-01,0.110085
monthly,2012-02,0.070540
monthly,2012-03,-0.065316
monthly,2012-04,0.043977
monthly,2012-05,0.013348
monthly,2012-06,-0.074572
monthly,2012-07,-0.063582
monthly,2012-08,-0.088343
monthly,2012-09,0.036646
monthly,2012-10,0.019927
monthly,2012-11,-0.044444
monthly,2012-12,0.192397
monthly,2013-01,0.056671
monthly,2013-02,-0.043784
monthly,2013-03,-0.077749
monthly,2013-04,-0.067438
monthly,2013-05,0.049885
monthly,2013-06,-0.130385
monthly,2013-07,-0.019461
monthly,2013-08,0.053166
monthly,2013-09,0.003543
monthly,2013-10,-0.043010
monthly,2013-11,0.022486
monthly,2013-12,-0.016991
monthly,2014-01,-0.058569
monthly,2014-02,0.024593
monthly,2014-03,-0.004435
monthly,2014-04,0.019001
monthly,2014-05,0.028399
monthly,2014-06,-0.016946
monthly,2014-07,0.141458
monthly,2014-08,0.027006
monthly,2014-09,-0.004184
monthly,2014-10,0.007880
monthly,2014-11,0.098705
monthly,2014-12,0.267220
monthly,2015-01,-0.116685
monthly,2015-02,0.051586
monthly,2015-03,0.065794
monthly,2015-04,0.147506
monthly,2015-05,-0.002699
monthly,2015-06,0.000028
monthly,2015-07,-0.057108
monthly,2015-08,-0.071893
monthly,2015-09,0.012243
monthly,2015-10,0.019820
monthly,2015-11,-0.024408
monthly,2015-12,0.044315
monthly,2016-01,-0.116805
monthly,2016-02,0.004005
monthly,2016-03,0.094604
monthly,2016-04,0.052516
monthly,2016-05,0.001068
monthly,2016-06,-0.010236
monthly,2016-07,0.032761
monthly,2016-08,0.063710
monthly,2016-09,-0.019133
monthly,2016-10,-0.000841
monthly,2016-11,0.035054
monthly,2016-12,-0.050939
monthly,2017-01,0.054781
monthly,2017-02,0.036291
monthly,2017-03,0.013976
monthly,2017-04,0.002339
monthly,2017-05,0.153652
monthly,2017-06,0.089412
monthly,2017-07,0.077555
monthly,2017-08,0.019536
monthly,2017-09,-0.031359
monthly,2017-10,0.049783
monthly,2017-11,0.082222
monthly,2017-12,0.015494
monthly,2018-01,0.135531
monthly,2018-02,-0.105454
monthly,2018-03,-0.046899
monthly,2018-04,0.005564
monthly,2018-05,0.009616
monthly,2018-06,-0.019538
monthly,2018-07,0.001612
monthly,2018-08,-0.036671
monthly,2018-09,0.029806
monthly,2018-10,-0.049822
monthly,2018-11,-0.030465
monthly,2018-12,-0.080252
monthly,2019-01,0.115603
monthly,2019-02,0.148108
monthly,2019-03,0.038126
monthly,2019-04,0.012818
monthly,2019-05,0.010100
monthly,2019-06,0.064955
monthly,2019-07,-0.026430
monthly,2019-08,0.003275
monthly,2019-09,0.009724
monthly,2019-10,0.025858
monthly,2019-11,-0.048644
monthly,2019-12,0.073405
monthly,2020-01,-0.056900
monthly,2020-02,0.005913
monthly,2020-03,-0.108416
monthly,2020-04,0.077383
monthly,2020-05,0.005975
monthly,2020-06,-0.009140
monthly,2020-07,0.117395
monthly,2020-08,0.062118
monthly,2020-09,-0.042831
monthly,2020-10,0.036821
monthly,2020-11,0.128891
monthly,2020-12,-0.067920
