period_type,period,return_pct
annual,2018,-0.165403
annual,2019,0.513644
annual,2020,0.167463
annual,2021,0.237144
annual,2022,-0.036943
annual,2023,-0.069547
annual,2024,0.354557
annual,2025,0.242335
annual,2026,0.026856
monthly,2018-05,0.000499
monthly,2018-06,-0.005554
monthly,2018-07,-0.006559
monthly,2018-08,-0.021220
monthly,2018-09,-0.004136
monthly,2018-10,-0.039848
monthly,2018-11,-0.021969
monthly,2018-12,-0.076438
monthly,2019-01,0.097842
monthly,2019-02,0.143710
monthly,2019-03,0.014055
monthly,2019-04,0.010501
monthly,2019-05,-0.027175
monthly,2019-06,0.077819
monthly,2019-07,-0.029182
monthly,2019-08,0.027516
monthly,2019-09,-0.011524
monthly,2019-10,0.013929
monthly,2019-11,-0.016578
monthly,2019-12,0.089710
monthly,2020-01,-0.044771
monthly,2020-02,0.024292
monthly,2020-03,-0.113217
monthly,2020-04,0.036864
monthly,2020-05,0.027402
monthly,2020-06,-0.009466
monthly,2020-07,0.147838
monthly,2020-08,-0.005341
monthly,2020-09,-0.044909
monthly,2020-10,0.034228
monthly,2020-11,0.119948
monthly,2020-12,-0.073473
monthly,2021-01,-0.050756
monthly,2021-02,0.023467
monthly,2021-03,0.057107
monthly,2021-04,-0.010128
monthly,2021-05,0.003610
monthly,2021-06,-0.042303
monthly,2021-07,-0.028938
monthly,2021-08,0.176381
monthly,2021-09,0.116924
monthly,2021-10,-0.070166
monthly,2021-11,-0.050227
monthly,2021-12,0.088194
monthly,2022-01,-0.032335
monthly,2022-02,0.029144
monthly,2022-03,-0.038174
monthly,2022-04,-0.051040
monthly,2022-05,0.029930
monthly,2022-06,0.037253
monthly,2022-07,-0.073197
monthly,2022-08,0.026069
monthly,2022-09,-0.034780
monthly,2022-10,-0.039718
monthly,2022-11,0.088802
monthly,2022-12,0.013780
monthly,2023-01,0.073337
monthly,2023-02,-0.002793
monthly,2023-03,-0.016026
monthly,2023-04,-0.040357
monthly,2023-05,-0.081365
monthly,2023-06,0.037250
monthly,2023-07,0.060073
monthly,2023-08,-0.048904
monthly,2023-09,-0.020838
monthly,2023-10,-0.070778
monthly,2023-11,-0.020950
monthly,2023-12,-0.004534
monthly,2024-01,0.035239
monthly,2024-02,0.074549
monthly,2024-03,0.011181
monthly,2024-04,0.037061
monthly,2024-05,-0.018951
monthly,2024-06,-0.036857
monthly,2024-07,-0.007996
monthly,2024-08,-0.027877
monthly,2024-09,0.203395
monthly,2024-10,-0.053265
monthly,2024-11,-0.016697
monthly,2024-12,0.008393
monthly,2025-01,0.039154
monthly,2025-02,0.030214
monthly,2025-03,0.039973
monthly,2025-04,-0.064892
monthly,2025-05,0.033219
monthly,2025-06,0.026830
monthly,2025-07,0.028467
monthly,2025-08,0.035321
monthly,2025-09,0.016885
monthly,2025-10,0.002432
monthly,2025-11,-0.008150
monthly,2025-12,-0.009105
monthly,2026-01,0.003039
monthly,2026-02,0.052621
monthly,2026-03,-0.016424
monthly,2026-04,0.026376
monthly,2026-05,-0.057972
monthly,2026-06,-0.066432
monthly,2026-07,0.112071
monthly,2026-08,-0.026676
