period_type,period,return_pct
annual,2010,0.105891
annual,2011,-0.096930
annual,2012,0.163059
annual,2013,-0.085115
annual,2014,0.374049
annual,2015,0.153024
annual,2016,0.316580
annual,2017,0.647561
annual,2018,-0.195896
annual,2019,0.439828
annual,2020,0.273794
annual,2021,0.203148
annual,2022,-0.112701
annual,2023,-0.107577
annual,2024,0.105607
annual,2025,0.917755
annual,2026,0.065234
monthly,2010-05,-0.000888
monthly,2010-06,-0.000610
monthly,2010-07,0.002956
monthly,2010-08,0.045030
monthly,2010-09,-0.001793
monthly,2010-10,0.118452
monthly,2010-11,-0.095164
monthly,2010-12,-0.011331
monthly,2011-01,-0.032462
monthly,2011-02,0.108426
monthly,2011-03,0.037951
monthly,2011-04,-0.014865
monthly,2011-05,-0.046494
monthly,2011-06,0.046037
monthly,2011-07,-0.009977
monthly,2011-08,-0.044123
monthly,2011-09,-0.062609
monthly,2011-10,0.026163
monthly,2011-11,-0.085803
monthly,2011-12,-0.029165
monthly,2012-01,0.063756
monthly,2012-02,0.050602
monthly,2012-03,-0.048384
monthly,2012-04,0.022655
monthly,2012-05,-0.018211
monthly,2012-06,-0.069434
monthly,2012-07,-0.060500
monthly,2012-08,-0.048238
monthly,2012-09,0.040532
monthly,2012-10,0.033248
monthly,2012-11,-0.023197
monthly,2012-12,0.200906
monthly,2013-01,0.066516
monthly,2013-02,-0.038098
monthly,2013-03,-0.031325
monthly,2013-04,-0.044934
monthly,2013-05,0.114388
monthly,2013-06,-0.111513
monthly,2013-07,-0.030116
monthly,2013-08,0.024933
monthly,2013-09,0.010026
monthly,2013-10,-0.070954
monthly,2013-11,0.031020
monthly,2013-12,-0.007654
monthly,2014-01,-0.036757
monthly,2014-02,-0.007136
monthly,2014-03,-0.010500
monthly,2014-04,-0.010294
monthly,2014-05,0.017272
monthly,2014-06,-0.001749
monthly,2014-07,0.120590
monthly,2014-08,0.027916
monthly,2014-09,0.036629
monthly,2014-10,-0.007075
monthly,2014-11,0.053812
monthly,2014-12,0.124031
monthly,2015-01,-0.065674
monthly,2015-02,0.058598
monthly,2015-03,0.074086
monthly,2015-04,0.115206
monthly,2015-05,-0.006867
monthly,2015-06,0.046061
monthly,2015-07,-0.115336
monthly,2015-08,-0.106845
monthly,2015-09,-0.036686
monthly,2015-10,0.095100
monthly,2015-11,-0.020202
monthly,2015-12,0.064393
monthly,2016-01,-0.050746
monthly,2016-02,0.023369
monthly,2016-03,0.096366
monthly,2016-04,0.024274
monthly,2016-05,-0.009495
monthly,2016-06,0.045695
monthly,2016-07,0.080306
monthly,2016-08,0.022645
monthly,2016-09,-0.015916
monthly,2016-10,0.023662
monthly,2016-11,0.040696
monthly,2016-12,-0.056391
monthly,2017-01,0.023921
monthly,2017-02,0.062228
monthly,2017-03,0.057010
monthly,2017-04,-0.000487
monthly,2017-05,0.084645
monthly,2017-06,0.118905
monthly,2017-07,0.018394
monthly,2017-08,0.000389
monthly,2017-09,0.018686
monthly,2017-10,0.057012
monthly,2017-11,0.076022
monthly,2017-12,0.016492
monthly,2018-01,0.116472
monthly,2018-02,-0.062476
monthly,2018-03,-0.060341
monthly,2018-04,-0.018545
monthly,2018-05,-0.043207
monthly,2018-06,-0.032056
monthly,2018-07,0.043418
monthly,2018-08,-0.027088
monthly,2018-09,0.024677
monthly,2018-10,-0.027751
monthly,2018-11,-0.031000
monthly,2018-12,-0.071713
monthly,2019-01,0.062386
monthly,2019-02,0.134144
monthly,2019-03,0.024278
monthly,2019-04,-0.017360
monthly,2019-05,-0.022384
monthly,2019-06,0.056396
monthly,2019-07,-0.034311
monthly,2019-08,0.030634
monthly,2019-09,-0.029273
monthly,2019-10,0.038278
monthly,2019-11,-0.007315
monthly,2019-12,0.097809
monthly,2020-01,-0.049589
monthly,2020-02,0.005705
monthly,2020-03,-0.139120
monthly,2020-04,0.059258
monthly,2020-05,0.027606
monthly,2020-06,0.009966
monthly,2020-07,0.128528
monthly,2020-08,0.042936
monthly,2020-09,0.016155
monthly,2020-10,0.043098
monthly,2020-11,0.115133
monthly,2020-12,-0.075241
monthly,2021-01,-0.066818
monthly,2021-02,0.037008
monthly,2021-03,0.056851
monthly,2021-04,-0.010130
monthly,2021-05,-0.000050
monthly,2021-06,-0.042234
monthly,2021-07,-0.034578
monthly,2021-08,0.166799
monthly,2021-09,0.115518
monthly,2021-10,-0.066743
monthly,2021-11,-0.054362
monthly,2021-12,0.089615
monthly,2022-01,-0.019228
monthly,2022-02,0.029119
monthly,2022-03,-0.031751
monthly,2022-04,-0.114827
monthly,2022-05,0.004771
monthly,2022-06,0.060022
monthly,2022-07,-0.103466
monthly,2022-08,0.018878
monthly,2022-09,-0.042211
monthly,2022-10,-0.042934
monthly,2022-11,0.114540
monthly,2022-12,0.014703
monthly,2023-01,0.075911
monthly,2023-02,-0.002197
monthly,2023-03,-0.010451
monthly,2023-04,-0.043257
monthly,2023-05,-0.078461
monthly,2023-06,0.025749
monthly,2023-07,0.065073
monthly,2023-08,-0.059525
monthly,2023-09,-0.022117
monthly,2023-10,-0.066663
monthly,2023-11,-0.041295
monthly,2023-12,-0.032027
monthly,2024-01,-0.044409
monthly,2024-02,0.080975
monthly,2024-03,0.017975
monthly,2024-04,-0.006787
monthly,2024-05,0.010574
monthly,2024-06,-0.054383
monthly,2024-07,-0.047462
monthly,2024-08,-0.031630
monthly,2024-09,0.235352
monthly,2024-10,-0.056074
monthly,2024-11,0.031608
monthly,2024-12,-0.075113
monthly,2025-01,-0.006816
monthly,2025-02,0.049781
monthly,2025-03,0.022006
monthly,2025-04,-0.102087
monthly,2025-05,0.010581
monthly,2025-06,0.030836
monthly,2025-07,0.089938
monthly,2025-08,0.066275
monthly,2025-09,0.286284
monthly,2025-10,0.017742
monthly,2025-11,0.056480
monthly,2025-12,0.020190
monthly,2026-01,0.079994
monthly,2026-02,0.100074
monthly,2026-03,-0.075215
monthly,2026-04,0.024783
monthly,2026-05,-0.029995
monthly,2026-06,-0.043883
monthly,2026-07,0.056911
monthly,2026-08,-0.018458
