period_type,period,return_pct
annual,2010,0.105891
annual,2011,-0.096930
annual,2012,0.165976
annual,2013,-0.060363
annual,2014,0.390979
annual,2015,0.105941
annual,2016,0.261323
annual,2017,0.628205
annual,2018,-0.211250
annual,2019,0.427896
annual,2020,0.137964
annual,2021,0.187242
annual,2022,-0.074627
annual,2023,-0.080271
annual,2024,0.127282
annual,2025,0.335117
annual,2026,0.025768
monthly,2010-05,-0.000888
monthly,2010-06,-0.000610
monthly,2010-07,0.002956
monthly,2010-08,0.045030
monthly,2010-09,-0.001793
monthly,2010-10,0.118452
monthly,2010-11,-0.095164
monthly,2010-12,-0.011331
monthly,2011-01,-0.032462
monthly,2011-02,0.108426
monthly,2011-03,0.037951
monthly,2011-04,-0.014865
monthly,2011-05,-0.046494
monthly,2011-06,0.046037
monthly,2011-07,-0.009977
monthly,2011-08,-0.044123
monthly,2011-09,-0.062609
monthly,2011-10,0.026163
monthly,2011-11,-0.085803
monthly,2011-12,-0.029165
monthly,2012-01,0.063756
monthly,2012-02,0.050602
monthly,2012-03,-0.048384
monthly,2012-04,0.022655
monthly,2012-05,-0.018461
monthly,2012-06,-0.069649
monthly,2012-07,-0.061666
monthly,2012-08,-0.050123
monthly,2012-09,0.040738
monthly,2012-10,0.031277
monthly,2012-11,-0.027235
monthly,2012-12,0.210240
monthly,2013-01,0.063000
monthly,2013-02,-0.036720
monthly,2013-03,-0.042697
monthly,2013-04,-0.032974
monthly,2013-05,0.113105
monthly,2013-06,-0.102404
monthly,2013-07,-0.033115
monthly,2013-08,0.050308
monthly,2013-09,0.006570
monthly,2013-10,-0.066932
monthly,2013-11,0.037208
monthly,2013-12,-0.012035
monthly,2014-01,-0.036942
monthly,2014-02,0.003958
monthly,2014-03,-0.006756
monthly,2014-04,-0.000808
monthly,2014-05,0.014475
monthly,2014-06,-0.003749
monthly,2014-07,0.115343
monthly,2014-08,0.021129
monthly,2014-09,0.032791
monthly,2014-10,0.008624
monthly,2014-11,0.064522
monthly,2014-12,0.099171
monthly,2015-01,-0.020228
monthly,2015-02,0.039946
monthly,2015-03,0.059385
monthly,2015-04,0.103473
monthly,2015-05,0.011158
monthly,2015-06,-0.049764
monthly,2015-07,-0.089624
monthly,2015-08,-0.071564
monthly,2015-09,-0.033559
monthly,2015-10,0.029458
monthly,2015-11,-0.003302
monthly,2015-12,0.035579
monthly,2016-01,-0.074771
monthly,2016-02,0.053200
monthly,2016-03,0.086396
monthly,2016-04,-0.010379
monthly,2016-05,-0.015836
monthly,2016-06,0.029542
monthly,2016-07,0.082057
monthly,2016-08,0.039246
monthly,2016-09,-0.009250
monthly,2016-10,-0.007890
monthly,2016-11,0.041630
monthly,2016-12,-0.049081
monthly,2017-01,0.024050
monthly,2017-02,0.050820
monthly,2017-03,0.100585
monthly,2017-04,-0.003955
monthly,2017-05,0.121055
monthly,2017-06,0.080471
monthly,2017-07,-0.015044
monthly,2017-08,-0.008882
monthly,2017-09,0.047958
monthly,2017-10,0.052780
monthly,2017-11,0.054965
monthly,2017-12,0.029040
monthly,2018-01,0.094485
monthly,2018-02,-0.059596
monthly,2018-03,-0.061455
monthly,2018-04,-0.020488
monthly,2018-05,-0.043280
monthly,2018-06,-0.033863
monthly,2018-07,0.046952
monthly,2018-08,-0.027486
monthly,2018-09,0.026649
monthly,2018-10,-0.026929
monthly,2018-11,-0.031035
monthly,2018-12,-0.071917
monthly,2019-01,0.101735
monthly,2019-02,0.120598
monthly,2019-03,0.023193
monthly,2019-04,-0.024551
monthly,2019-05,-0.024576
monthly,2019-06,0.048581
monthly,2019-07,-0.037655
monthly,2019-08,0.029834
monthly,2019-09,-0.031880
monthly,2019-10,0.043754
monthly,2019-11,-0.017777
monthly,2019-12,0.089984
monthly,2020-01,-0.049633
monthly,2020-02,0.021648
monthly,2020-03,-0.120168
monthly,2020-04,0.061625
monthly,2020-05,0.019409
monthly,2020-06,-0.017506
monthly,2020-07,0.162413
monthly,2020-08,-0.025858
monthly,2020-09,-0.035589
monthly,2020-10,0.005333
monthly,2020-11,0.144973
monthly,2020-12,-0.074070
monthly,2021-01,-0.060222
monthly,2021-02,0.034686
monthly,2021-03,0.050779
monthly,2021-04,-0.007332
monthly,2021-05,0.001455
monthly,2021-06,-0.044398
monthly,2021-07,-0.039444
monthly,2021-08,0.160884
monthly,2021-09,0.107456
monthly,2021-10,-0.066337
monthly,2021-11,-0.059729
monthly,2021-12,0.092045
monthly,2022-01,-0.022208
monthly,2022-02,-0.021125
monthly,2022-03,-0.036639
monthly,2022-04,-0.060808
monthly,2022-05,0.030516
monthly,2022-06,0.055825
monthly,2022-07,-0.088904
monthly,2022-08,0.016419
monthly,2022-09,-0.036650
monthly,2022-10,-0.060159
monthly,2022-11,0.115853
monthly,2022-12,0.021348
monthly,2023-01,0.074155
monthly,2023-02,-0.000925
monthly,2023-03,-0.024447
monthly,2023-04,-0.034874
monthly,2023-05,-0.056749
monthly,2023-06,0.045245
monthly,2023-07,0.053882
monthly,2023-08,-0.047758
monthly,2023-09,-0.020931
monthly,2023-10,-0.061038
monthly,2023-11,-0.030525
monthly,2023-12,-0.034610
monthly,2024-01,-0.040399
monthly,2024-02,0.083415
monthly,2024-03,0.010731
monthly,2024-04,0.009314
monthly,2024-05,-0.022335
monthly,2024-06,-0.045746
monthly,2024-07,-0.009775
monthly,2024-08,-0.036547
monthly,2024-09,0.221812
monthly,2024-10,-0.057381
monthly,2024-11,0.017990
monthly,2024-12,-0.075925
monthly,2025-01,-0.012769
monthly,2025-02,0.044857
monthly,2025-03,0.020858
monthly,2025-04,-0.085354
monthly,2025-05,0.032080
monthly,2025-06,0.015396
monthly,2025-07,0.070577
monthly,2025-08,0.050339
monthly,2025-09,0.017952
monthly,2025-10,-0.014941
monthly,2025-11,0.008634
monthly,2025-12,0.018212
monthly,2026-01,0.079303
monthly,2026-02,0.090962
monthly,2026-03,-0.092560
monthly,2026-04,0.016779
monthly,2026-05,-0.030322
monthly,2026-06,-0.041699
monthly,2026-07,0.053782
monthly,2026-08,-0.016134
