period_type,period,return_pct
annual,2018,-0.208238
annual,2019,0.622842
annual,2020,0.184095
annual,2021,0.345437
annual,2022,0.075113
annual,2023,0.047774
annual,2024,0.304216
annual,2025,0.243118
annual,2026,0.095940
monthly,2018-01,0.012489
monthly,2018-02,-0.016741
monthly,2018-03,-0.020330
monthly,2018-04,-0.007801
monthly,2018-05,-0.010545
monthly,2018-06,-0.024268
monthly,2018-07,0.027868
monthly,2018-08,-0.021521
monthly,2018-09,0.017534
monthly,2018-10,-0.037933
monthly,2018-11,-0.030993
monthly,2018-12,-0.100041
monthly,2019-01,0.140550
monthly,2019-02,0.147559
monthly,2019-03,0.036822
monthly,2019-04,-0.008067
monthly,2019-05,0.014361
monthly,2019-06,0.067389
monthly,2019-07,-0.013233
monthly,2019-08,-0.005972
monthly,2019-09,0.018541
monthly,2019-10,0.017032
monthly,2019-11,-0.050167
monthly,2019-12,0.064829
monthly,2020-01,-0.052239
monthly,2020-02,-0.003081
monthly,2020-03,-0.103720
monthly,2020-04,0.081323
monthly,2020-05,-0.002323
monthly,2020-06,-0.016381
monthly,2020-07,0.068897
monthly,2020-08,0.096245
monthly,2020-09,-0.043509
monthly,2020-10,0.063758
monthly,2020-11,0.120304
monthly,2020-12,-0.062336
monthly,2021-01,0.070811
monthly,2021-02,0.012914
monthly,2021-03,0.057354
monthly,2021-04,-0.001451
monthly,2021-05,0.022473
monthly,2021-06,-0.043199
monthly,2021-07,-0.071027
monthly,2021-08,0.126648
monthly,2021-09,0.090166
monthly,2021-10,-0.044341
monthly,2021-11,-0.034522
monthly,2021-12,0.090487
monthly,2022-01,-0.011894
monthly,2022-02,0.045920
monthly,2022-03,0.057071
monthly,2022-04,-0.032092
monthly,2022-05,0.034944
monthly,2022-06,0.038821
monthly,2022-07,-0.098397
monthly,2022-08,0.030992
monthly,2022-09,-0.042176
monthly,2022-10,-0.105477
monthly,2022-11,0.140656
monthly,2022-12,-0.017651
monthly,2023-01,0.053291
monthly,2023-02,-0.003177
monthly,2023-03,-0.001649
monthly,2023-04,-0.010976
monthly,2023-05,-0.044669
monthly,2023-06,0.035711
monthly,2023-07,0.054730
monthly,2023-08,-0.040784
monthly,2023-09,0.000223
monthly,2023-10,-0.045784
monthly,2023-11,0.007149
monthly,2023-12,-0.033416
monthly,2024-01,0.019515
monthly,2024-02,0.110471
monthly,2024-03,0.001238
monthly,2024-04,0.051840
monthly,2024-05,0.008537
monthly,2024-06,-0.062978
monthly,2024-07,-0.042083
monthly,2024-08,-0.026205
monthly,2024-09,0.226386
monthly,2024-10,-0.052437
monthly,2024-11,-0.013050
monthly,2024-12,-0.031857
monthly,2025-01,0.042596
monthly,2025-02,-0.005903
monthly,2025-03,0.051469
monthly,2025-04,-0.065854
monthly,2025-05,0.058144
monthly,2025-06,0.017822
monthly,2025-07,0.047257
monthly,2025-08,0.003449
monthly,2025-09,-0.015261
monthly,2025-10,0.030499
monthly,2025-11,-0.003166
monthly,2025-12,-0.012532
monthly,2026-01,0.027747
monthly,2026-02,0.038074
monthly,2026-03,-0.034615
monthly,2026-04,0.090421
monthly,2026-05,-0.043937
monthly,2026-06,-0.077986
monthly,2026-07,0.114593
monthly,2026-08,-0.018267
