period_type,period,return_pct
annual,2018,-0.068276
annual,2019,0.398225
annual,2020,0.205824
annual,2021,0.382435
monthly,2018-01,0.005457
monthly,2018-02,-0.000218
monthly,2018-03,-0.010154
monthly,2018-04,-0.005867
monthly,2018-05,-0.004662
monthly,2018-06,-0.008488
monthly,2018-07,-0.003008
monthly,2018-08,-0.014136
monthly,2018-09,0.013666
monthly,2018-10,0.008165
monthly,2018-11,-0.015125
monthly,2018-12,-0.027891
monthly,2019-01,0.038404
monthly,2019-02,0.094934
monthly,2019-03,0.037968
monthly,2019-04,-0.022665
monthly,2019-05,0.041230
monthly,2019-06,0.064065
monthly,2019-07,-0.027953
monthly,2019-08,-0.013901
monthly,2019-09,0.027976
monthly,2019-10,0.020055
monthly,2019-11,-0.047949
monthly,2019-12,0.078289
monthly,2020-01,-0.070099
monthly,2020-02,-0.004604
monthly,2020-03,-0.111746
monthly,2020-04,0.097250
monthly,2020-05,0.006801
monthly,2020-06,-0.012224
monthly,2020-07,0.111822
monthly,2020-08,0.092774
monthly,2020-09,-0.060949
monthly,2020-10,0.052084
monthly,2020-11,0.125244
monthly,2020-12,-0.064625
monthly,2021-01,0.030649
monthly,2021-02,0.028244
monthly,2021-03,0.067646
monthly,2021-04,-0.006680
monthly,2021-05,-0.000345
monthly,2021-06,-0.035518
monthly,2021-07,-0.038537
monthly,2021-08,0.185129
monthly,2021-09,0.123510
monthly,2021-10,-0.084669
monthly,2021-11,-0.058275
monthly,2021-12,0.129512
