period_type,period,return_pct
annual,2022,-0.034050
annual,2023,0.016045
annual,2024,0.297172
annual,2025,0.197308
annual,2026,0.039358
monthly,2022-01,-0.002035
monthly,2022-02,0.005519
monthly,2022-03,0.037040
monthly,2022-04,-0.016523
monthly,2022-05,0.044334
monthly,2022-06,0.016295
monthly,2022-07,-0.107522
monthly,2022-08,0.031444
monthly,2022-09,-0.027583
monthly,2022-10,-0.107318
monthly,2022-11,0.117207
monthly,2022-12,-0.025791
monthly,2023-01,0.053834
monthly,2023-02,0.004252
monthly,2023-03,0.011399
monthly,2023-04,-0.018973
monthly,2023-05,-0.045527
monthly,2023-06,0.037628
monthly,2023-07,0.038334
monthly,2023-08,-0.048324
monthly,2023-09,0.003434
monthly,2023-10,-0.060732
monthly,2023-11,0.004285
monthly,2023-12,-0.046118
monthly,2024-01,-0.022731
monthly,2024-02,0.117245
monthly,2024-03,0.010814
monthly,2024-04,0.101474
monthly,2024-05,-0.015560
monthly,2024-06,-0.043518
monthly,2024-07,-0.044662
monthly,2024-08,-0.026947
monthly,2024-09,0.207740
monthly,2024-10,-0.082069
monthly,2024-11,-0.013321
monthly,2024-12,0.004430
monthly,2025-01,0.030807
monthly,2025-02,-0.014208
monthly,2025-03,0.060542
monthly,2025-04,-0.053676
monthly,2025-05,0.058912
monthly,2025-06,0.016646
monthly,2025-07,0.034464
monthly,2025-08,-0.005658
monthly,2025-09,-0.004879
monthly,2025-10,0.018180
monthly,2025-11,0.004229
monthly,2025-12,-0.006190
monthly,2026-01,0.001135
monthly,2026-02,0.044648
monthly,2026-03,-0.028529
monthly,2026-04,0.061582
monthly,2026-05,-0.037666
monthly,2026-06,-0.112961
monthly,2026-07,0.128694
monthly,2026-08,-0.012100
