period_type,period,return_pct
annual,2022,-0.021823
annual,2023,-0.037188
annual,2024,0.324538
annual,2025,0.323925
annual,2026,0.049589
monthly,2022-07,-0.016925
monthly,2022-08,-0.001137
monthly,2022-09,-0.012196
monthly,2022-10,-0.028759
monthly,2022-11,0.030428
monthly,2022-12,-0.000309
monthly,2023-01,0.052881
monthly,2023-02,-0.006229
monthly,2023-03,-0.027982
monthly,2023-04,-0.013404
monthly,2023-05,-0.068716
monthly,2023-06,0.082924
monthly,2023-07,0.041265
monthly,2023-08,-0.036306
monthly,2023-09,-0.001753
monthly,2023-10,-0.068541
monthly,2023-11,-0.012971
monthly,2023-12,-0.022159
monthly,2024-01,0.022827
monthly,2024-02,0.098778
monthly,2024-03,0.007046
monthly,2024-04,0.075394
monthly,2024-05,-0.008937
monthly,2024-06,-0.057890
monthly,2024-07,-0.048799
monthly,2024-08,-0.023274
monthly,2024-09,0.209374
monthly,2024-10,-0.046534
monthly,2024-11,-0.025940
monthly,2024-12,-0.021875
monthly,2025-01,0.037792
monthly,2025-02,-0.022895
monthly,2025-03,0.053865
monthly,2025-04,-0.073161
monthly,2025-05,0.076735
monthly,2025-06,0.014164
monthly,2025-07,0.044868
monthly,2025-08,-0.000592
monthly,2025-09,0.014643
monthly,2025-10,0.037615
monthly,2025-11,0.005504
monthly,2025-12,0.014574
monthly,2026-01,0.016506
monthly,2026-02,0.074626
monthly,2026-03,-0.046428
monthly,2026-04,0.075735
monthly,2026-05,-0.042914
monthly,2026-06,-0.154035
monthly,2026-07,0.132661
monthly,2026-08,-0.003150
