period_type,period,return_pct
annual,2020,0.164893
annual,2021,0.295595
annual,2022,0.140496
annual,2023,0.096884
annual,2024,0.326675
annual,2025,0.340156
annual,2026,0.078252
monthly,2020-07,0.016685
monthly,2020-08,0.051129
monthly,2020-09,-0.008944
monthly,2020-10,0.034814
monthly,2020-11,0.099247
monthly,2020-12,-0.069688
monthly,2021-01,-0.027820
monthly,2021-02,0.043364
monthly,2021-03,0.023877
monthly,2021-04,0.012943
monthly,2021-05,-0.001848
monthly,2021-06,-0.032162
monthly,2021-07,-0.038831
monthly,2021-08,0.176275
monthly,2021-09,0.121727
monthly,2021-10,-0.081502
monthly,2021-11,-0.060009
monthly,2021-12,0.131203
monthly,2022-01,0.001114
monthly,2022-02,0.062370
monthly,2022-03,0.066879
monthly,2022-04,-0.052006
monthly,2022-05,0.052337
monthly,2022-06,0.022590
monthly,2022-07,-0.088523
monthly,2022-08,0.027612
monthly,2022-09,-0.048838
monthly,2022-10,-0.050690
monthly,2022-11,0.112354
monthly,2022-12,-0.016926
monthly,2023-01,0.078979
monthly,2023-02,0.012255
monthly,2023-03,-0.012409
monthly,2023-04,0.001948
monthly,2023-05,-0.039508
monthly,2023-06,0.047081
monthly,2023-07,0.034596
monthly,2023-08,-0.050104
monthly,2023-09,0.009772
monthly,2023-10,-0.038866
monthly,2023-11,0.022319
monthly,2023-12,-0.005804
monthly,2024-01,0.032586
monthly,2024-02,0.121295
monthly,2024-03,-0.002942
monthly,2024-04,0.030931
monthly,2024-05,-0.004077
monthly,2024-06,-0.035278
monthly,2024-07,-0.036470
monthly,2024-08,-0.011818
monthly,2024-09,0.193860
monthly,2024-10,-0.053266
monthly,2024-11,-0.020241
monthly,2024-12,-0.016828
monthly,2025-01,0.028653
monthly,2025-02,0.011330
monthly,2025-03,0.036249
monthly,2025-04,-0.064968
monthly,2025-05,0.050374
monthly,2025-06,0.029269
monthly,2025-07,0.052041
monthly,2025-08,0.011466
monthly,2025-09,0.014044
monthly,2025-10,0.031921
monthly,2025-11,0.012747
monthly,2025-12,0.003803
monthly,2026-01,-0.009579
monthly,2026-02,0.061812
monthly,2026-03,-0.026233
monthly,2026-04,0.093971
monthly,2026-05,-0.029569
monthly,2026-06,-0.115911
monthly,2026-07,0.121871
monthly,2026-08,-0.013398
