period_type,period,return_pct
annual,2016,0.187903
annual,2017,1.006842
annual,2018,-0.272693
annual,2019,1.060157
monthly,2016-01,-0.000025
monthly,2016-02,0.017549
monthly,2016-03,-0.009721
monthly,2016-04,-0.044106
monthly,2016-05,-0.030232
monthly,2016-06,0.028684
monthly,2016-07,0.060472
monthly,2016-08,0.054131
monthly,2016-09,-0.027013
monthly,2016-10,0.118176
monthly,2016-11,0.052034
monthly,2016-12,-0.077638
monthly,2017-01,0.098471
monthly,2017-02,0.136917
monthly,2017-03,0.038589
monthly,2017-04,-0.052435
monthly,2017-05,0.087446
monthly,2017-06,0.148350
monthly,2017-07,0.075964
monthly,2017-08,-0.005693
monthly,2017-09,-0.013503
monthly,2017-10,0.071925
monthly,2017-11,0.054182
monthly,2017-12,0.101601
monthly,2018-01,0.076263
monthly,2018-02,-0.086329
monthly,2018-03,-0.106748
monthly,2018-04,-0.027689
monthly,2018-05,-0.024671
monthly,2018-06,-0.070484
monthly,2018-07,0.159219
monthly,2018-08,-0.014890
monthly,2018-09,0.054329
monthly,2018-10,-0.065442
monthly,2018-11,-0.005182
monthly,2018-12,-0.094656
monthly,2019-01,0.072129
monthly,2019-02,0.222991
monthly,2019-03,0.082618
monthly,2019-04,-0.012975
monthly,2019-05,0.064374
monthly,2019-06,0.102694
monthly,2019-07,0.035810
monthly,2019-08,-0.103921
monthly,2019-09,0.020616
monthly,2019-10,0.005074
monthly,2019-11,-0.014649
monthly,2019-12,0.178712
