period_type,period,return_pct
annual,2013,0.463752
annual,2014,1.345991
annual,2015,-0.214451
annual,2016,0.004903
monthly,2013-01,-0.007920
monthly,2013-02,-0.003243
monthly,2013-03,-0.106423
monthly,2013-04,0.035696
monthly,2013-05,0.259617
monthly,2013-06,-0.067433
monthly,2013-07,0.075705
monthly,2013-08,-0.016509
monthly,2013-09,0.114250
monthly,2013-10,-0.075511
monthly,2013-11,0.088365
monthly,2013-12,0.041696
monthly,2014-01,-0.036077
monthly,2014-02,-0.087915
monthly,2014-03,0.071966
monthly,2014-04,0.005690
monthly,2014-05,0.043615
monthly,2014-06,0.006827
monthly,2014-07,0.178364
monthly,2014-08,-0.001106
monthly,2014-09,0.022356
monthly,2014-10,-0.021125
monthly,2014-11,0.152597
monthly,2014-12,0.476246
monthly,2015-01,-0.241882
monthly,2015-02,0.126232
monthly,2015-03,0.176563
monthly,2015-04,0.104084
monthly,2015-05,-0.016632
monthly,2015-06,-0.067632
monthly,2015-07,-0.214482
monthly,2015-08,-0.092113
monthly,2015-09,-0.029492
monthly,2015-10,0.046377
monthly,2015-11,0.009386
monthly,2015-12,0.025011
monthly,2016-01,-0.313151
monthly,2016-02,0.009923
monthly,2016-03,0.249565
monthly,2016-04,0.073509
monthly,2016-05,-0.035004
monthly,2016-06,-0.030230
monthly,2016-07,0.037031
monthly,2016-08,0.095793
monthly,2016-09,-0.025527
monthly,2016-10,0.027003
monthly,2016-11,0.064224
monthly,2016-12,-0.088367
