period_type,period,return_pct
annual,2014,0.440557
annual,2015,0.037882
annual,2016,0.108315
annual,2017,0.681271
annual,2018,-0.212884
annual,2019,0.616878
annual,2020,0.183236
annual,2021,0.133044
annual,2022,-0.037013
annual,2023,-0.141954
annual,2024,0.363810
annual,2025,0.295914
annual,2026,0.110215
monthly,2014-05,0.000094
monthly,2014-06,0.000981
monthly,2014-07,0.085983
monthly,2014-08,-0.007643
monthly,2014-09,0.008599
monthly,2014-10,-0.001766
monthly,2014-11,0.075632
monthly,2014-12,0.208770
monthly,2015-01,-0.089581
monthly,2015-02,0.031087
monthly,2015-03,0.064472
monthly,2015-04,0.131944
monthly,2015-05,-0.016359
monthly,2015-06,-0.009963
monthly,2015-07,-0.068851
monthly,2015-08,-0.071169
monthly,2015-09,-0.007584
monthly,2015-10,0.011872
monthly,2015-11,-0.023158
monthly,2015-12,0.040341
monthly,2016-01,-0.105633
monthly,2016-02,0.020330
monthly,2016-03,0.075658
monthly,2016-04,0.054672
monthly,2016-05,-0.007566
monthly,2016-06,-0.003234
monthly,2016-07,0.027181
monthly,2016-08,0.061289
monthly,2016-09,-0.017673
monthly,2016-10,0.012937
monthly,2016-11,0.028267
monthly,2016-12,-0.056822
monthly,2017-01,0.055236
monthly,2017-02,0.033439
monthly,2017-03,0.025104
monthly,2017-04,0.005444
monthly,2017-05,0.138761
monthly,2017-06,0.100898
monthly,2017-07,0.070291
monthly,2017-08,0.016898
monthly,2017-09,-0.028594
monthly,2017-10,0.052224
monthly,2017-11,0.073553
monthly,2017-12,0.022446
monthly,2018-01,0.142740
monthly,2018-02,-0.103423
monthly,2018-03,-0.048642
monthly,2018-04,0.001619
monthly,2018-05,-0.042475
monthly,2018-06,-0.013786
monthly,2018-07,0.008607
monthly,2018-08,-0.023047
monthly,2018-09,0.004793
monthly,2018-10,-0.035349
monthly,2018-11,-0.031272
monthly,2018-12,-0.091555
monthly,2019-01,0.124208
monthly,2019-02,0.153365
monthly,2019-03,0.039474
monthly,2019-04,-0.014137
monthly,2019-05,0.010710
monthly,2019-06,0.069683
monthly,2019-07,-0.018249
monthly,2019-08,-0.001381
monthly,2019-09,0.017616
monthly,2019-10,0.023976
monthly,2019-11,-0.040002
monthly,2019-12,0.062708
monthly,2020-01,-0.053608
monthly,2020-02,-0.001870
monthly,2020-03,-0.111750
monthly,2020-04,0.083021
monthly,2020-05,0.005376
monthly,2020-06,-0.015526
monthly,2020-07,0.076724
monthly,2020-08,0.089504
monthly,2020-09,-0.043256
monthly,2020-10,0.062831
monthly,2020-11,0.120909
monthly,2020-12,-0.063129
monthly,2021-01,0.042446
monthly,2021-02,0.019462
monthly,2021-03,0.009217
monthly,2021-04,0.021399
monthly,2021-05,0.015744
monthly,2021-06,-0.061114
monthly,2021-07,-0.118289
monthly,2021-08,0.048238
monthly,2021-09,0.063792
monthly,2021-10,-0.007268
monthly,2021-11,-0.047835
monthly,2021-12,0.044462
monthly,2022-01,0.015331
monthly,2022-02,-0.006474
monthly,2022-03,0.009199
monthly,2022-04,-0.063113
monthly,2022-05,-0.007166
monthly,2022-06,0.068341
monthly,2022-07,-0.110185
monthly,2022-08,0.008122
monthly,2022-09,-0.020081
monthly,2022-10,-0.148805
monthly,2022-11,0.199515
monthly,2022-12,0.009070
monthly,2023-01,0.056892
monthly,2023-02,-0.036825
monthly,2023-03,-0.051195
monthly,2023-04,-0.009853
monthly,2023-05,-0.067871
monthly,2023-06,0.040548
monthly,2023-07,0.072667
monthly,2023-08,-0.062874
monthly,2023-09,-0.006102
monthly,2023-10,-0.061484
monthly,2023-11,-0.022749
monthly,2023-12,-0.044090
monthly,2024-01,0.039521
monthly,2024-02,0.093578
monthly,2024-03,-0.008876
monthly,2024-04,0.088716
monthly,2024-05,0.001699
monthly,2024-06,-0.046388
monthly,2024-07,-0.031877
monthly,2024-08,-0.021691
monthly,2024-09,0.217234
monthly,2024-10,-0.070684
monthly,2024-11,-0.016705
monthly,2024-12,-0.011562
monthly,2025-01,0.043255
monthly,2025-02,0.010252
monthly,2025-03,0.039290
monthly,2025-04,-0.061439
monthly,2025-05,0.054931
monthly,2025-06,0.026049
monthly,2025-07,0.046287
monthly,2025-08,0.006301
monthly,2025-09,-0.012859
monthly,2025-10,0.039072
monthly,2025-11,0.009727
monthly,2025-12,-0.008786
monthly,2026-01,0.005943
monthly,2026-02,0.038753
monthly,2026-03,-0.022742
monthly,2026-04,0.104335
monthly,2026-05,-0.031385
monthly,2026-06,-0.073451
monthly,2026-07,0.111836
monthly,2026-08,-0.023265
