period_type,period,return_pct
annual,2010,0.086403
annual,2011,-0.123038
annual,2012,0.269940
annual,2013,-0.091860
annual,2014,0.306840
annual,2015,0.216433
annual,2016,0.329477
annual,2017,0.606260
annual,2018,-0.163607
annual,2019,0.544610
annual,2020,0.380144
annual,2021,0.177939
annual,2022,0.179941
annual,2023,-0.054887
annual,2024,0.122010
annual,2025,0.466242
annual,2026,-0.053726
monthly,2010-05,-0.000888
monthly,2010-06,-0.000610
monthly,2010-07,0.002956
monthly,2010-08,0.045030
monthly,2010-09,-0.001534
monthly,2010-10,0.114719
monthly,2010-11,-0.106173
monthly,2010-12,-0.015636
monthly,2011-01,-0.035696
monthly,2011-02,0.120595
monthly,2011-03,0.034025
monthly,2011-04,-0.019974
monthly,2011-05,-0.056019
monthly,2011-06,0.063202
monthly,2011-07,-0.004337
monthly,2011-08,-0.074164
monthly,2011-09,-0.073503
monthly,2011-10,0.040006
monthly,2011-11,-0.097161
monthly,2011-12,-0.036262
monthly,2012-01,0.100136
monthly,2012-02,0.082856
monthly,2012-03,-0.053447
monthly,2012-04,0.026342
monthly,2012-05,-0.010184
monthly,2012-06,-0.072250
monthly,2012-07,-0.037633
monthly,2012-08,-0.050757
monthly,2012-09,0.035666
monthly,2012-10,0.042169
monthly,2012-11,-0.021477
monthly,2012-12,0.187564
monthly,2013-01,0.043538
monthly,2013-02,-0.032603
monthly,2013-03,-0.048827
monthly,2013-04,-0.027163
monthly,2013-05,0.114608
monthly,2013-06,-0.097006
monthly,2013-07,-0.044566
monthly,2013-08,0.039707
monthly,2013-09,0.006276
monthly,2013-10,-0.078588
monthly,2013-11,0.041338
monthly,2013-12,-0.008875
monthly,2014-01,-0.033744
monthly,2014-02,0.016798
monthly,2014-03,-0.011637
monthly,2014-04,-0.007825
monthly,2014-05,0.016449
monthly,2014-06,0.003941
monthly,2014-07,0.112013
monthly,2014-08,0.026507
monthly,2014-09,0.026228
monthly,2014-10,-0.004422
monthly,2014-11,0.032727
monthly,2014-12,0.068736
monthly,2015-01,-0.024757
monthly,2015-02,0.050202
monthly,2015-03,0.066804
monthly,2015-04,0.095175
monthly,2015-05,-0.003166
monthly,2015-06,0.027888
monthly,2015-07,-0.118607
monthly,2015-08,-0.108276
monthly,2015-09,-0.040889
monthly,2015-10,0.088720
monthly,2015-11,0.007216
monthly,2015-12,0.065216
monthly,2016-01,-0.095437
monthly,2016-02,0.005141
monthly,2016-03,0.141946
monthly,2016-04,0.004821
monthly,2016-05,0.007765
monthly,2016-06,0.113968
monthly,2016-07,0.078049
monthly,2016-08,0.016947
monthly,2016-09,-0.008392
monthly,2016-10,0.038758
monthly,2016-11,0.011495
monthly,2016-12,-0.051641
monthly,2017-01,0.042568
monthly,2017-02,0.030595
monthly,2017-03,0.071575
monthly,2017-04,-0.001762
monthly,2017-05,0.081852
monthly,2017-06,0.088908
monthly,2017-07,0.028634
monthly,2017-08,0.004794
monthly,2017-09,0.022888
monthly,2017-10,0.059546
monthly,2017-11,0.045223
monthly,2017-12,0.045367
monthly,2018-01,0.100234
monthly,2018-02,-0.062745
monthly,2018-03,-0.066744
monthly,2018-04,-0.019772
monthly,2018-05,0.026738
monthly,2018-06,-0.027690
