period_type,period,return_pct
annual,2014,0.440557
annual,2015,0.040987
annual,2016,0.105806
annual,2017,0.672773
annual,2018,-0.216915
annual,2019,0.636089
annual,2020,0.172169
annual,2021,0.343070
annual,2022,0.065440
annual,2023,0.133700
annual,2024,0.380256
annual,2025,0.364210
annual,2026,0.095046
monthly,2014-05,0.000094
monthly,2014-06,0.000981
monthly,2014-07,0.085983
monthly,2014-08,-0.007643
monthly,2014-09,0.008599
monthly,2014-10,-0.001766
monthly,2014-11,0.075632
monthly,2014-12,0.208770
monthly,2015-01,-0.089581
monthly,2015-02,0.031087
monthly,2015-03,0.064472
monthly,2015-04,0.131530
monthly,2015-05,-0.017286
monthly,2015-06,-0.011881
monthly,2015-07,-0.068292
monthly,2015-08,-0.070978
monthly,2015-09,-0.007544
monthly,2015-10,0.011454
monthly,2015-11,-0.023666
monthly,2015-12,0.039902
monthly,2016-01,-0.106417
monthly,2016-02,0.020078
monthly,2016-03,0.076565
monthly,2016-04,0.054568
monthly,2016-05,-0.007907
monthly,2016-06,-0.003919
monthly,2016-07,0.027101
monthly,2016-08,0.061286
monthly,2016-09,-0.018041
monthly,2016-10,0.013018
monthly,2016-11,0.027265
monthly,2016-12,-0.056140
monthly,2017-01,0.055453
monthly,2017-02,0.033078
monthly,2017-03,0.024805
monthly,2017-04,0.004983
monthly,2017-05,0.140084
monthly,2017-06,0.090835
monthly,2017-07,0.073813
monthly,2017-08,0.017894
monthly,2017-09,-0.029867
monthly,2017-10,0.050793
monthly,2017-11,0.084211
monthly,2017-12,0.013781
monthly,2018-01,0.136124
monthly,2018-02,-0.101658
monthly,2018-03,-0.048958
monthly,2018-04,0.001080
monthly,2018-05,-0.042494
monthly,2018-06,-0.014263
monthly,2018-07,0.009494
monthly,2018-08,-0.023153
monthly,2018-09,0.005310
monthly,2018-10,-0.035155
monthly,2018-11,-0.031602
monthly,2018-12,-0.092085
monthly,2019-01,0.125655
monthly,2019-02,0.152412
monthly,2019-03,0.040660
monthly,2019-04,-0.007335
monthly,2019-05,0.018448
monthly,2019-06,0.070809
monthly,2019-07,-0.016707
monthly,2019-08,-0.004376
monthly,2019-09,0.024393
monthly,2019-10,0.020205
monthly,2019-11,-0.055618
monthly,2019-12,0.070144
monthly,2020-01,-0.055252
monthly,2020-02,-0.003876
monthly,2020-03,-0.113680
monthly,2020-04,0.089145
monthly,2020-05,-0.002031
monthly,2020-06,-0.013333
monthly,2020-07,0.064315
monthly,2020-08,0.112118
monthly,2020-09,-0.053084
monthly,2020-10,0.066414
monthly,2020-11,0.116569
monthly,2020-12,-0.062071
monthly,2021-01,0.070490
monthly,2021-02,0.015592
monthly,2021-03,0.061509
monthly,2021-04,-0.003854
monthly,2021-05,0.016921
monthly,2021-06,-0.041744
monthly,2021-07,-0.072376
monthly,2021-08,0.125321
monthly,2021-09,0.087496
monthly,2021-10,-0.045791
monthly,2021-11,-0.034351
monthly,2021-12,0.091362
monthly,2022-01,-0.014102
monthly,2022-02,0.044612
monthly,2022-03,0.057054
monthly,2022-04,-0.032714
monthly,2022-05,0.035556
monthly,2022-06,0.038212
monthly,2022-07,-0.100240
monthly,2022-08,0.028428
monthly,2022-09,-0.044118
monthly,2022-10,-0.103446
monthly,2022-11,0.139646
monthly,2022-12,-0.016949
monthly,2023-01,0.059181
monthly,2023-02,0.005690
monthly,2023-03,0.048584
monthly,2023-04,0.015565
monthly,2023-05,-0.054792
monthly,2023-06,0.053688
monthly,2023-07,0.053429
monthly,2023-08,-0.044148
monthly,2023-09,0.004292
monthly,2023-10,-0.050808
monthly,2023-11,0.009075
monthly,2023-12,-0.028492
monthly,2024-01,0.043089
monthly,2024-02,0.111444
monthly,2024-03,-0.010790
monthly,2024-04,0.070246
monthly,2024-05,0.001290
monthly,2024-06,-0.061560
monthly,2024-07,-0.032980
monthly,2024-08,-0.002868
monthly,2024-09,0.212478
monthly,2024-10,-0.054482
monthly,2024-11,-0.017464
monthly,2024-12,-0.031488
monthly,2025-01,0.040387
monthly,2025-02,-0.020892
monthly,2025-03,0.045867
monthly,2025-04,-0.067058
monthly,2025-05,0.066570
monthly,2025-06,0.019577
monthly,2025-07,0.060743
monthly,2025-08,0.019561
monthly,2025-09,0.007150
monthly,2025-10,0.046521
monthly,2025-11,0.005214
monthly,2025-12,0.009169
monthly,2026-01,0.018311
monthly,2026-02,0.066121
monthly,2026-03,-0.038951
monthly,2026-04,0.136969
monthly,2026-05,-0.070233
monthly,2026-06,-0.116337
monthly,2026-07,0.118664
monthly,2026-08,-0.011534
