period_type,period,return_pct
annual,2018,-0.165403
annual,2019,0.552112
annual,2020,0.195361
annual,2021,0.169346
annual,2022,0.058255
annual,2023,-0.019218
annual,2024,0.399447
annual,2025,0.301870
annual,2026,0.011150
monthly,2018-05,0.000499
monthly,2018-06,-0.005554
monthly,2018-07,-0.006559
monthly,2018-08,-0.021220
monthly,2018-09,-0.004136
monthly,2018-10,-0.039848
monthly,2018-11,-0.021969
monthly,2018-12,-0.076438
monthly,2019-01,0.097842
monthly,2019-02,0.159448
monthly,2019-03,0.033797
monthly,2019-04,-0.013036
monthly,2019-05,-0.021214
monthly,2019-06,0.078683
monthly,2019-07,-0.009239
monthly,2019-08,0.018543
monthly,2019-09,-0.015441
monthly,2019-10,0.013219
monthly,2019-11,-0.021291
monthly,2019-12,0.073496
monthly,2020-01,-0.041217
monthly,2020-02,0.010538
monthly,2020-03,-0.101125
monthly,2020-04,0.046082
monthly,2020-05,0.018816
monthly,2020-06,-0.009056
monthly,2020-07,0.101667
monthly,2020-08,0.024657
monthly,2020-09,-0.011568
monthly,2020-10,0.038373
monthly,2020-11,0.141291
monthly,2020-12,-0.071168
monthly,2021-01,-0.004143
monthly,2021-02,0.025540
monthly,2021-03,0.050125
monthly,2021-04,-0.002767
monthly,2021-05,0.016161
monthly,2021-06,-0.047825
monthly,2021-07,-0.075811
monthly,2021-08,0.103201
monthly,2021-09,0.083956
monthly,2021-10,-0.045719
monthly,2021-11,-0.060418
monthly,2021-12,0.088501
monthly,2022-01,0.004728
monthly,2022-02,0.033714
monthly,2022-03,0.035764
monthly,2022-04,-0.055945
monthly,2022-05,0.049186
monthly,2022-06,0.056463
monthly,2022-07,-0.104793
monthly,2022-08,0.012525
monthly,2022-09,-0.045136
monthly,2022-10,-0.113255
monthly,2022-11,0.151905
monthly,2022-12,0.005381
monthly,2023-01,0.071473
monthly,2023-02,-0.011297
monthly,2023-03,-0.022926
monthly,2023-04,-0.012667
monthly,2023-05,-0.048891
monthly,2023-06,0.046638
monthly,2023-07,0.044769
monthly,2023-08,-0.056625
monthly,2023-09,-0.001441
monthly,2023-10,-0.054821
monthly,2023-11,-0.002160
monthly,2023-12,-0.016281
monthly,2024-01,0.037694
monthly,2024-02,0.107493
monthly,2024-03,0.008068
monthly,2024-04,0.109087
monthly,2024-05,0.024515
monthly,2024-06,-0.047433
monthly,2024-07,-0.070151
monthly,2024-08,-0.024810
monthly,2024-09,0.188141
monthly,2024-10,-0.043510
monthly,2024-11,-0.032681
monthly,2024-12,0.006238
monthly,2025-01,0.037960
monthly,2025-02,-0.032707
monthly,2025-03,0.042441
monthly,2025-04,-0.054040
monthly,2025-05,0.073714
monthly,2025-06,0.027286
monthly,2025-07,0.044135
monthly,2025-08,0.009641
monthly,2025-09,0.009017
monthly,2025-10,0.037979
monthly,2025-11,0.010958
monthly,2025-12,0.013275
monthly,2026-01,-0.006252
monthly,2026-02,0.073472
monthly,2026-03,-0.034153
monthly,2026-04,0.092066
monthly,2026-05,-0.056358
monthly,2026-06,-0.152384
monthly,2026-07,0.099129
monthly,2026-08,0.000141
