period_type,period,return_pct
annual,2018,-0.082164
annual,2019,0.156204
annual,2020,0.036513
annual,2021,-0.109850
annual,2022,0.080043
annual,2023,-0.019282
annual,2024,0.211693
annual,2025,0.267077
annual,2026,-0.055409
monthly,2018-05,0.000499
monthly,2018-06,-0.005179
monthly,2018-07,-0.006113
monthly,2018-08,-0.019601
monthly,2018-09,-0.013181
monthly,2018-10,-0.009648
monthly,2018-11,-0.021317
monthly,2018-12,-0.002198
monthly,2019-01,0.004213
monthly,2019-02,0.120454
monthly,2019-03,0.025373
monthly,2019-04,-0.003152
monthly,2019-05,0.002182
monthly,2019-06,0.021313
monthly,2019-07,-0.019715
monthly,2019-08,-0.030970
monthly,2019-09,-0.004236
monthly,2019-10,0.001351
monthly,2019-11,-0.054734
monthly,2019-12,0.072002
monthly,2020-01,-0.028348
monthly,2020-02,0.001451
monthly,2020-03,-0.023808
monthly,2020-04,-0.000100
monthly,2020-05,-0.018584
monthly,2020-06,-0.002107
monthly,2020-07,0.100087
monthly,2020-08,0.054875
monthly,2020-09,-0.069858
monthly,2020-10,0.047417
monthly,2020-11,0.088711
monthly,2020-12,-0.132537
monthly,2021-01,0.029783
monthly,2021-02,-0.011428
monthly,2021-03,-0.032922
monthly,2021-04,-0.030273
monthly,2021-05,-0.011686
monthly,2021-06,-0.045859
monthly,2021-07,-0.008857
monthly,2021-08,0.087484
monthly,2021-09,0.109200
monthly,2021-10,-0.099972
monthly,2021-11,-0.038554
monthly,2021-12,0.005556
monthly,2022-01,-0.041486
monthly,2022-02,0.066022
monthly,2022-03,0.077859
monthly,2022-04,-0.004551
monthly,2022-05,0.089019
monthly,2022-06,-0.006207
monthly,2022-07,-0.077560
monthly,2022-08,-0.041021
monthly,2022-09,-0.004184
monthly,2022-10,-0.001358
monthly,2022-11,0.002735
monthly,2022-12,-0.007142
monthly,2023-01,0.049520
monthly,2023-02,0.002692
monthly,2023-03,0.032531
monthly,2023-04,-0.002168
monthly,2023-05,-0.049350
monthly,2023-06,0.004624
monthly,2023-07,0.020242
monthly,2023-08,-0.021127
monthly,2023-09,-0.006021
monthly,2023-10,-0.052473
monthly,2023-11,-0.006282
monthly,2023-12,-0.017983
monthly,2024-01,0.018007
monthly,2024-02,0.089582
monthly,2024-03,-0.007090
monthly,2024-04,0.098654
monthly,2024-05,-0.014895
monthly,2024-06,-0.037095
monthly,2024-07,-0.037249
monthly,2024-08,0.002101
monthly,2024-09,0.094633
monthly,2024-10,-0.054758
monthly,2024-11,-0.022588
monthly,2024-12,-0.023703
monthly,2025-01,0.033927
monthly,2025-02,-0.002025
monthly,2025-03,0.047093
monthly,2025-04,-0.076997
monthly,2025-05,0.018798
monthly,2025-06,0.021021
monthly,2025-07,0.026231
monthly,2025-08,0.039316
monthly,2025-09,0.036253
monthly,2025-10,-0.017995
monthly,2025-11,0.007524
monthly,2025-12,0.037402
monthly,2026-01,0.030923
monthly,2026-02,0.062187
monthly,2026-03,-0.092590
monthly,2026-04,0.062756
monthly,2026-05,-0.063455
monthly,2026-06,-0.020390
monthly,2026-07,0.009892
monthly,2026-08,-0.019633
