period_type,period,return_pct
annual,2010,0.104056
annual,2011,-0.097638
annual,2012,0.169551
annual,2013,-0.116582
annual,2014,0.457649
annual,2015,0.117822
annual,2016,0.198283
annual,2017,0.748642
annual,2018,-0.216642
annual,2019,0.628201
annual,2020,0.184722
annual,2021,0.295979
annual,2022,0.030735
annual,2023,-0.015676
annual,2024,0.375905
annual,2025,0.327751
annual,2026,0.083103
monthly,2010-05,-0.000888
monthly,2010-06,-0.000610
monthly,2010-07,0.002956
monthly,2010-08,0.044559
monthly,2010-09,-0.002890
monthly,2010-10,0.120064
monthly,2010-11,-0.097169
monthly,2010-12,-0.011762
monthly,2011-01,-0.033022
monthly,2011-02,0.108837
monthly,2011-03,0.040197
monthly,2011-04,-0.013003
monthly,2011-05,-0.045625
monthly,2011-06,0.039229
monthly,2011-07,-0.012152
monthly,2011-08,-0.044670
monthly,2011-09,-0.066403
monthly,2011-10,0.033133
monthly,2011-11,-0.088541
monthly,2011-12,-0.026193
monthly,2012-01,0.066950
monthly,2012-02,0.066668
monthly,2012-03,-0.063451
monthly,2012-04,0.042918
monthly,2012-05,0.006441
monthly,2012-06,-0.070649
monthly,2012-07,-0.057068
monthly,2012-08,-0.085252
monthly,2012-09,0.031629
monthly,2012-10,0.006964
monthly,2012-11,-0.049227
monthly,2012-12,0.218492
monthly,2013-01,0.048212
monthly,2013-02,-0.049785
monthly,2013-03,-0.073719
monthly,2013-04,-0.053086
monthly,2013-05,0.057607
monthly,2013-06,-0.110922
monthly,2013-07,-0.017436
monthly,2013-08,0.017246
monthly,2013-09,0.003679
monthly,2013-10,-0.000067
monthly,2013-11,0.033415
monthly,2013-12,0.003728
monthly,2014-01,-0.060919
monthly,2014-02,-0.017832
monthly,2014-03,-0.001359
monthly,2014-04,0.028296
monthly,2014-05,0.016952
monthly,2014-06,-0.002416
monthly,2014-07,0.125818
monthly,2014-08,-0.012531
monthly,2014-09,-0.006145
monthly,2014-10,0.008698
monthly,2014-11,0.077556
monthly,2014-12,0.228084
monthly,2015-01,-0.080257
monthly,2015-02,0.034917
monthly,2015-03,0.066591
monthly,2015-04,0.173480
monthly,2015-05,0.021116
monthly,2015-06,0.002765
monthly,2015-07,-0.113247
monthly,2015-08,-0.104347
monthly,2015-09,-0.016355
monthly,2015-10,0.028367
monthly,2015-11,-0.012051
monthly,2015-12,0.083908
monthly,2016-01,-0.105268
monthly,2016-02,0.003200
monthly,2016-03,0.092361
monthly,2016-04,0.038829
monthly,2016-05,0.003221
monthly,2016-06,0.013047
monthly,2016-07,0.064947
monthly,2016-08,0.042330
monthly,2016-09,0.011853
monthly,2016-10,0.001604
monthly,2016-11,0.083483
monthly,2016-12,-0.090307
monthly,2017-01,0.046436
monthly,2017-02,0.057022
monthly,2017-03,0.067647
monthly,2017-04,0.009789
monthly,2017-05,0.105910
monthly,2017-06,0.119303
monthly,2017-07,0.053548
monthly,2017-08,0.014122
monthly,2017-09,-0.017173
monthly,2017-10,0.052887
monthly,2017-11,0.080134
monthly,2017-12,0.017822
monthly,2018-01,0.136517
monthly,2018-02,-0.102424
monthly,2018-03,-0.048724
monthly,2018-04,0.001479
monthly,2018-05,-0.042480
monthly,2018-06,-0.013910
monthly,2018-07,0.008837
monthly,2018-08,-0.023075
monthly,2018-09,0.004927
monthly,2018-10,-0.035299
monthly,2018-11,-0.031357
monthly,2018-12,-0.091770
monthly,2019-01,0.126737
monthly,2019-02,0.151016
monthly,2019-03,0.039661
monthly,2019-04,-0.008533
monthly,2019-05,0.011797
monthly,2019-06,0.067517
monthly,2019-07,-0.018810
monthly,2019-08,-0.003713
monthly,2019-09,0.019077
monthly,2019-10,0.024155
monthly,2019-11,-0.041786
monthly,2019-12,0.064091
monthly,2020-01,-0.055813
monthly,2020-02,-0.003342
monthly,2020-03,-0.110874
monthly,2020-04,0.085372
monthly,2020-05,0.004141
monthly,2020-06,-0.016174
monthly,2020-07,0.074036
monthly,2020-08,0.094738
monthly,2020-09,-0.046294
monthly,2020-10,0.064968
monthly,2020-11,0.121276
monthly,2020-12,-0.063540
monthly,2021-01,0.058960
monthly,2021-02,0.016272
monthly,2021-03,0.059509
monthly,2021-04,-0.004327
monthly,2021-05,0.016619
monthly,2021-06,-0.043811
monthly,2021-07,-0.068292
monthly,2021-08,0.125544
monthly,2021-09,0.091927
monthly,2021-10,-0.053726
monthly,2021-11,-0.062626
monthly,2021-12,0.103158
monthly,2022-01,0.003045
monthly,2022-02,0.041108
monthly,2022-03,0.039639
monthly,2022-04,-0.060433
monthly,2022-05,0.042282
monthly,2022-06,0.039445
monthly,2022-07,-0.107436
monthly,2022-08,0.014812
monthly,2022-09,-0.048191
monthly,2022-10,-0.105744
monthly,2022-11,0.146932
monthly,2022-12,-0.000735
monthly,2023-01,0.072846
monthly,2023-02,-0.008841
monthly,2023-03,-0.023476
monthly,2023-04,-0.015162
monthly,2023-05,-0.044304
monthly,2023-06,0.041628
monthly,2023-07,0.043681
monthly,2023-08,-0.057352
monthly,2023-09,-0.001473
monthly,2023-10,-0.055187
monthly,2023-11,0.001655
monthly,2023-12,-0.018027
monthly,2024-01,0.024880
monthly,2024-02,0.112490
monthly,2024-03,0.010331
monthly,2024-04,0.098904
monthly,2024-05,-0.013841
monthly,2024-06,-0.035585
monthly,2024-07,-0.034966
monthly,2024-08,-0.017267
monthly,2024-09,0.202501
monthly,2024-10,-0.070426
monthly,2024-11,-0.018379
monthly,2024-12,-0.010900
monthly,2025-01,0.031659
monthly,2025-02,0.012384
monthly,2025-03,0.037292
monthly,2025-04,-0.062817
monthly,2025-05,0.051459
monthly,2025-06,0.028955
monthly,2025-07,0.048981
monthly,2025-08,0.009567
monthly,2025-09,0.006696
monthly,2025-10,0.032870
monthly,2025-11,0.013463
monthly,2025-12,0.000790
monthly,2026-01,-0.008474
