period_type,period,return_pct
annual,2014,0.550743
annual,2015,-0.016665
annual,2016,0.028192
annual,2017,0.621599
annual,2018,-0.203259
annual,2019,0.694350
annual,2020,0.393041
annual,2021,0.812983
annual,2022,0.157234
annual,2023,0.203115
annual,2024,0.170698
annual,2025,0.037947
annual,2026,0.017325
monthly,2014-01,0.013031
monthly,2014-02,-0.053305
monthly,2014-03,-0.052285
monthly,2014-04,-0.015657
monthly,2014-05,0.026970
monthly,2014-06,-0.000210
monthly,2014-07,0.118205
monthly,2014-08,0.015118
monthly,2014-09,0.056997
monthly,2014-10,0.002532
monthly,2014-11,0.086132
monthly,2014-12,0.220621
monthly,2015-01,-0.116255
monthly,2015-02,0.078804
monthly,2015-03,0.096784
monthly,2015-04,0.053209
monthly,2015-05,-0.033767
monthly,2015-06,-0.023641
monthly,2015-07,-0.118699
monthly,2015-08,-0.005364
monthly,2015-09,0.060041
monthly,2015-10,0.002874
monthly,2015-11,-0.031553
monthly,2015-12,0.049700
monthly,2016-01,-0.118142
monthly,2016-02,-0.009596
monthly,2016-03,0.034259
monthly,2016-04,0.019831
monthly,2016-05,0.007036
monthly,2016-06,-0.005292
monthly,2016-07,0.033097
monthly,2016-08,0.057343
monthly,2016-09,-0.026652
monthly,2016-10,0.016089
monthly,2016-11,0.032372
monthly,2016-12,-0.030172
monthly,2017-01,0.062556
monthly,2017-02,0.052432
monthly,2017-03,0.005519
monthly,2017-04,-0.018610
monthly,2017-05,0.114527
monthly,2017-06,0.096448
monthly,2017-07,0.079864
monthly,2017-08,0.008681
monthly,2017-09,-0.042960
monthly,2017-10,0.034138
monthly,2017-11,0.065306
monthly,2017-12,0.046942
monthly,2018-01,0.050306
monthly,2018-02,-0.019905
monthly,2018-03,-0.034634
monthly,2018-04,-0.006924
monthly,2018-05,-0.011179
monthly,2018-06,-0.002333
monthly,2018-07,0.009438
monthly,2018-08,-0.015179
monthly,2018-09,-0.008371
monthly,2018-10,-0.086270
monthly,2018-11,-0.026806
monthly,2018-12,-0.045926
monthly,2019-01,-0.012744
monthly,2019-02,0.164571
monthly,2019-03,0.127027
monthly,2019-04,0.016655
monthly,2019-05,0.005271
monthly,2019-06,0.059454
monthly,2019-07,0.007159
monthly,2019-08,-0.065788
monthly,2019-09,0.023025
monthly,2019-10,0.020083
monthly,2019-11,-0.009513
monthly,2019-12,0.140757
monthly,2020-01,-0.074896
monthly,2020-02,0.128075
monthly,2020-03,-0.126222
monthly,2020-04,0.063986
monthly,2020-05,0.089737
monthly,2020-06,0.024274
monthly,2020-07,0.152106
monthly,2020-08,0.023810
monthly,2020-09,-0.023811
monthly,2020-10,0.010823
monthly,2020-11,0.105113
monthly,2020-12,-0.089631
monthly,2021-01,-0.044524
monthly,2021-02,0.055319
monthly,2021-03,0.016017
monthly,2021-04,0.009573
monthly,2021-05,-0.006315
monthly,2021-06,-0.019524
monthly,2021-07,0.027518
monthly,2021-08,0.754699
monthly,2021-09,0.083457
monthly,2021-10,-0.125331
monthly,2021-11,-0.046962
monthly,2021-12,0.086240
monthly,2022-01,-0.000220
monthly,2022-02,0.086530
monthly,2022-03,0.087925
monthly,2022-04,-0.032730
monthly,2022-05,0.089557
monthly,2022-06,0.050899
monthly,2022-07,-0.029022
monthly,2022-08,-0.019803
monthly,2022-09,-0.091056
monthly,2022-10,0.018286
monthly,2022-11,0.009445
monthly,2022-12,-0.071641
monthly,2023-01,0.058300
monthly,2023-02,0.006668
monthly,2023-03,-0.015351
monthly,2023-04,-0.001160
monthly,2023-05,-0.032802
monthly,2023-06,0.030712
monthly,2023-07,0.027290
monthly,2023-08,-0.038697
monthly,2023-09,0.024520
monthly,2023-10,0.005740
monthly,2023-11,0.054000
monthly,2023-12,-0.007720
monthly,2024-01,0.012351
monthly,2024-02,0.131951
monthly,2024-03,0.013449
monthly,2024-04,0.054976
monthly,2024-05,0.010234
monthly,2024-06,-0.056293
monthly,2024-07,-0.079511
monthly,2024-08,-0.067972
monthly,2024-09,0.144932
monthly,2024-10,-0.081919
monthly,2024-11,-0.016004
monthly,2024-12,-0.001400
monthly,2025-01,0.010640
monthly,2025-02,0.004629
monthly,2025-03,0.032898
monthly,2025-04,-0.062323
monthly,2025-05,0.048008
monthly,2025-06,0.019916
monthly,2025-07,0.012514
monthly,2025-08,-0.022605
monthly,2025-09,-0.039916
monthly,2025-10,0.020507
monthly,2025-11,0.016229
monthly,2025-12,-0.020613
monthly,2026-01,-0.013461
monthly,2026-02,0.004756
monthly,2026-03,-0.004226
monthly,2026-04,0.018808
monthly,2026-05,-0.022207
monthly,2026-06,-0.056950
monthly,2026-07,0.121477
monthly,2026-08,-0.029299
