period_type,period,return_pct
annual,2016,0.109526
annual,2017,0.474797
annual,2018,-0.152287
annual,2019,0.489367
annual,2020,0.430723
annual,2021,0.489767
annual,2022,0.786110
annual,2023,0.104413
annual,2024,0.272391
annual,2025,0.061298
annual,2026,-0.001049
monthly,2016-01,0.003173
monthly,2016-02,0.017992
monthly,2016-03,-0.015798
monthly,2016-04,-0.047158
monthly,2016-05,-0.014407
monthly,2016-06,0.025050
monthly,2016-07,0.045957
monthly,2016-08,0.051784
monthly,2016-09,-0.027042
monthly,2016-10,0.043010
monthly,2016-11,0.036523
monthly,2016-12,-0.040902
monthly,2017-01,0.038616
monthly,2017-02,0.068975
monthly,2017-03,0.003485
monthly,2017-04,-0.036207
monthly,2017-05,0.069040
monthly,2017-06,0.083320
monthly,2017-07,0.062374
monthly,2017-08,-0.010228
monthly,2017-09,-0.020533
monthly,2017-10,0.041036
monthly,2017-11,0.066260
monthly,2017-12,0.054338
monthly,2018-01,0.080078
monthly,2018-02,-0.066907
monthly,2018-03,-0.054332
monthly,2018-04,0.009586
monthly,2018-05,-0.011124
monthly,2018-06,-0.034148
monthly,2018-07,0.074669
monthly,2018-08,-0.006583
monthly,2018-09,0.018854
monthly,2018-10,-0.059366
monthly,2018-11,-0.009027
monthly,2018-12,-0.044404
monthly,2019-01,-0.001045
monthly,2019-02,0.164606
monthly,2019-03,0.091266
monthly,2019-04,-0.020990
monthly,2019-05,0.004233
monthly,2019-06,0.035365
monthly,2019-07,0.029910
monthly,2019-08,-0.076578
monthly,2019-09,-0.015469
monthly,2019-10,0.000535
monthly,2019-11,-0.013137
monthly,2019-12,0.145959
monthly,2020-01,-0.081523
monthly,2020-02,0.123561
monthly,2020-03,-0.128468
monthly,2020-04,0.079190
monthly,2020-05,0.012160
monthly,2020-06,0.025047
monthly,2020-07,0.179067
monthly,2020-08,0.051186
monthly,2020-09,-0.006549
monthly,2020-10,0.010924
monthly,2020-11,0.088893
monthly,2020-12,-0.096163
monthly,2021-01,0.018648
monthly,2021-02,0.058873
monthly,2021-03,-0.006251
monthly,2021-04,0.002743
monthly,2021-05,-0.008946
monthly,2021-06,-0.023011
monthly,2021-07,0.028678
monthly,2021-08,0.322346
monthly,2021-09,0.110006
monthly,2021-10,-0.129095
monthly,2021-11,-0.057697
monthly,2021-12,0.090229
monthly,2022-01,0.020826
monthly,2022-02,0.050498
monthly,2022-03,0.115110
monthly,2022-04,0.044686
monthly,2022-05,0.123394
monthly,2022-06,0.093596
monthly,2022-07,-0.046976
monthly,2022-08,0.081310
monthly,2022-09,0.010855
monthly,2022-10,0.021925
monthly,2022-11,-0.001562
monthly,2022-12,-0.038471
monthly,2023-01,0.070269
monthly,2023-02,-0.016689
monthly,2023-03,-0.024162
monthly,2023-04,0.001140
monthly,2023-05,-0.052881
monthly,2023-06,0.067212
monthly,2023-07,0.017495
monthly,2023-08,-0.033540
monthly,2023-09,0.030854
monthly,2023-10,-0.013641
monthly,2023-11,0.015094
monthly,2023-12,-0.008509
monthly,2024-01,0.034335
monthly,2024-02,0.121432
monthly,2024-03,0.027720
monthly,2024-04,0.072316
monthly,2024-05,0.018462
monthly,2024-06,-0.058931
monthly,2024-07,-0.089094
monthly,2024-08,-0.056628
monthly,2024-09,0.157293
monthly,2024-10,-0.063135
monthly,2024-11,-0.011391
monthly,2024-12,0.002295
monthly,2025-01,0.007795
monthly,2025-02,0.013359
monthly,2025-03,0.032859
monthly,2025-04,-0.055024
monthly,2025-05,0.042496
monthly,2025-06,0.020722
monthly,2025-07,0.015329
monthly,2025-08,-0.017342
monthly,2025-09,-0.033815
monthly,2025-10,0.016384
monthly,2025-11,0.019003
monthly,2025-12,-0.019273
monthly,2026-01,-0.024287
monthly,2026-02,0.007658
monthly,2026-03,0.000461
monthly,2026-04,0.013354
monthly,2026-05,-0.022616
monthly,2026-06,-0.057054
monthly,2026-07,0.121008
monthly,2026-08,-0.029745
