period_type,period,return_pct
annual,2018,-0.168979
annual,2019,0.752545
annual,2020,0.061675
annual,2021,1.115666
annual,2022,-0.100774
annual,2023,0.135158
annual,2024,0.168175
annual,2025,0.076145
annual,2026,0.006584
monthly,2018-01,0.008973
monthly,2018-02,-0.021639
monthly,2018-03,-0.023606
monthly,2018-04,-0.007063
monthly,2018-05,-0.047365
monthly,2018-06,-0.003621
monthly,2018-07,0.003732
monthly,2018-08,-0.006833
monthly,2018-09,-0.009423
monthly,2018-10,-0.026670
monthly,2018-11,-0.023924
monthly,2018-12,-0.029006
monthly,2019-01,0.041844
monthly,2019-02,0.139366
monthly,2019-03,0.087087
monthly,2019-04,0.075710
monthly,2019-05,0.035672
monthly,2019-06,0.089073
monthly,2019-07,0.020570
monthly,2019-08,-0.053475
monthly,2019-09,0.008499
monthly,2019-10,-0.007044
monthly,2019-11,-0.008567
monthly,2019-12,0.071593
monthly,2020-01,-0.103221
monthly,2020-02,0.058921
monthly,2020-03,-0.086028
monthly,2020-04,-0.020798
monthly,2020-05,-0.015647
monthly,2020-06,0.009348
monthly,2020-07,0.135649
monthly,2020-08,0.003504
monthly,2020-09,-0.002198
monthly,2020-10,0.007241
monthly,2020-11,0.089739
monthly,2020-12,-0.080558
monthly,2021-01,-0.036888
monthly,2021-02,0.053231
monthly,2021-03,0.017544
monthly,2021-04,0.000132
monthly,2021-05,-0.016818
monthly,2021-06,-0.028678
monthly,2021-07,-0.003653
monthly,2021-08,1.060442
monthly,2021-09,0.037156
monthly,2021-10,-0.073446
monthly,2021-11,0.005403
monthly,2021-12,0.087792
monthly,2022-01,-0.025906
monthly,2022-02,0.056577
monthly,2022-03,0.030537
monthly,2022-04,-0.087431
monthly,2022-05,0.064211
monthly,2022-06,0.010911
monthly,2022-07,-0.051781
monthly,2022-08,-0.009458
monthly,2022-09,-0.083806
monthly,2022-10,0.000947
monthly,2022-11,0.026385
monthly,2022-12,-0.072430
monthly,2023-01,0.044541
monthly,2023-02,-0.003322
monthly,2023-03,-0.024182
monthly,2023-04,-0.009645
monthly,2023-05,-0.022530
monthly,2023-06,0.025082
monthly,2023-07,0.028148
monthly,2023-08,-0.042136
monthly,2023-09,0.021444
monthly,2023-10,-0.004686
monthly,2023-11,0.059138
monthly,2023-12,-0.015812
monthly,2024-01,0.013607
monthly,2024-02,0.123623
monthly,2024-03,0.010102
monthly,2024-04,0.037895
monthly,2024-05,0.001587
monthly,2024-06,-0.052669
monthly,2024-07,-0.068976
monthly,2024-08,-0.047969
monthly,2024-09,0.127394
monthly,2024-10,-0.077917
monthly,2024-11,0.006107
monthly,2024-12,-0.008915
monthly,2025-01,0.012893
monthly,2025-02,0.011326
monthly,2025-03,0.033733
monthly,2025-04,-0.061481
monthly,2025-05,0.042902
monthly,2025-06,0.030663
monthly,2025-07,0.016541
monthly,2025-08,-0.014639
monthly,2025-09,-0.034918
monthly,2025-10,0.017273
monthly,2025-11,0.018498
monthly,2025-12,-0.016051
monthly,2026-01,-0.014627
monthly,2026-02,0.011608
monthly,2026-03,-0.006272
monthly,2026-04,0.016054
monthly,2026-05,-0.026981
monthly,2026-06,-0.056467
monthly,2026-07,0.120527
monthly,2026-08,-0.029114
