period_type,period,return_pct
annual,2010,-0.002684
annual,2011,-0.006430
annual,2012,0.022656
annual,2013,0.020506
annual,2014,0.163247
annual,2015,0.107408
annual,2016,0.069125
annual,2017,0.188696
annual,2018,-0.029508
annual,2019,0.077601
annual,2020,0.054799
annual,2021,-0.055578
annual,2022,0.028084
annual,2023,-0.003861
annual,2024,0.089287
annual,2025,0.288011
annual,2026,-0.008884
monthly,2010-05,-0.000351
monthly,2010-06,0.000000
monthly,2010-07,0.001934
monthly,2010-08,0.030014
monthly,2010-09,-0.004330
monthly,2010-10,-0.006900
monthly,2010-11,-0.041325
monthly,2010-12,-0.001071
monthly,2011-01,0.000000
monthly,2011-02,0.000000
monthly,2011-03,0.003913
monthly,2011-04,-0.000642
monthly,2011-05,-0.009026
monthly,2011-06,0.000000
monthly,2011-07,0.003568
monthly,2011-08,-0.001357
monthly,2011-09,-0.001478
monthly,2011-10,0.000000
monthly,2011-11,-0.001557
monthly,2011-12,-0.000246
monthly,2012-01,0.000008
monthly,2012-02,0.009649
monthly,2012-03,-0.042741
monthly,2012-04,-0.000673
monthly,2012-05,-0.002714
monthly,2012-06,-0.026340
monthly,2012-07,-0.000500
monthly,2012-08,0.000000
monthly,2012-09,-0.002161
monthly,2012-10,0.000953
monthly,2012-11,-0.016881
monthly,2012-12,0.083219
monthly,2013-01,0.043015
monthly,2013-02,-0.045753
monthly,2013-03,-0.054662
monthly,2013-04,-0.011528
monthly,2013-05,0.005836
monthly,2013-06,-0.008667
monthly,2013-07,0.000000
monthly,2013-08,0.004868
monthly,2013-09,0.072529
monthly,2013-10,-0.021808
monthly,2013-11,0.011162
monthly,2013-12,0.010538
monthly,2014-01,-0.023086
monthly,2014-02,-0.004405
monthly,2014-03,-0.012157
monthly,2014-04,0.009464
monthly,2014-05,-0.019898
monthly,2014-06,-0.000549
monthly,2014-07,0.022642
monthly,2014-08,-0.008758
monthly,2014-09,0.005947
monthly,2014-10,0.000636
monthly,2014-11,0.054176
monthly,2014-12,0.108700
monthly,2015-01,-0.025586
monthly,2015-02,-0.017953
monthly,2015-03,0.051575
monthly,2015-04,0.082943
monthly,2015-05,0.025344
monthly,2015-06,-0.010424
monthly,2015-07,-0.098239
monthly,2015-08,0.000000
monthly,2015-09,0.000000
monthly,2015-10,-0.000975
monthly,2015-11,-0.013363
monthly,2015-12,0.043555
monthly,2016-01,-0.030569
monthly,2016-02,0.000000
monthly,2016-03,0.006755
monthly,2016-04,0.006217
monthly,2016-05,-0.018020
monthly,2016-06,0.042228
monthly,2016-07,0.089576
monthly,2016-08,0.026681
monthly,2016-09,-0.027090
monthly,2016-10,0.001394
monthly,2016-11,0.041832
monthly,2016-12,-0.081990
monthly,2017-01,-0.012551
monthly,2017-02,0.014111
monthly,2017-03,0.049837
monthly,2017-04,0.010807
monthly,2017-05,0.041170
monthly,2017-06,0.070495
monthly,2017-07,0.008572
monthly,2017-08,0.001698
monthly,2017-09,-0.018638
monthly,2017-10,0.003799
monthly,2017-11,0.020377
monthly,2017-12,0.004227
monthly,2018-01,0.067456
monthly,2018-02,-0.043295
monthly,2018-03,-0.022929
monthly,2018-04,0.000000
monthly,2018-05,0.000499
monthly,2018-06,-0.000804
monthly,2018-07,-0.003506
monthly,2018-08,-0.008584
monthly,2018-09,0.008355
monthly,2018-10,-0.008424
monthly,2018-11,-0.016284
monthly,2018-12,-0.004708
monthly,2019-01,0.004686
monthly,2019-02,0.051785
monthly,2019-03,0.022176
monthly,2019-04,-0.008086
monthly,2019-05,0.001105
monthly,2019-06,-0.009388
monthly,2019-07,-0.007112
monthly,2019-08,0.004999
monthly,2019-09,-0.015854
monthly,2019-10,-0.000300
monthly,2019-11,-0.050989
monthly,2019-12,0.047997
monthly,2020-01,-0.064357
monthly,2020-02,-0.000946
monthly,2020-03,-0.003681
monthly,2020-04,0.000073
monthly,2020-05,-0.000901
monthly,2020-06,0.004885
monthly,2020-07,0.034871
monthly,2020-08,0.073416
monthly,2020-09,-0.011737
monthly,2020-10,0.038242
monthly,2020-11,0.062015
monthly,2020-12,-0.076591
monthly,2021-01,-0.006106
monthly,2021-02,-0.000428
monthly,2021-03,-0.004108
monthly,2021-04,-0.004423
monthly,2021-05,-0.004743
monthly,2021-06,-0.012018
monthly,2021-07,0.000000
monthly,2021-08,0.006509
monthly,2021-09,0.008176
monthly,2021-10,-0.022642
monthly,2021-11,-0.005526
monthly,2021-12,-0.009983
monthly,2022-01,-0.008502
monthly,2022-02,0.007497
monthly,2022-03,0.031508
monthly,2022-04,0.007738
monthly,2022-05,0.036689
monthly,2022-06,-0.027523
monthly,2022-07,-0.016486
monthly,2022-08,-0.005243
monthly,2022-09,-0.000468
monthly,2022-10,-0.000439
monthly,2022-11,-0.000117
monthly,2022-12,-0.003674
monthly,2023-01,0.048516
monthly,2023-02,-0.017617
monthly,2023-03,0.027840
monthly,2023-04,0.001441
monthly,2023-05,-0.043813
monthly,2023-06,0.000422
monthly,2023-07,0.002806
monthly,2023-08,-0.006343
monthly,2023-09,0.002683
monthly,2023-10,-0.012968
monthly,2023-11,0.002785
monthly,2023-12,-0.011771
monthly,2024-01,-0.018762
monthly,2024-02,0.046950
monthly,2024-03,0.029209
monthly,2024-04,0.081691
monthly,2024-05,-0.019000
monthly,2024-06,-0.031714
monthly,2024-07,-0.014755
monthly,2024-08,-0.000145
monthly,2024-09,0.008867
monthly,2024-10,-0.016174
monthly,2024-11,0.013607
monthly,2024-12,-0.046247
monthly,2025-01,0.001424
monthly,2025-02,0.008522
monthly,2025-03,0.006615
monthly,2025-04,-0.062137
monthly,2025-05,-0.001505
monthly,2025-06,0.012374
monthly,2025-07,0.038060
monthly,2025-08,0.104884
monthly,2025-09,0.101548
monthly,2025-10,-0.001151
monthly,2025-11,-0.033505
monthly,2025-12,0.012368
monthly,2026-01,0.074006
monthly,2026-02,0.074635
monthly,2026-03,-0.087354
monthly,2026-04,-0.005580
monthly,2026-05,-0.016562
monthly,2026-06,-0.001750
monthly,2026-07,0.001745
monthly,2026-08,-0.004748
