period_type,period,return_pct
annual,2012,-0.077108
annual,2013,0.258477
annual,2014,0.884408
annual,2015,0.014922
annual,2016,0.041209
annual,2017,0.596929
annual,2018,-0.136696
annual,2019,0.554408
annual,2020,0.323752
annual,2021,0.748133
annual,2022,0.151897
annual,2023,0.143741
annual,2024,0.292671
annual,2025,0.076039
annual,2026,0.012976
monthly,2012-01,-0.000446
monthly,2012-02,0.007643
monthly,2012-03,-0.061598
monthly,2012-04,0.008755
monthly,2012-05,-0.016763
monthly,2012-06,-0.061446
monthly,2012-07,-0.025841
monthly,2012-08,-0.040730
monthly,2012-09,-0.017218
monthly,2012-10,0.029058
monthly,2012-11,-0.050432
monthly,2012-12,0.128074
monthly,2013-01,0.036124
monthly,2013-02,0.007809
monthly,2013-03,-0.091937
monthly,2013-04,0.009402
monthly,2013-05,0.143454
monthly,2013-06,-0.026233
monthly,2013-07,0.081542
monthly,2013-08,-0.048176
monthly,2013-09,0.128486
monthly,2013-10,-0.129827
monthly,2013-11,0.063082
monthly,2013-12,0.033959
monthly,2014-01,0.085165
monthly,2014-02,-0.086302
monthly,2014-03,-0.000141
monthly,2014-04,0.017086
monthly,2014-05,0.040484
monthly,2014-06,-0.006379
monthly,2014-07,0.110928
monthly,2014-08,0.024945
monthly,2014-09,0.044146
monthly,2014-10,-0.004754
monthly,2014-11,0.100005
monthly,2014-12,0.228259
monthly,2015-01,-0.117194
monthly,2015-02,0.083255
monthly,2015-03,0.106382
monthly,2015-04,0.036250
monthly,2015-05,-0.026640
monthly,2015-06,-0.023576
monthly,2015-07,-0.125946
monthly,2015-08,0.018665
monthly,2015-09,0.063752
monthly,2015-10,0.002371
monthly,2015-11,-0.019193
monthly,2015-12,0.049689
monthly,2016-01,-0.109894
monthly,2016-02,-0.003048
monthly,2016-03,0.028425
monthly,2016-04,0.017665
monthly,2016-05,0.007181
monthly,2016-06,-0.004272
monthly,2016-07,0.040893
monthly,2016-08,0.050256
monthly,2016-09,-0.014753
monthly,2016-10,0.014699
monthly,2016-11,0.035016
monthly,2016-12,-0.035120
monthly,2017-01,0.059462
monthly,2017-02,0.069451
monthly,2017-03,0.008121
monthly,2017-04,-0.027546
monthly,2017-05,0.094440
monthly,2017-06,0.094916
monthly,2017-07,0.063212
monthly,2017-08,0.001529
monthly,2017-09,-0.031753
monthly,2017-10,0.030994
monthly,2017-11,0.059686
monthly,2017-12,0.060437
monthly,2018-01,0.096625
monthly,2018-02,-0.016554
monthly,2018-03,-0.033777
monthly,2018-04,0.004251
monthly,2018-05,-0.002191
monthly,2018-06,-0.004343
monthly,2018-07,0.010298
monthly,2018-08,-0.014103
monthly,2018-09,-0.019706
monthly,2018-10,-0.073860
monthly,2018-11,-0.032059
monthly,2018-12,-0.035957
monthly,2019-01,-0.014625
monthly,2019-02,0.165144
monthly,2019-03,0.107251
monthly,2019-04,-0.006766
monthly,2019-05,0.005971
monthly,2019-06,0.061150
monthly,2019-07,0.014240
monthly,2019-08,-0.073137
monthly,2019-09,-0.001111
monthly,2019-10,0.001831
monthly,2019-11,-0.002005
monthly,2019-12,0.138922
monthly,2020-01,-0.086693
monthly,2020-02,0.116299
monthly,2020-03,-0.118503
monthly,2020-04,0.062025
monthly,2020-05,0.063556
monthly,2020-06,0.025907
monthly,2020-07,0.164006
monthly,2020-08,0.000063
monthly,2020-09,-0.033777
monthly,2020-10,-0.002690
monthly,2020-11,0.104989
monthly,2020-12,-0.089418
monthly,2021-01,-0.039404
monthly,2021-02,0.053227
monthly,2021-03,0.013407
monthly,2021-04,0.007926
monthly,2021-05,-0.005603
monthly,2021-06,-0.019447
monthly,2021-07,0.025745
monthly,2021-08,0.704637
monthly,2021-09,0.079380
monthly,2021-10,-0.125078
monthly,2021-11,-0.042193
monthly,2021-12,0.082154
monthly,2022-01,-0.006975
monthly,2022-02,0.081381
monthly,2022-03,0.061263
monthly,2022-04,-0.039962
monthly,2022-05,0.090281
monthly,2022-06,0.051142
monthly,2022-07,-0.010559
monthly,2022-08,-0.028652
monthly,2022-09,-0.091590
monthly,2022-10,0.038086
monthly,2022-11,0.009051
monthly,2022-12,-0.067653
monthly,2023-01,0.061816
monthly,2023-02,-0.016821
monthly,2023-03,-0.033459
monthly,2023-04,0.000458
monthly,2023-05,-0.030758
monthly,2023-06,0.030305
monthly,2023-07,0.025218
monthly,2023-08,-0.041360
monthly,2023-09,0.026099
monthly,2023-10,0.002397
monthly,2023-11,0.050005
monthly,2023-12,-0.008780
monthly,2024-01,0.020979
monthly,2024-02,0.123202
monthly,2024-03,0.011276
monthly,2024-04,0.121340
monthly,2024-05,0.004742
monthly,2024-06,-0.053475
monthly,2024-07,-0.073573
monthly,2024-08,-0.060310
monthly,2024-09,0.169191
monthly,2024-10,-0.082505
monthly,2024-11,-0.006059
monthly,2024-12,-0.002505
monthly,2025-01,0.015021
monthly,2025-02,0.008308
monthly,2025-03,0.033620
monthly,2025-04,-0.057340
monthly,2025-05,0.042325
monthly,2025-06,0.030238
monthly,2025-07,0.021337
monthly,2025-08,-0.018101
monthly,2025-09,-0.037328
monthly,2025-10,0.018123
monthly,2025-11,0.018852
monthly,2025-12,-0.016509
monthly,2026-01,-0.011266
monthly,2026-02,0.010077
monthly,2026-03,-0.008294
monthly,2026-04,0.019413
monthly,2026-05,-0.025188
monthly,2026-06,-0.056472
monthly,2026-07,0.119897
monthly,2026-08,-0.029192
