period_type,period,return_pct
annual,2002,0.000000
annual,2003,-0.001383
annual,2004,0.032057
annual,2005,0.157247
annual,2006,1.112180
annual,2007,0.694436
annual,2008,0.006155
annual,2009,1.112459
annual,2010,0.280326
annual,2011,-0.212620
annual,2012,-0.129308
annual,2013,0.349236
annual,2014,0.514157
annual,2015,0.233823
annual,2016,0.147752
annual,2017,0.719133
annual,2018,-0.111350
annual,2019,0.533600
annual,2020,0.347510
annual,2021,0.199415
annual,2022,0.013088
annual,2023,0.135656
annual,2024,0.206781
annual,2025,0.111209
annual,2026,-0.016658
monthly,2002-02,0.000000
monthly,2002-03,0.000000
monthly,2002-04,0.000000
monthly,2002-05,0.000000
monthly,2002-06,0.000000
monthly,2002-07,0.000000
monthly,2002-08,0.000000
monthly,2002-09,0.000000
monthly,2002-10,0.000000
monthly,2002-11,0.000000
monthly,2002-12,0.000000
monthly,2003-01,0.000000
monthly,2003-02,0.000000
monthly,2003-03,-0.000343
monthly,2003-04,-0.002682
monthly,2003-05,0.014460
monthly,2003-06,-0.014145
monthly,2003-07,0.015875
monthly,2003-08,-0.006961
monthly,2003-09,-0.007872
monthly,2003-10,-0.000415
monthly,2003-11,-0.017313
monthly,2003-12,0.005498
monthly,2004-01,0.065885
monthly,2004-02,0.015144
monthly,2004-03,0.017441
monthly,2004-04,0.015294
monthly,2004-05,-0.000663
monthly,2004-06,-0.035877
monthly,2004-07,0.000000
monthly,2004-08,-0.004153
monthly,2004-09,0.031463
monthly,2004-10,-0.042918
monthly,2004-11,-0.022919
monthly,2004-12,-0.022717
monthly,2005-01,0.024098
monthly,2005-02,0.028540
monthly,2005-03,0.000402
monthly,2005-04,0.021270
monthly,2005-05,-0.017572
monthly,2005-06,0.020384
monthly,2005-07,0.011945
monthly,2005-08,0.007591
monthly,2005-09,0.063857
monthly,2005-10,0.024190
monthly,2005-11,-0.048402
monthly,2005-12,-0.011992
monthly,2006-01,0.059835
monthly,2006-02,-0.037828
monthly,2006-03,0.026160
monthly,2006-04,0.133289
monthly,2006-05,0.120308
monthly,2006-06,0.056367
monthly,2006-07,-0.078542
monthly,2006-08,0.012407
monthly,2006-09,0.078382
monthly,2006-10,0.007885
monthly,2006-11,0.114062
monthly,2006-12,0.143591
monthly,2007-01,0.244444
monthly,2007-02,0.086196
monthly,2007-03,0.160363
monthly,2007-04,0.041789
monthly,2007-05,0.052049
monthly,2007-06,-0.024865
monthly,2007-07,0.009966
monthly,2007-08,0.005922
monthly,2007-09,0.001534
monthly,2007-10,-0.003361
monthly,2007-11,-0.000794
monthly,2007-12,0.003871
monthly,2008-01,-0.003063
monthly,2008-02,0.003621
monthly,2008-03,0.000099
monthly,2008-04,-0.000347
monthly,2008-05,-0.002915
monthly,2008-06,-0.006391
monthly,2008-07,0.001696
monthly,2008-08,-0.005230
monthly,2008-09,-0.001903
monthly,2008-10,-0.003212
monthly,2008-11,-0.008770
monthly,2008-12,0.021983
monthly,2009-01,0.047403
monthly,2009-02,0.016299
monthly,2009-03,0.153100
monthly,2009-04,0.075490
monthly,2009-05,0.011214
monthly,2009-06,0.007269
monthly,2009-07,0.182178
monthly,2009-08,-0.222925
monthly,2009-09,0.071812
monthly,2009-10,0.072947
