period_type,period,return_pct
annual,2010,0.438229
annual,2011,-0.062629
annual,2012,0.312161
annual,2013,0.017711
annual,2014,0.514733
annual,2015,0.112458
annual,2016,0.073145
annual,2017,0.702671
annual,2018,-0.380213
annual,2019,0.767627
annual,2020,0.241509
annual,2021,0.336777
annual,2022,0.136726
annual,2023,-0.127198
annual,2024,0.272724
annual,2025,0.275281
annual,2026,0.121899
monthly,2010-05,-0.003552
monthly,2010-06,-0.002448
monthly,2010-07,0.011851
monthly,2010-08,0.158606
monthly,2010-09,-0.020440
monthly,2010-10,0.311891
monthly,2010-11,-0.107105
monthly,2010-12,-0.008286
monthly,2011-01,-0.025415
monthly,2011-02,0.115004
monthly,2011-03,0.101621
monthly,2011-04,-0.009077
monthly,2011-05,-0.036260
monthly,2011-06,0.021753
monthly,2011-07,-0.009142
monthly,2011-08,-0.058972
monthly,2011-09,-0.080784
monthly,2011-10,0.053142
monthly,2011-11,-0.105665
monthly,2011-12,-0.014816
monthly,2012-01,0.060914
monthly,2012-02,0.054475
monthly,2012-03,-0.089519
monthly,2012-04,0.057629
monthly,2012-05,0.042685
monthly,2012-06,-0.057214
monthly,2012-07,-0.043946
monthly,2012-08,-0.029702
monthly,2012-09,-0.000798
monthly,2012-10,0.011590
monthly,2012-11,-0.024030
monthly,2012-12,0.260155
monthly,2013-01,0.050941
monthly,2013-02,-0.050539
monthly,2013-03,-0.039742
monthly,2013-04,-0.014351
monthly,2013-05,0.137932
monthly,2013-06,-0.050821
monthly,2013-07,-0.064460
monthly,2013-08,0.007661
monthly,2013-09,0.005273
monthly,2013-10,-0.020477
monthly,2013-11,0.046601
monthly,2013-12,-0.012719
monthly,2014-01,-0.075268
monthly,2014-02,-0.038065
monthly,2014-03,-0.010795
monthly,2014-04,-0.001132
monthly,2014-05,0.025529
monthly,2014-06,-0.012859
monthly,2014-07,0.146756
monthly,2014-08,-0.000119
monthly,2014-09,0.010091
monthly,2014-10,0.015608
monthly,2014-11,0.108885
monthly,2014-12,0.273186
monthly,2015-01,-0.118145
monthly,2015-02,0.055527
monthly,2015-03,0.070933
monthly,2015-04,0.150203
monthly,2015-05,-0.009751
monthly,2015-06,0.006633
monthly,2015-07,-0.048991
monthly,2015-08,-0.063556
monthly,2015-09,0.030668
monthly,2015-10,0.009390
monthly,2015-11,-0.031758
monthly,2015-12,0.052955
monthly,2016-01,-0.126076
monthly,2016-02,-0.004239
monthly,2016-03,0.100279
monthly,2016-04,0.073488
monthly,2016-05,0.011208
monthly,2016-06,-0.016177
monthly,2016-07,0.015463
monthly,2016-08,0.074282
monthly,2016-09,-0.028362
monthly,2016-10,-0.012206
monthly,2016-11,0.027308
monthly,2016-12,-0.048915
monthly,2017-01,0.058308
monthly,2017-02,0.035807
monthly,2017-03,0.009681
monthly,2017-04,0.003566
monthly,2017-05,0.165443
monthly,2017-06,0.094746
monthly,2017-07,0.079989
monthly,2017-08,0.021924
monthly,2017-09,-0.036093
monthly,2017-10,0.046278
monthly,2017-11,0.085550
monthly,2017-12,0.014181
monthly,2018-01,0.143189
monthly,2018-02,-0.115360
monthly,2018-03,-0.044712
monthly,2018-04,0.008294
monthly,2018-05,-0.040809
monthly,2018-06,-0.026303
monthly,2018-07,-0.021442
monthly,2018-08,-0.083775
monthly,2018-09,-0.029821
monthly,2018-10,-0.120529
monthly,2018-11,-0.011440
monthly,2018-12,-0.097936
monthly,2019-01,0.152022
monthly,2019-02,0.186469
monthly,2019-03,0.047822
monthly,2019-04,0.009979
monthly,2019-05,-0.030761
monthly,2019-06,0.088763
monthly,2019-07,-0.013138
monthly,2019-08,0.021047
monthly,2019-09,-0.008538
monthly,2019-10,0.039074
monthly,2019-11,-0.050573
monthly,2019-12,0.078784
monthly,2020-01,-0.041892
monthly,2020-02,0.018639
monthly,2020-03,-0.125659
monthly,2020-04,0.064127
monthly,2020-05,-0.001230
monthly,2020-06,0.009211
monthly,2020-07,0.122208
monthly,2020-08,0.073927
monthly,2020-09,-0.020231
monthly,2020-10,0.030311
monthly,2020-11,0.141158
monthly,2020-12,-0.071817
monthly,2021-01,-0.004130
monthly,2021-02,0.032637
monthly,2021-03,0.067950
monthly,2021-04,-0.006661
monthly,2021-05,0.016640
monthly,2021-06,-0.035191
monthly,2021-07,-0.055552
monthly,2021-08,0.159582
monthly,2021-09,0.111828
monthly,2021-10,-0.065471
monthly,2021-11,-0.039925
monthly,2021-12,0.114140
monthly,2022-01,-0.002568
monthly,2022-02,0.047819
monthly,2022-03,0.071115
monthly,2022-04,-0.026190
monthly,2022-05,0.039606
monthly,2022-06,0.067313
monthly,2022-07,-0.114936
monthly,2022-08,0.004387
monthly,2022-09,-0.046955
monthly,2022-10,-0.110091
monthly,2022-11,0.153772
monthly,2022-12,0.017022
monthly,2023-01,0.040202
monthly,2023-02,-0.051055
monthly,2023-03,-0.027025
monthly,2023-04,0.007937
monthly,2023-05,-0.076587
monthly,2023-06,0.029454
monthly,2023-07,0.103181
monthly,2023-08,-0.057598
monthly,2023-09,-0.012426
monthly,2023-10,-0.056555
monthly,2023-11,-0.015205
monthly,2023-12,-0.068217
monthly,2024-01,0.058071
monthly,2024-02,0.073431
monthly,2024-03,-0.048763
monthly,2024-04,0.056701
monthly,2024-05,0.058562
monthly,2024-06,-0.085641
monthly,2024-07,-0.044442
monthly,2024-08,-0.042733
monthly,2024-09,0.266141
monthly,2024-10,-0.080704
monthly,2024-11,-0.021363
monthly,2024-12,-0.011837
monthly,2025-01,0.096408
monthly,2025-02,-0.042383
monthly,2025-03,0.060844
monthly,2025-04,-0.061893
monthly,2025-05,0.104185
monthly,2025-06,0.007956
monthly,2025-07,0.040039
monthly,2025-08,-0.002082
monthly,2025-09,-0.057745
monthly,2025-10,0.073103
monthly,2025-11,-0.007709
monthly,2025-12,-0.013956
monthly,2026-01,0.075619
monthly,2026-02,0.026512
monthly,2026-03,-0.048094
monthly,2026-04,0.073378
monthly,2026-05,-0.049034
monthly,2026-06,-0.056770
monthly,2026-07,0.098875
monthly,2026-08,-0.025236
