period_type,period,return_pct
annual,2014,0.525192
annual,2015,0.017074
annual,2016,0.110249
annual,2017,0.570422
annual,2018,-0.283765
annual,2019,0.855332
annual,2020,0.292949
annual,2021,0.289413
annual,2022,-0.013809
annual,2023,0.000411
annual,2024,0.235488
annual,2025,0.304064
annual,2026,0.133161
monthly,2014-05,0.000422
monthly,2014-06,-0.001218
monthly,2014-07,0.133761
monthly,2014-08,-0.008291
monthly,2014-09,-0.004329
monthly,2014-10,-0.002934
monthly,2014-11,0.072179
monthly,2014-12,0.249215
monthly,2015-01,-0.111943
monthly,2015-02,0.029221
monthly,2015-03,0.060159
monthly,2015-04,0.154967
monthly,2015-05,-0.017615
monthly,2015-06,-0.006688
monthly,2015-07,-0.080625
monthly,2015-08,-0.080043
monthly,2015-09,-0.009455
monthly,2015-10,0.014607
monthly,2015-11,-0.023728
monthly,2015-12,0.041389
monthly,2016-01,-0.105683
monthly,2016-02,0.017776
monthly,2016-03,0.074860
monthly,2016-04,0.053232
monthly,2016-05,0.011477
monthly,2016-06,-0.006860
monthly,2016-07,0.030659
monthly,2016-08,0.081598
monthly,2016-09,-0.034308
monthly,2016-10,0.006400
monthly,2016-11,0.033455
monthly,2016-12,-0.053761
monthly,2017-01,0.045100
monthly,2017-02,0.048915
monthly,2017-03,-0.006935
monthly,2017-04,-0.011834
monthly,2017-05,0.144889
monthly,2017-06,0.080534
monthly,2017-07,0.082670
monthly,2017-08,0.011925
monthly,2017-09,-0.034029
monthly,2017-10,0.049052
monthly,2017-11,0.083893
monthly,2017-12,0.013190
monthly,2018-01,0.125699
monthly,2018-02,-0.081068
monthly,2018-03,-0.055073
monthly,2018-04,-0.009412
monthly,2018-05,-0.041454
monthly,2018-06,-0.038320
monthly,2018-07,0.018685
monthly,2018-08,-0.066895
monthly,2018-09,0.011750
monthly,2018-10,-0.050690
monthly,2018-11,-0.021502
monthly,2018-12,-0.084915
monthly,2019-01,0.131167
monthly,2019-02,0.217962
monthly,2019-03,0.051528
monthly,2019-04,0.026481
monthly,2019-05,0.008508
monthly,2019-06,0.076468
monthly,2019-07,-0.021218
monthly,2019-08,0.009095
monthly,2019-09,0.020784
monthly,2019-10,0.034549
monthly,2019-11,-0.053349
monthly,2019-12,0.076738
monthly,2020-01,-0.053310
monthly,2020-02,0.009091
monthly,2020-03,-0.128998
monthly,2020-04,0.090169
monthly,2020-05,0.001494
monthly,2020-06,-0.009294
monthly,2020-07,0.182133
monthly,2020-08,0.027018
monthly,2020-09,-0.019167
monthly,2020-10,0.015146
monthly,2020-11,0.142989
monthly,2020-12,-0.069236
monthly,2021-01,-0.015064
monthly,2021-02,0.026261
monthly,2021-03,0.046696
monthly,2021-04,0.004768
monthly,2021-05,0.024140
monthly,2021-06,-0.043973
monthly,2021-07,-0.061259
monthly,2021-08,0.157615
monthly,2021-09,0.100441
monthly,2021-10,-0.053550
monthly,2021-11,-0.040694
monthly,2021-12,0.102995
monthly,2022-01,-0.012690
monthly,2022-02,0.037874
monthly,2022-03,0.038041
monthly,2022-04,-0.053339
monthly,2022-05,0.022510
monthly,2022-06,0.062282
monthly,2022-07,-0.116609
monthly,2022-08,0.004417
monthly,2022-09,-0.052177
monthly,2022-10,-0.105478
monthly,2022-11,0.146756
monthly,2022-12,-0.006649
monthly,2023-01,0.046127
monthly,2023-02,-0.026943
monthly,2023-03,0.008419
monthly,2023-04,0.007665
monthly,2023-05,-0.055696
monthly,2023-06,0.028967
monthly,2023-07,0.078038
monthly,2023-08,-0.053537
monthly,2023-09,-0.006062
monthly,2023-10,-0.047347
monthly,2023-11,0.005715
monthly,2023-12,-0.050671
monthly,2024-01,0.054440
monthly,2024-02,0.085090
monthly,2024-03,-0.033719
monthly,2024-04,0.051289
monthly,2024-05,0.002770
monthly,2024-06,-0.071282
monthly,2024-07,-0.059619
monthly,2024-08,-0.034382
monthly,2024-09,0.253090
monthly,2024-10,-0.080734
monthly,2024-11,-0.009043
monthly,2024-12,-0.010944
monthly,2025-01,0.080757
monthly,2025-02,-0.028300
monthly,2025-03,0.055577
monthly,2025-04,-0.066764
monthly,2025-05,0.092974
monthly,2025-06,0.014367
monthly,2025-07,0.046376
monthly,2025-08,0.004333
monthly,2025-09,-0.041377
monthly,2025-10,0.062749
monthly,2025-11,-0.001335
monthly,2025-12,-0.007348
monthly,2026-01,0.056701
monthly,2026-02,0.037031
monthly,2026-03,-0.044538
monthly,2026-04,0.105156
monthly,2026-05,-0.045012
monthly,2026-06,-0.077816
monthly,2026-07,0.110098
monthly,2026-08,-0.024540
