period_type,period,return_pct
annual,2002,0.000000
annual,2003,-0.103704
annual,2004,0.058000
annual,2005,-0.177658
annual,2006,1.171487
annual,2007,2.766063
annual,2008,-0.439057
annual,2009,1.176364
annual,2010,0.408936
annual,2011,-0.279795
annual,2012,0.019443
annual,2013,0.331235
annual,2014,1.556421
annual,2015,0.576070
annual,2016,0.067695
annual,2017,0.622536
annual,2018,-0.163432
annual,2019,0.813354
annual,2020,0.109090
annual,2021,0.385769
annual,2022,0.178980
annual,2023,0.121307
annual,2024,0.408606
annual,2025,0.119180
annual,2026,0.095714
monthly,2002-02,0.000000
monthly,2002-03,0.000000
monthly,2002-04,0.000000
monthly,2002-05,0.000000
monthly,2002-06,0.000000
monthly,2002-07,0.000000
monthly,2002-08,0.000000
monthly,2002-09,0.000000
monthly,2002-10,0.000000
monthly,2002-11,0.000000
monthly,2002-12,0.000000
monthly,2003-01,0.000000
monthly,2003-02,0.000000
monthly,2003-03,-0.000007
monthly,2003-04,-0.000751
monthly,2003-05,0.021106
monthly,2003-06,-0.021810
monthly,2003-07,0.009133
monthly,2003-08,-0.030148
monthly,2003-09,-0.100338
monthly,2003-10,0.016463
monthly,2003-11,-0.022447
monthly,2003-12,-0.015553
monthly,2004-01,0.121299
monthly,2004-02,0.040798
monthly,2004-03,0.031704
monthly,2004-04,-0.003865
monthly,2004-05,-0.003612
monthly,2004-06,-0.053924
monthly,2004-07,0.004523
monthly,2004-08,-0.017031
monthly,2004-09,0.077234
monthly,2004-10,-0.015248
monthly,2004-11,-0.060776
monthly,2004-12,-0.096945
monthly,2005-01,-0.016730
monthly,2005-02,0.085985
monthly,2005-03,-0.100866
monthly,2005-04,-0.033011
monthly,2005-05,-0.046834
monthly,2005-06,0.046268
monthly,2005-07,-0.049655
monthly,2005-08,0.054742
monthly,2005-09,-0.019522
monthly,2005-10,-0.044221
monthly,2005-11,-0.012858
monthly,2005-12,-0.012307
monthly,2006-01,0.090911
monthly,2006-02,-0.006628
monthly,2006-03,-0.001353
monthly,2006-04,0.032960
monthly,2006-05,0.200304
monthly,2006-06,0.006793
monthly,2006-07,-0.016777
monthly,2006-08,0.039514
monthly,2006-09,0.102936
monthly,2006-10,-0.011355
monthly,2006-11,0.007894
monthly,2006-12,0.241029
monthly,2007-01,0.301407
monthly,2007-02,0.071970
monthly,2007-03,0.283438
monthly,2007-04,0.342040
monthly,2007-05,0.101688
monthly,2007-06,-0.070860
monthly,2007-07,0.068278
monthly,2007-08,0.088151
monthly,2007-09,0.083643
monthly,2007-10,0.062678
monthly,2007-11,0.003464
monthly,2007-12,0.115698
monthly,2008-01,-0.104873
monthly,2008-02,0.130008
monthly,2008-03,-0.083654
monthly,2008-04,0.047406
monthly,2008-05,-0.049022
monthly,2008-06,-0.147237
monthly,2008-07,0.053515
monthly,2008-08,-0.196691
monthly,2008-09,-0.083787
monthly,2008-10,-0.251730
monthly,2008-11,0.192791
monthly,2008-12,0.051121
monthly,2009-01,0.074704
monthly,2009-02,0.051186
monthly,2009-03,0.141545
monthly,2009-04,0.062272
monthly,2009-05,-0.005184
monthly,2009-06,0.039139
monthly,2009-07,0.117611
monthly,2009-08,-0.198470
monthly,2009-09,0.068682
monthly,2009-10,0.102418
monthly,2009-11,0.113562
monthly,2009-12,0.049146
monthly,2010-01,-0.038500
monthly,2010-02,0.068196
monthly,2010-03,0.083862
monthly,2010-04,-0.006870
monthly,2010-05,-0.096771
monthly,2010-06,-0.048851
monthly,2010-07,0.171401
monthly,2010-08,0.053029
monthly,2010-09,0.054400
monthly,2010-10,0.202532
monthly,2010-11,-0.106436
monthly,2010-12,0.006177
monthly,2011-01,-0.057222
monthly,2011-02,0.113957
monthly,2011-03,-0.002995
monthly,2011-04,-0.094161
monthly,2011-05,-0.074532
monthly,2011-06,0.039958
monthly,2011-07,0.004723
monthly,2011-08,-0.066389
monthly,2011-09,-0.112940
monthly,2011-10,0.083330
monthly,2011-11,-0.059615
monthly,2011-12,-0.109293
monthly,2012-01,0.029586
monthly,2012-02,0.102763
monthly,2012-03,-0.051750
monthly,2012-04,0.037438
monthly,2012-05,-0.024793
monthly,2012-06,-0.032326
monthly,2012-07,-0.044135
monthly,2012-08,-0.063689
monthly,2012-09,-0.016777
monthly,2012-10,-0.004037
monthly,2012-11,-0.115696
monthly,2012-12,0.177970
monthly,2013-01,0.051964
monthly,2013-02,-0.012274
monthly,2013-03,-0.082278
monthly,2013-04,-0.042950
monthly,2013-05,0.138803
monthly,2013-06,-0.039935
monthly,2013-07,0.162227
monthly,2013-08,-0.032409
monthly,2013-09,0.138080
monthly,2013-10,-0.133404
monthly,2013-11,0.067358
monthly,2013-12,0.041473
monthly,2014-01,0.044042
monthly,2014-02,-0.117808
monthly,2014-03,-0.069428
monthly,2014-04,0.014077
monthly,2014-05,0.063671
monthly,2014-06,0.040816
monthly,2014-07,0.218253
monthly,2014-08,0.157960
monthly,2014-09,0.059152
monthly,2014-10,-0.030610
monthly,2014-11,0.484405
monthly,2014-12,0.036253
monthly,2015-01,-0.031273
monthly,2015-02,0.278882
monthly,2015-03,0.187241
monthly,2015-04,0.336255
monthly,2015-05,-0.032050
monthly,2015-06,-0.083705
monthly,2015-07,-0.081105
monthly,2015-08,-0.115076
monthly,2015-09,0.013327
monthly,2015-10,0.122960
monthly,2015-11,-0.000411
monthly,2015-12,0.014623
monthly,2016-01,-0.173606
monthly,2016-02,-0.002762
monthly,2016-03,0.122310
monthly,2016-04,0.015036
monthly,2016-05,-0.019982
monthly,2016-06,-0.005220
monthly,2016-07,0.055170
monthly,2016-08,0.048445
monthly,2016-09,0.004288
monthly,2016-10,0.021937
monthly,2016-11,0.044802
monthly,2016-12,-0.065428
monthly,2017-01,0.061109
monthly,2017-02,0.068374
monthly,2017-03,0.007695
monthly,2017-04,-0.028720
monthly,2017-05,0.029611
monthly,2017-06,0.122905
monthly,2017-07,0.077738
monthly,2017-08,0.001836
monthly,2017-09,-0.015294
monthly,2017-10,0.059756
monthly,2017-11,0.004838
monthly,2017-12,0.082978
monthly,2018-01,0.041810
monthly,2018-02,-0.061998
monthly,2018-03,-0.048840
monthly,2018-04,0.001832
monthly,2018-05,0.024330
monthly,2018-06,-0.017493
monthly,2018-07,0.062504
monthly,2018-08,-0.022145
monthly,2018-09,0.040493
monthly,2018-10,-0.075213
monthly,2018-11,-0.001486
monthly,2018-12,-0.066550
monthly,2019-01,0.126169
monthly,2019-02,0.104875
monthly,2019-03,0.105330
monthly,2019-04,0.014369
monthly,2019-05,0.023006
monthly,2019-06,0.057559
monthly,2019-07,0.003543
monthly,2019-08,-0.052636
monthly,2019-09,-0.002753
monthly,2019-10,0.017593
monthly,2019-11,0.005449
monthly,2019-12,0.135360
monthly,2020-01,-0.100893
monthly,2020-02,0.078981
monthly,2020-03,-0.115468
monthly,2020-04,0.074791
monthly,2020-05,-0.008940
monthly,2020-06,-0.023948
monthly,2020-07,0.062937
monthly,2020-08,0.000644
monthly,2020-09,-0.010145
monthly,2020-10,0.019300
monthly,2020-11,0.123044
monthly,2020-12,-0.075697
monthly,2021-01,0.077485
monthly,2021-02,0.020128
monthly,2021-03,0.059595
