period_type,period,return_pct
annual,2002,0.000000
annual,2003,-0.117385
annual,2004,0.066846
annual,2005,-0.157619
annual,2006,1.122923
annual,2007,2.809772
annual,2008,-0.426791
annual,2009,1.309965
annual,2010,0.436284
annual,2011,-0.301772
annual,2012,0.026516
annual,2013,0.378615
annual,2014,1.486218
annual,2015,0.448804
annual,2016,0.052482
annual,2017,0.594641
annual,2018,-0.175031
annual,2019,0.790594
annual,2020,0.109814
annual,2021,0.385889
annual,2022,0.158234
annual,2023,0.118236
annual,2024,0.399631
annual,2025,0.129565
annual,2026,0.088667
monthly,2002-02,0.000000
monthly,2002-03,0.000000
monthly,2002-04,0.000000
monthly,2002-05,0.000000
monthly,2002-06,0.000000
monthly,2002-07,0.000000
monthly,2002-08,0.000000
monthly,2002-09,0.000000
monthly,2002-10,0.000000
monthly,2002-11,0.000000
monthly,2002-12,0.000000
monthly,2003-01,0.000000
monthly,2003-02,0.000000
monthly,2003-03,-0.000007
monthly,2003-04,0.000031
monthly,2003-05,0.018068
monthly,2003-06,-0.020538
monthly,2003-07,0.002678
monthly,2003-08,-0.027420
monthly,2003-09,-0.095280
monthly,2003-10,0.006576
monthly,2003-11,-0.015987
monthly,2003-12,-0.025747
monthly,2004-01,0.109580
monthly,2004-02,0.041666
monthly,2004-03,0.032877
monthly,2004-04,-0.009972
monthly,2004-05,-0.000834
monthly,2004-06,-0.052165
monthly,2004-07,0.010838
monthly,2004-08,-0.020633
monthly,2004-09,0.082079
monthly,2004-10,-0.012578
monthly,2004-11,-0.056290
monthly,2004-12,-0.093195
monthly,2005-01,-0.012682
monthly,2005-02,0.087179
monthly,2005-03,-0.091263
monthly,2005-04,-0.023125
monthly,2005-05,-0.047383
monthly,2005-06,0.048239
monthly,2005-07,-0.057790
monthly,2005-08,0.061568
monthly,2005-09,-0.018038
monthly,2005-10,-0.044715
monthly,2005-11,-0.018453
monthly,2005-12,-0.014237
monthly,2006-01,0.107883
monthly,2006-02,-0.018801
monthly,2006-03,0.009121
monthly,2006-04,0.002501
monthly,2006-05,0.127549
monthly,2006-06,0.054707
monthly,2006-07,-0.039602
monthly,2006-08,0.016144
monthly,2006-09,0.164539
monthly,2006-10,-0.008516
monthly,2006-11,0.014180
monthly,2006-12,0.249494
monthly,2007-01,0.324931
monthly,2007-02,0.110331
monthly,2007-03,0.263825
monthly,2007-04,0.378532
monthly,2007-05,0.090429
monthly,2007-06,-0.060454
monthly,2007-07,0.056422
monthly,2007-08,0.072598
