period_type,period,return_pct
annual,2018,-0.191700
annual,2019,0.578602
annual,2020,0.190969
annual,2021,0.140248
annual,2022,-0.085513
annual,2023,-0.032526
annual,2024,0.248458
annual,2025,0.306373
annual,2026,0.047411
monthly,2018-05,0.001590
monthly,2018-06,-0.026377
monthly,2018-07,0.022774
monthly,2018-08,-0.031270
monthly,2018-09,0.041119
monthly,2018-10,-0.047223
monthly,2018-11,-0.030652
monthly,2018-12,-0.078883
monthly,2019-01,0.114297
monthly,2019-02,0.133227
monthly,2019-03,0.023564
monthly,2019-04,0.021989
monthly,2019-05,0.005608
monthly,2019-06,0.064112
monthly,2019-07,-0.031764
monthly,2019-08,0.027138
monthly,2019-09,-0.004859
monthly,2019-10,0.025041
monthly,2019-11,-0.052305
monthly,2019-12,0.078374
monthly,2020-01,-0.048689
monthly,2020-02,0.016063
monthly,2020-03,-0.106520
monthly,2020-04,0.073323
monthly,2020-05,0.014784
monthly,2020-06,-0.004012
monthly,2020-07,0.130091
monthly,2020-08,0.041245
monthly,2020-09,-0.050183
monthly,2020-10,0.022904
monthly,2020-11,0.133676
monthly,2020-12,-0.071044
monthly,2021-01,-0.038645
monthly,2021-02,0.040161
monthly,2021-03,0.018917
monthly,2021-04,0.010092
monthly,2021-05,-0.010453
monthly,2021-06,-0.056372
monthly,2021-07,-0.075494
monthly,2021-08,0.106742
monthly,2021-09,0.094615
monthly,2021-10,-0.052421
monthly,2021-11,-0.050014
monthly,2021-12,0.094696
monthly,2022-01,0.011597
monthly,2022-02,0.035707
monthly,2022-03,-0.018221
monthly,2022-04,-0.091361
monthly,2022-05,-0.026814
monthly,2022-06,0.049942
monthly,2022-07,-0.090738
monthly,2022-08,0.022006
monthly,2022-09,-0.022274
monthly,2022-10,-0.132186
monthly,2022-11,0.154851
monthly,2022-12,-0.014339
monthly,2023-01,0.058539
monthly,2023-02,-0.020657
monthly,2023-03,-0.027178
monthly,2023-04,0.018099
monthly,2023-05,-0.056791
monthly,2023-06,0.024838
monthly,2023-07,0.083247
monthly,2023-08,-0.066509
monthly,2023-09,-0.002680
monthly,2023-10,-0.045792
monthly,2023-11,-0.007033
monthly,2023-12,-0.042064
monthly,2024-01,0.046028
monthly,2024-02,0.060215
monthly,2024-03,-0.030194
monthly,2024-04,0.028652
monthly,2024-05,0.000319
monthly,2024-06,-0.058777
monthly,2024-07,-0.015238
monthly,2024-08,-0.045331
monthly,2024-09,0.260093
monthly,2024-10,-0.074435
monthly,2024-11,-0.020368
monthly,2024-12,-0.001781
monthly,2025-01,0.061170
monthly,2025-02,0.004714
monthly,2025-03,0.035123
monthly,2025-04,-0.057766
monthly,2025-05,0.070271
monthly,2025-06,0.033143
monthly,2025-07,0.044819
monthly,2025-08,0.007661
monthly,2025-09,-0.028669
monthly,2025-10,0.046012
monthly,2025-11,0.009017
monthly,2025-12,-0.012202
monthly,2026-01,0.011289
monthly,2026-02,0.034313
monthly,2026-03,-0.016159
monthly,2026-04,0.031364
monthly,2026-05,-0.040105
monthly,2026-06,-0.064329
monthly,2026-07,0.112994
monthly,2026-08,-0.028358
