period_type,period,return_pct
annual,2010,0.246622
annual,2011,0.062642
annual,2012,0.179966
annual,2013,0.089845
annual,2014,1.069127
annual,2015,0.140270
annual,2016,0.148454
annual,2017,0.573426
annual,2018,-0.179528
annual,2019,0.793331
annual,2020,0.190065
annual,2021,0.433394
annual,2022,0.184740
annual,2023,0.225069
annual,2024,0.209862
annual,2025,0.324637
annual,2026,0.028133
monthly,2010-05,-0.004549
monthly,2010-06,-0.046613
monthly,2010-07,0.160416
monthly,2010-08,0.035930
monthly,2010-09,-0.005185
monthly,2010-10,0.166610
monthly,2010-11,-0.119109
monthly,2010-12,-0.020260
monthly,2011-01,-0.047719
monthly,2011-02,0.150716
monthly,2011-03,0.068707
monthly,2011-04,-0.015498
monthly,2011-05,-0.028082
monthly,2011-06,0.042076
monthly,2011-07,0.048897
monthly,2011-08,-0.027169
monthly,2011-09,-0.066896
monthly,2011-10,0.043821
monthly,2011-11,-0.079644
monthly,2011-12,-0.034995
monthly,2012-01,0.047004
monthly,2012-02,0.061139
monthly,2012-03,-0.037286
monthly,2012-04,0.023010
monthly,2012-05,-0.023854
monthly,2012-06,-0.066394
monthly,2012-07,-0.111334
monthly,2012-08,0.018439
monthly,2012-09,0.002486
monthly,2012-10,0.021360
monthly,2012-11,-0.079655
monthly,2012-12,0.308444
monthly,2013-01,0.064383
monthly,2013-02,-0.057067
monthly,2013-03,-0.062926
monthly,2013-04,0.015171
monthly,2013-05,0.142300
monthly,2013-06,-0.078880
monthly,2013-07,-0.051049
monthly,2013-08,0.055350
monthly,2013-09,0.038412
monthly,2013-10,-0.044598
monthly,2013-11,0.053619
monthly,2013-12,-0.009444
monthly,2014-01,-0.028571
monthly,2014-02,-0.002962
monthly,2014-03,0.047708
monthly,2014-04,0.021344
monthly,2014-05,0.016859
monthly,2014-06,-0.009670
monthly,2014-07,0.169670
monthly,2014-08,-0.012131
monthly,2014-09,0.047943
monthly,2014-10,-0.004010
monthly,2014-11,0.132351
monthly,2014-12,0.353910
monthly,2015-01,-0.167638
monthly,2015-02,0.098105
monthly,2015-03,0.080637
monthly,2015-04,0.080268
monthly,2015-05,-0.002950
monthly,2015-06,-0.031774
monthly,2015-07,-0.053157
monthly,2015-08,0.012896
monthly,2015-09,0.026070
monthly,2015-10,0.043122
monthly,2015-11,-0.024984
monthly,2015-12,0.067672
monthly,2016-01,-0.097833
monthly,2016-02,0.014523
monthly,2016-03,0.117346
monthly,2016-04,0.043323
monthly,2016-05,-0.009043
monthly,2016-06,-0.009265
monthly,2016-07,0.027485
monthly,2016-08,0.061492
monthly,2016-09,-0.028385
monthly,2016-10,0.011233
monthly,2016-11,0.034841
monthly,2016-12,-0.035518
monthly,2017-01,0.052664
monthly,2017-02,0.057230
monthly,2017-03,-0.000753
monthly,2017-04,-0.020409
monthly,2017-05,0.103151
monthly,2017-06,0.095547
monthly,2017-07,0.079617
monthly,2017-08,0.007226
monthly,2017-09,-0.038630
monthly,2017-10,0.034059
monthly,2017-11,0.057517
monthly,2017-12,0.043432
monthly,2018-01,0.044344
monthly,2018-02,-0.009333
monthly,2018-03,-0.031333
monthly,2018-04,-0.045578
monthly,2018-05,-0.003392
monthly,2018-06,-0.043403
monthly,2018-07,0.042658
monthly,2018-08,-0.015589
monthly,2018-09,-0.009782
monthly,2018-10,-0.076586
monthly,2018-11,0.050013
monthly,2018-12,-0.053598
monthly,2019-01,0.031157
monthly,2019-02,0.150278
monthly,2019-03,0.086666
monthly,2019-04,0.016938
monthly,2019-05,0.053167
