period_type,period,return_pct
annual,2014,0.638707
annual,2015,0.058357
annual,2016,0.140654
annual,2017,0.709253
annual,2018,-0.192047
annual,2019,0.792885
annual,2020,0.141669
annual,2021,0.390045
annual,2022,0.123141
annual,2023,0.137927
annual,2024,0.402234
annual,2025,0.179268
annual,2026,0.060887
monthly,2014-01,-0.010664
monthly,2014-02,-0.002338
monthly,2014-03,0.017643
monthly,2014-04,0.001266
monthly,2014-05,0.018839
monthly,2014-06,0.013032
monthly,2014-07,0.140877
monthly,2014-08,0.028762
monthly,2014-09,0.039306
monthly,2014-10,-0.020000
monthly,2014-11,0.076398
monthly,2014-12,0.161826
monthly,2015-01,-0.098543
monthly,2015-02,0.083828
monthly,2015-03,0.089706
monthly,2015-04,0.131521
monthly,2015-05,0.006151
monthly,2015-06,0.029230
monthly,2015-07,-0.132700
monthly,2015-08,-0.077724
monthly,2015-09,-0.012926
monthly,2015-10,0.006688
monthly,2015-11,0.001136
monthly,2015-12,0.037879
monthly,2016-01,-0.108488
monthly,2016-02,0.011438
monthly,2016-03,0.099427
monthly,2016-04,0.002799
monthly,2016-05,-0.030872
monthly,2016-06,0.033271
monthly,2016-07,0.055655
monthly,2016-08,0.035822
monthly,2016-09,-0.007795
monthly,2016-10,0.038836
monthly,2016-11,0.026976
monthly,2016-12,-0.052350
monthly,2017-01,0.058133
monthly,2017-02,0.086515
monthly,2017-03,0.025011
monthly,2017-04,-0.013310
monthly,2017-05,0.051674
monthly,2017-06,0.105320
monthly,2017-07,0.064991
monthly,2017-08,-0.001871
monthly,2017-09,-0.016440
monthly,2017-10,0.053991
monthly,2017-11,0.017009
monthly,2017-12,0.109244
monthly,2018-01,0.033743
monthly,2018-02,-0.060079
monthly,2018-03,-0.049799
monthly,2018-04,0.004759
monthly,2018-05,0.009414
monthly,2018-06,-0.019804
monthly,2018-07,0.059617
monthly,2018-08,-0.014236
monthly,2018-09,0.021849
monthly,2018-10,-0.079231
monthly,2018-11,0.006057
monthly,2018-12,-0.070411
monthly,2019-01,0.099534
monthly,2019-02,0.121112
monthly,2019-03,0.086329
monthly,2019-04,0.023743
monthly,2019-05,0.039478
monthly,2019-06,0.070755
monthly,2019-07,0.021045
monthly,2019-08,-0.071142
monthly,2019-09,-0.000085
monthly,2019-10,0.007404
monthly,2019-11,0.001584
monthly,2019-12,0.131505
monthly,2020-01,-0.093328
monthly,2020-02,0.082686
monthly,2020-03,-0.121272
monthly,2020-04,0.095100
monthly,2020-05,-0.002546
monthly,2020-06,-0.024326
monthly,2020-07,0.100434
monthly,2020-08,-0.017968
monthly,2020-09,-0.025843
monthly,2020-10,0.004273
monthly,2020-11,0.133135
monthly,2020-12,-0.074025
monthly,2021-01,0.031039
monthly,2021-02,0.027718
monthly,2021-03,0.062163
monthly,2021-04,-0.007864
monthly,2021-05,0.025037
monthly,2021-06,-0.036587
monthly,2021-07,-0.058560
monthly,2021-08,0.185956
monthly,2021-09,0.105382
monthly,2021-10,-0.052779
monthly,2021-11,-0.045561
monthly,2021-12,0.095280
monthly,2022-01,-0.008651
monthly,2022-02,0.051012
monthly,2022-03,0.068711
monthly,2022-04,-0.026114
monthly,2022-05,0.083327
monthly,2022-06,-0.000848
monthly,2022-07,-0.073318
monthly,2022-08,0.052344
monthly,2022-09,-0.007266
monthly,2022-10,-0.107624
monthly,2022-11,0.091495
monthly,2022-12,-0.053609
monthly,2023-01,0.036315
monthly,2023-02,-0.017705
monthly,2023-03,-0.018427
monthly,2023-04,0.027275
monthly,2023-05,-0.037367
monthly,2023-06,0.077721
monthly,2023-07,0.023354
monthly,2023-08,-0.037265
monthly,2023-09,0.055516
monthly,2023-10,-0.038750
monthly,2023-11,0.028631
monthly,2023-12,-0.005257
monthly,2024-01,0.109066
monthly,2024-02,0.078811
monthly,2024-03,0.013628
monthly,2024-04,0.059332
monthly,2024-05,0.058499
monthly,2024-06,0.004724
monthly,2024-07,-0.077347
monthly,2024-08,0.001636
monthly,2024-09,0.122039
monthly,2024-10,-0.051215
monthly,2024-11,-0.030232
monthly,2024-12,0.054935
monthly,2025-01,-0.016874
monthly,2025-02,-0.052014
monthly,2025-03,0.052165
monthly,2025-04,-0.033875
monthly,2025-05,0.044859
monthly,2025-06,0.034503
monthly,2025-07,0.017757
monthly,2025-08,0.011539
monthly,2025-09,0.013897
monthly,2025-10,0.064629
monthly,2025-11,-0.011172
monthly,2025-12,-0.001579
monthly,2026-01,0.028231
monthly,2026-02,0.067992
monthly,2026-03,0.001092
monthly,2026-04,0.071882
monthly,2026-05,-0.048920
monthly,2026-06,-0.176141
monthly,2026-07,0.116795
monthly,2026-08,0.006960
