period_type,period,return_pct
annual,2014,0.619533
annual,2015,0.079583
annual,2016,0.058425
annual,2017,0.523038
annual,2018,-0.176957
annual,2019,0.811926
annual,2020,0.128744
annual,2021,0.357071
annual,2022,0.098281
annual,2023,0.122507
annual,2024,0.362068
annual,2025,0.119955
annual,2026,0.107615
monthly,2014-01,0.010573
monthly,2014-02,-0.018356
monthly,2014-03,-0.002425
monthly,2014-04,-0.003144
monthly,2014-05,0.022418
monthly,2014-06,0.021059
monthly,2014-07,0.044549
monthly,2014-08,0.078538
monthly,2014-09,0.046658
monthly,2014-10,-0.008748
monthly,2014-11,0.075494
monthly,2014-12,0.176531
monthly,2015-01,-0.071725
monthly,2015-02,0.093675
monthly,2015-03,0.113215
monthly,2015-04,0.153545
monthly,2015-05,0.074844
monthly,2015-06,-0.075224
monthly,2015-07,-0.113770
monthly,2015-08,-0.029811
monthly,2015-09,-0.043454
monthly,2015-10,-0.016867
monthly,2015-11,0.001231
monthly,2015-12,0.030016
monthly,2016-01,-0.151335
monthly,2016-02,-0.005436
monthly,2016-03,0.112161
monthly,2016-04,-0.005025
monthly,2016-05,-0.022530
monthly,2016-06,-0.011498
monthly,2016-07,0.047536
monthly,2016-08,0.047543
monthly,2016-09,0.022519
monthly,2016-10,0.015238
monthly,2016-11,0.074666
monthly,2016-12,-0.077261
monthly,2017-01,0.040104
monthly,2017-02,0.074677
monthly,2017-03,0.051556
monthly,2017-04,-0.045785
monthly,2017-05,0.023253
monthly,2017-06,0.105062
monthly,2017-07,0.058018
monthly,2017-08,-0.003319
monthly,2017-09,-0.022458
monthly,2017-10,0.051189
monthly,2017-11,0.010365
monthly,2017-12,0.071679
monthly,2018-01,0.041236
monthly,2018-02,-0.060050
monthly,2018-03,-0.048245
monthly,2018-04,-0.001162
monthly,2018-05,0.014078
monthly,2018-06,-0.020772
monthly,2018-07,0.059304
monthly,2018-08,-0.018868
monthly,2018-09,0.029806
monthly,2018-10,-0.072624
monthly,2018-11,0.004155
monthly,2018-12,-0.064873
monthly,2019-01,0.107638
monthly,2019-02,0.113215
monthly,2019-03,0.094208
monthly,2019-04,0.023257
monthly,2019-05,0.033357
monthly,2019-06,0.070178
monthly,2019-07,0.013705
monthly,2019-08,-0.060608
monthly,2019-09,-0.001716
monthly,2019-10,0.011437
monthly,2019-11,0.002551
monthly,2019-12,0.132073
monthly,2020-01,-0.097956
monthly,2020-02,0.084644
monthly,2020-03,-0.127961
monthly,2020-04,0.089321
monthly,2020-05,-0.012576
monthly,2020-06,-0.022385
monthly,2020-07,0.068950
monthly,2020-08,0.004907
monthly,2020-09,-0.008162
monthly,2020-10,0.025631
monthly,2020-11,0.111256
monthly,2020-12,-0.075487
monthly,2021-01,0.111444
monthly,2021-02,0.017260
monthly,2021-03,0.024714
monthly,2021-04,-0.014950
monthly,2021-05,0.034278
monthly,2021-06,-0.036759
monthly,2021-07,-0.059624
monthly,2021-08,0.148313
monthly,2021-09,0.054189
monthly,2021-10,-0.041126
monthly,2021-11,-0.027612
monthly,2021-12,0.048098
monthly,2022-01,-0.017137
monthly,2022-02,0.027606
monthly,2022-03,0.046657
monthly,2022-04,-0.026839
monthly,2022-05,0.082233
monthly,2022-06,0.022648
monthly,2022-07,-0.069314
monthly,2022-08,0.054060
monthly,2022-09,-0.015441
monthly,2022-10,-0.109336
monthly,2022-11,0.094855
monthly,2022-12,-0.047306
monthly,2023-01,0.039426
monthly,2023-02,-0.013083
monthly,2023-03,-0.009196
monthly,2023-04,0.034310
monthly,2023-05,-0.057990
monthly,2023-06,0.077531
monthly,2023-07,0.021995
monthly,2023-08,-0.045511
monthly,2023-09,0.047528
monthly,2023-10,-0.039834
monthly,2023-11,0.024275
monthly,2023-12,-0.001522
monthly,2024-01,0.123078
monthly,2024-02,0.075338
monthly,2024-03,0.008287
monthly,2024-04,0.042590
monthly,2024-05,0.043188
monthly,2024-06,0.013005
monthly,2024-07,-0.074730
monthly,2024-08,0.009540
monthly,2024-09,0.120728
monthly,2024-10,-0.065312
monthly,2024-11,-0.029490
monthly,2024-12,0.053825
monthly,2025-01,-0.019580
monthly,2025-02,-0.042606
monthly,2025-03,0.055795
monthly,2025-04,-0.029316
monthly,2025-05,0.038384
monthly,2025-06,0.029561
monthly,2025-07,0.009877
monthly,2025-08,0.000869
monthly,2025-09,0.004829
monthly,2025-10,0.060766
monthly,2025-11,-0.007442
monthly,2025-12,-0.012840
monthly,2026-01,0.041798
monthly,2026-02,0.069964
monthly,2026-03,0.004138
monthly,2026-04,0.056171
monthly,2026-05,-0.024875
monthly,2026-06,-0.166821
monthly,2026-07,0.127942
monthly,2026-08,0.004220
