period_type,period,return_pct
annual,2016,0.244230
annual,2017,0.419537
annual,2018,-0.145651
annual,2019,0.752488
annual,2020,0.221477
annual,2021,0.461105
annual,2022,0.410203
annual,2023,0.072112
annual,2024,0.340791
annual,2025,0.227024
annual,2026,0.017979
monthly,2016-01,-0.004217
monthly,2016-02,0.009715
monthly,2016-03,0.058673
monthly,2016-04,-0.009727
monthly,2016-05,-0.022216
monthly,2016-06,0.013798
monthly,2016-07,0.050689
monthly,2016-08,0.038347
monthly,2016-09,-0.005423
monthly,2016-10,0.051661
monthly,2016-11,0.034092
monthly,2016-12,-0.039510
monthly,2017-01,0.040229
monthly,2017-02,0.067215
monthly,2017-03,0.029108
monthly,2017-04,-0.052649
monthly,2017-05,0.033367
monthly,2017-06,0.082470
monthly,2017-07,0.054669
monthly,2017-08,-0.005517
monthly,2017-09,-0.020689
monthly,2017-10,0.039130
monthly,2017-11,0.028275
monthly,2017-12,0.056303
monthly,2018-01,0.051302
monthly,2018-02,-0.049982
monthly,2018-03,-0.056717
monthly,2018-04,-0.020167
monthly,2018-05,-0.014817
monthly,2018-06,-0.024314
monthly,2018-07,0.057170
monthly,2018-08,-0.008484
monthly,2018-09,0.019915
monthly,2018-10,-0.061438
monthly,2018-11,0.046482
monthly,2018-12,-0.050968
monthly,2019-01,0.033780
monthly,2019-02,0.155211
monthly,2019-03,0.089939
monthly,2019-04,0.032347
monthly,2019-05,0.048467
monthly,2019-06,0.073409
monthly,2019-07,0.029239
monthly,2019-08,-0.063418
monthly,2019-09,0.001528
monthly,2019-10,-0.003992
monthly,2019-11,-0.004511
monthly,2019-12,0.124049
monthly,2020-01,-0.079473
monthly,2020-02,0.101238
monthly,2020-03,-0.117829
monthly,2020-04,0.089227
monthly,2020-05,0.009693
monthly,2020-06,-0.016046
monthly,2020-07,0.083448
monthly,2020-08,0.028247
monthly,2020-09,-0.003802
monthly,2020-10,0.009782
monthly,2020-11,0.131565
monthly,2020-12,-0.088962
monthly,2021-01,0.012581
monthly,2021-02,0.041047
monthly,2021-03,0.033373
monthly,2021-04,-0.019251
monthly,2021-05,0.010226
monthly,2021-06,-0.029513
monthly,2021-07,0.017756
monthly,2021-08,0.236226
monthly,2021-09,0.094218
monthly,2021-10,-0.096725
monthly,2021-11,-0.032879
monthly,2021-12,0.094188
monthly,2022-01,-0.008112
monthly,2022-02,0.061951
monthly,2022-03,0.071458
monthly,2022-04,0.033293
monthly,2022-05,0.077135
monthly,2022-06,0.027827
monthly,2022-07,-0.018106
monthly,2022-08,-0.032803
monthly,2022-09,-0.031482
monthly,2022-10,-0.078452
monthly,2022-11,0.147984
monthly,2022-12,0.005056
monthly,2023-01,0.078309
monthly,2023-02,-0.013777
monthly,2023-03,-0.025350
monthly,2023-04,0.014744
monthly,2023-05,-0.053207
monthly,2023-06,0.071354
monthly,2023-07,0.064680
monthly,2023-08,-0.059408
monthly,2023-09,0.002244
monthly,2023-10,-0.022624
monthly,2023-11,-0.006472
monthly,2023-12,-0.016581
monthly,2024-01,0.048803
monthly,2024-02,0.098804
monthly,2024-03,-0.015080
monthly,2024-04,0.062780
monthly,2024-05,-0.011588
monthly,2024-06,-0.064342
monthly,2024-07,-0.023546
monthly,2024-08,-0.022834
monthly,2024-09,0.243945
monthly,2024-10,-0.101845
monthly,2024-11,-0.023006
monthly,2024-12,0.023652
monthly,2025-01,0.031799
monthly,2025-02,-0.006068
monthly,2025-03,0.047042
monthly,2025-04,-0.045229
monthly,2025-05,0.051559
monthly,2025-06,0.027174
monthly,2025-07,0.027275
monthly,2025-08,0.003693
monthly,2025-09,-0.011579
monthly,2025-10,0.040343
monthly,2025-11,0.015412
monthly,2025-12,-0.005568
monthly,2026-01,0.012960
monthly,2026-02,0.022695
monthly,2026-03,-0.020561
monthly,2026-04,0.020288
monthly,2026-05,-0.034279
monthly,2026-06,-0.067057
monthly,2026-07,0.124485
monthly,2026-08,-0.026541
