period_type,period,return_pct
annual,2014,0.733494
annual,2015,-0.058420
annual,2016,0.250775
annual,2017,0.619630
annual,2018,-0.201481
annual,2019,0.773334
annual,2020,0.184232
annual,2021,0.660382
annual,2022,0.466924
annual,2023,0.086631
annual,2024,0.299429
annual,2025,0.289614
annual,2026,-0.003740
monthly,2014-01,-0.006900
monthly,2014-02,-0.001397
monthly,2014-03,0.008368
monthly,2014-04,0.000247
monthly,2014-05,0.019697
monthly,2014-06,-0.000878
monthly,2014-07,0.157077
monthly,2014-08,-0.000085
monthly,2014-09,0.037893
monthly,2014-10,-0.006668
monthly,2014-11,0.093489
monthly,2014-12,0.227118
monthly,2015-01,-0.127445
monthly,2015-02,0.072788
monthly,2015-03,0.098533
monthly,2015-04,0.079853
monthly,2015-05,-0.009714
monthly,2015-06,0.015461
monthly,2015-07,-0.169593
monthly,2015-08,-0.072074
monthly,2015-09,-0.019125
monthly,2015-10,0.043949
monthly,2015-11,0.002477
monthly,2015-12,0.052492
monthly,2016-01,-0.102913
monthly,2016-02,0.013215
monthly,2016-03,0.141322
monthly,2016-04,0.005677
monthly,2016-05,-0.015449
monthly,2016-06,0.039826
monthly,2016-07,0.077986
monthly,2016-08,0.035529
monthly,2016-09,-0.004756
monthly,2016-10,0.034763
monthly,2016-11,0.039044
monthly,2016-12,-0.054450
monthly,2017-01,0.051258
monthly,2017-02,0.086509
monthly,2017-03,0.045611
monthly,2017-04,-0.018267
monthly,2017-05,0.044238
monthly,2017-06,0.102818
monthly,2017-07,0.048510
monthly,2017-08,0.003912
monthly,2017-09,0.004693
monthly,2017-10,0.025605
monthly,2017-11,0.013714
monthly,2017-12,0.079499
monthly,2018-01,0.024079
monthly,2018-02,-0.045995
monthly,2018-03,-0.050622
monthly,2018-04,-0.015774
monthly,2018-05,-0.010288
monthly,2018-06,-0.042701
monthly,2018-07,0.077951
monthly,2018-08,-0.006959
monthly,2018-09,0.007170
monthly,2018-10,-0.077050
monthly,2018-11,0.029060
monthly,2018-12,-0.054512
monthly,2019-01,0.030421
monthly,2019-02,0.147413
monthly,2019-03,0.090126
monthly,2019-04,0.043135
monthly,2019-05,0.049167
monthly,2019-06,0.067414
monthly,2019-07,0.018342
monthly,2019-08,-0.056901
monthly,2019-09,0.015278
monthly,2019-10,0.008290
monthly,2019-11,-0.009547
monthly,2019-12,0.123821
monthly,2020-01,-0.067623
monthly,2020-02,0.094520
monthly,2020-03,-0.113009
monthly,2020-04,0.052938
monthly,2020-05,0.020311
monthly,2020-06,-0.010124
monthly,2020-07,0.084876
monthly,2020-08,0.014271
monthly,2020-09,-0.008519
monthly,2020-10,0.009558
monthly,2020-11,0.123731
monthly,2020-12,-0.080308
monthly,2021-01,-0.012403
monthly,2021-02,0.052007
monthly,2021-03,0.061376
monthly,2021-04,-0.024519
monthly,2021-05,0.005059
monthly,2021-06,-0.024834
monthly,2021-07,-0.009254
monthly,2021-08,0.452412
monthly,2021-09,0.096787
monthly,2021-10,-0.087731
monthly,2021-11,-0.026645
monthly,2021-12,0.098181
monthly,2022-01,-0.020453
monthly,2022-02,0.063338
monthly,2022-03,0.074874
monthly,2022-04,0.006056
monthly,2022-05,0.073294
monthly,2022-06,0.056986
monthly,2022-07,-0.024758
monthly,2022-08,0.047783
monthly,2022-09,-0.047802
monthly,2022-10,-0.085208
monthly,2022-11,0.148994
monthly,2022-12,0.001349
monthly,2023-01,0.069912
monthly,2023-02,-0.022982
monthly,2023-03,-0.026605
monthly,2023-04,0.011051
monthly,2023-05,-0.057318
monthly,2023-06,0.076307
monthly,2023-07,0.042348
monthly,2023-08,-0.044817
monthly,2023-09,0.032697
monthly,2023-10,-0.015057
monthly,2023-11,-0.007456
monthly,2023-12,-0.011750
monthly,2024-01,0.032147
monthly,2024-02,0.112983
monthly,2024-03,-0.019766
monthly,2024-04,0.045944
monthly,2024-05,-0.010939
monthly,2024-06,-0.061396
monthly,2024-07,-0.022961
monthly,2024-08,-0.037299
monthly,2024-09,0.264700
monthly,2024-10,-0.099499
monthly,2024-11,-0.011364
monthly,2024-12,0.000279
monthly,2025-01,0.029789
monthly,2025-02,0.007419
monthly,2025-03,0.030350
monthly,2025-04,-0.053352
monthly,2025-05,0.045589
monthly,2025-06,0.029698
monthly,2025-07,0.040248
monthly,2025-08,0.018297
monthly,2025-09,0.006353
monthly,2025-10,0.038695
monthly,2025-11,0.012543
monthly,2025-12,-0.006678
monthly,2026-01,0.018623
monthly,2026-02,0.027884
monthly,2026-03,-0.021927
monthly,2026-04,0.011607
monthly,2026-05,-0.040114
monthly,2026-06,-0.072226
monthly,2026-07,0.115520
monthly,2026-08,-0.025185
